"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Boi"	"Can Boi"							"way"	"368490304"		"{'building': 'yes', 'name': 'Can Boi'}"
"Coll Bataller"	"Coll Bataller"							"node"	"3723482804"		"{'ele': '1188,1', 'mountain_pass': 'yes', 'name': 'Coll Bataller', 'natural': 'saddle'}"
"Coll d'Ares"	"Coll d'Ares"							"node"	"5208287308"		"{'ele': '1650.1', 'mountain_pass': 'yes', 'name': \"Coll d'Ares\", 'natural': 'saddle'}"
"Coll d'Arnat"	"Coll d'Arnat"							"node"	"390312685"		"{'ele': '1273.1', 'mountain_pass': 'yes', 'name': \"Coll d'Arnat\", 'natural': 'saddle'}"
"Coll de Bancs"	"Coll de Bancs"							"node"	"278994819"		"{'ele': '1389', 'mountain_pass': 'yes', 'name': 'Coll de Bancs', 'natural': 'saddle'}"
"Coll de Creus"	"Coll de Creus"							"node"	"1221164228"		"{'ele': '1437', 'mountain_pass': 'yes', 'name': 'Coll de Creus', 'natural': 'saddle'}"
"Coll de Fumers"	"Coll de Fumers"							"node"	"8592548816"		"{'ele': '1746', 'name': 'Coll de Fumers', 'natural': 'saddle'}"
"Coll de Santandreu"	"Coll de Santandreu"							"node"	"4155407517"		"{'ele': '1371', 'name': 'Coll de Santandreu', 'natural': 'saddle'}"
"Font de Casalí"	"Font de Casalí"							"node"	"9021424581"		"{'name': 'Font de Casalí', 'natural': 'spring'}"
"Font del Diumenge"	"Font del Diumenge"							"node"	"9021424584"		"{'drinking_water': 'yes', 'name': 'Font del Diumenge', 'natural': 'spring'}"
"Puig Galliner"	"Puig Galliner"							"node"	"1241613146"		"{'name': 'Puig Galliner', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serra de la Guàrdia"	"Serra de la Guàrdia"							"node"	"1241655469"		"{'name': 'Serra de la Guàrdia', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serra de la Guàrdia"	"Serra de la Guàrdia"							"way"	"784724754"		"{'name': 'Serra de la Guàrdia', 'natural': 'ridge'}"
"Serra de la Guàrdia"	"Serra de la Guàrdia"							"way"	"784724752"		"{'name': 'Serra de la Guàrdia', 'natural': 'ridge'}"
"Serra de Sisquer"	"Serra de Sisquer"							"node"	"1241649568"		"{'name': 'Serra de Sisquer', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
