"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Barranc de la Ribera"	"Barranc de la Ribera"							"way"	"409441141"		"{'name': 'Barranc de la Ribera', 'waterway': 'stream'}"
"Barranc de la Ribera"	"Barranc de la Ribera"							"way"	"1015704050"		"{'layer': '-1', 'name': 'Barranc de la Ribera', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc de la Ribera"	"Barranc de la Ribera"							"way"	"1015704049"		"{'name': 'Barranc de la Ribera', 'waterway': 'stream'}"
"Barranc de Montclús"	"Barranc de Montclús"							"way"	"259380599"		"{'name': 'Barranc de Montclús', 'waterway': 'stream'}"
"Barranc de Sant Miquel"	"Barranc de Sant Miquel"							"way"	"409441128"	"name:es=barranco San Miguel"	"{'name': 'Barranc de Sant Miquel', 'name:es': 'barranco San Miguel', 'waterway': 'stream'}"
"Barranc de Sant Pere"	"Barranc de Sant Pere"							"way"	"259386568"		"{'name': 'Barranc de Sant Pere', 'waterway': 'stream'}"
"Barranc Sardina"	"Barranc Sardina"							"way"	"1027015799"		"{'layer': '-1', 'name': 'Barranc Sardina', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc Sardina"	"Barranc Sardina"							"way"	"195207674"		"{'name': 'Barranc Sardina', 'waterway': 'stream'}"
"Barranc Sardina"	"Barranc Sardina"							"way"	"1027015798"		"{'name': 'Barranc Sardina', 'waterway': 'stream'}"
"Coma de Muró"	"Coma de Muró"							"node"	"1241672125"		"{'name': 'Coma de Muró', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Tossal Mau"	"Tossal Mau"							"node"	"1241688227"		"{'name': 'Tossal Mau', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
