"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament Les Franqueses"	"Ajuntament Les Franqueses"							"node"	"9428904401"		"{'name': 'Ajuntament Les Franqueses', 'public_transport': 'platform', 'ref': '2718'}"
"Ajuntament Les Franqueses"	"Ajuntament Les Franqueses"							"node"	"9428904402"		"{'bus': 'yes', 'name': 'Ajuntament Les Franqueses', 'public_transport': 'stop_position', 'ref': '2718'}"
"Bosc de Ca l'Aimeric"	"Bosc de Ca l'Aimeric"							"node"	"1241563023"		"{'name': \"Bosc de Ca l'Aimeric\", 'place': 'locality'}"
"Bosc de Ca n'Enrani"	"Bosc de Ca n'Enrani"							"relation"	"   9765323"		"{'landuse': 'forest', 'name': \"Bosc de Ca n'Enrani\", 'type': 'multipolygon'}"
"Bosc de Can Màrgens"	"Bosc de Can Màrgens"							"node"	"5592448320"		"{'name': 'Bosc de Can Màrgens', 'natural': 'wood'}"
"Bosc de Can Montells"	"Bosc de Can Montells"							"relation"	"  13268662"		"{'landuse': 'forest', 'leaf_type': 'needleleaved', 'name': 'Bosc de Can Montells', 'source': 'EU CORINE land cover 2006', 'type': 'multipolygon'}"
"Bosc de Can Nicolau"	"Bosc de Can Nicolau"							"node"	"1241568247"		"{'name': 'Bosc de Can Nicolau', 'place': 'locality'}"
"Bosc de Can Pagès"	"Bosc de Can Pagès"							"node"	"5591136050"		"{'name': 'Bosc de Can Pagès', 'natural': 'wood'}"
"Bosc de Can Ramis"	"Bosc de Can Ramis"							"node"	"1241562009"		"{'name': 'Bosc de Can Ramis', 'place': 'locality'}"
"Bosc de Can Serra"	"Bosc de Can Serra"							"node"	"1241551432"		"{'name': 'Bosc de Can Serra', 'place': 'locality'}"
"Bosc de Can Tarafa"	"Bosc de Can Tarafa"							"node"	"1241552737"		"{'name': 'Bosc de Can Tarafa', 'place': 'locality'}"
"Bosc de Can Villar"	"Bosc de Can Villar"							"node"	"1241554153"		"{'name': 'Bosc de Can Villar', 'place': 'locality'}"
"Bosc Negre"	"Bosc Negre"							"relation"	"  10586875"		"{'landuse': 'forest', 'name': 'Bosc Negre', 'type': 'multipolygon'}"
"Mas Avel·lí"	"Mas Avel·lí"							"node"	"5591136051"		"{'name': 'Mas Avel·lí', 'place': 'isolated_dwelling'}"
