"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí bassa de Corrubí"	"Camí bassa de Corrubí"							"way"	" 490694760"		"{'highway': 'path', 'name': 'Camí bassa de Corrubí', 'sac_scale': 'mountain_hiking', 'smoothness': 'bad', 'surface': 'ground', 'trail_visibility': 'good', 'width': '1'}"
"Camí bassa de Corrubí"	"Camí bassa de Corrubí"							"way"	"1053659366"		"{'highway': 'path', 'name': 'Camí bassa de Corrubí'}"
"Camí bassa de Corrubí"	"Camí bassa de Corrubí"							"way"	"1053659368"		"{'highway': 'path', 'name': 'Camí bassa de Corrubí'}"
"Camí de Baborers a Villarons"	"Camí de Baborers a Villarons"							"way"	" 586652709"		"{'highway': 'track', 'name': 'Camí de Baborers a Villarons'}"
"Camí de l'Auró"	"Camí de l'Auró"							"way"	" 420555323"		"{'brp_access': '3', 'highway': 'track', 'mtb:scale': '0', 'name': \"Camí de l'Auró\", 'smoothness': 'bad', 'surface': 'compacted', 'tracktype': 'grade2', 'width': '3'}"
"Camí de la Riera de Merlès"	"Camí de la Riera de Merlès"							"way"	" 364208006"		"{'highway': 'tertiary', 'name': 'Camí de la Riera de Merlès', 'ref': 'VM-4406'}"
"Camí de la Tolosa"	"Camí de la Tolosa"							"way"	" 232464074"		"{'highway': 'track', 'name': 'Camí de la Tolosa', 'tracktype': 'grade3'}"
"Camí de la Tolosa"	"Camí de la Tolosa"							"way"	" 765255133"		"{'highway': 'track', 'name': 'Camí de la Tolosa', 'tracktype': 'grade3'}"
"Camí de la Tolosa"	"Camí de la Tolosa"							"way"	" 765255134"		"{'highway': 'track', 'name': 'Camí de la Tolosa', 'tracktype': 'grade3'}"
"Camí de Santa Maria del Catllar"	"Camí de Santa Maria del Catllar"							"way"	" 109890759"		"{'highway': 'track', 'name': 'Camí de Santa Maria del Catllar', 'surface': 'gravel', 'tracktype': 'grade2'}"
"Camí del Cremat a Portavella"	"Camí del Cremat a Portavella"							"way"	" 105894321"		"{'access': 'yes', 'brp_access': '3', 'highway': 'track', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí del Cremat a Portavella', 'smoothness': 'intermediate', 'surface': 'concrete', 'tracktype': 'grade1', 'width': '3'}"
"Camí del Cremat a Portavella"	"Camí del Cremat a Portavella"							"way"	" 110223631"		"{'access': 'yes', 'highway': 'track', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí del Cremat a Portavella', 'surface': 'concrete', 'tracktype': 'grade1', 'width': '3'}"
"Camí del Cremat a Portavella"	"Camí del Cremat a Portavella"							"way"	" 472339791"		"{'access': 'yes', 'highway': 'track', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí del Cremat a Portavella', 'surface': 'concrete', 'tracktype': 'grade1', 'width': '3'}"
"Camí del Cremat a Portavella"	"Camí del Cremat a Portavella"							"way"	" 108790050"		"{'access': 'yes', 'brp_access': '3', 'highway': 'track', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí del Cremat a Portavella', 'smoothness': 'bad', 'surface': 'ground', 'tracktype': 'grade2', 'width': '3'}"
"Camí del Cremat a Portavella"	"Camí del Cremat a Portavella"							"way"	" 108790056"		"{'access': 'yes', 'brp_access': '3', 'highway': 'track', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí del Cremat a Portavella', 'surface': 'concrete', 'tracktype': 'grade1', 'width': '3'}"
"Camí del Cremat a Portavella"	"Camí del Cremat a Portavella"							"way"	" 765255139"		"{'access': 'yes', 'brp_access': '3', 'highway': 'track', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí del Cremat a Portavella', 'smoothness': 'intermediate', 'surface': 'concrete', 'tracktype': 'grade1', 'width': '3'}"
"Camí del Cremat a Portavella"	"Camí del Cremat a Portavella"							"way"	" 765255138"		"{'access': 'yes', 'brp_access': '3', 'highway': 'track', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí del Cremat a Portavella', 'smoothness': 'intermediate', 'surface': 'concrete', 'tracktype': 'grade1', 'width': '3'}"
"Camí del Cremat a Sovelles"	"Camí del Cremat a Sovelles"							"way"	" 342480643"		"{'highway': 'track', 'name': 'Camí del Cremat a Sovelles', 'tracktype': 'grade1'}"
"Camí Ral"	"Camí Ral"							"way"	" 488272973"		"{'highway': 'track', 'name': 'Camí Ral'}"
"Camí Ral"	"Camí Ral"							"way"	" 621493041"		"{'highway': 'track', 'name': 'Camí Ral'}"
"camí Ramader"	"camí Ramader"							"way"	" 418561821"		"{'highway': 'path', 'name': 'camí Ramader'}"
