"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Coll d'Ares"	"Coll d'Ares"							"node"	"6657844786"		"{'ele': '1874', 'name': \"Coll d'Ares\", 'natural': 'saddle'}"
"Coll de Cintó"	"Coll de Cintó"							"node"	"6610160528"		"{'ele': '1893.7', 'name': 'Coll de Cintó', 'natural': 'saddle'}"
"Coll de Conflent"	"Coll de Conflent"							"node"	"10110698982"		"{'ele': '2172', 'name': 'Coll de Conflent', 'natural': 'saddle'}"
"Coll de Conflent"	"Coll de Conflent"							"node"	"3750501898"		"{'direction': '110', 'ele': '2180', 'mountain_pass': 'yes', 'name': 'Coll de Conflent', 'natural': 'saddle'}"
"Coll de Finestres"	"Coll de Finestres"							"node"	"3421804424"		"{'ele': '2554.0', 'name': 'Coll de Finestres', 'natural': 'saddle', 'source': 'Institut Cartogràfic de Catalunya'}"
"Coll de la Botella"	"Coll de la Botella"							"way"	"152826440"		"{'name': 'Coll de la Botella', 'piste:difficulty': 'easy', 'piste:type': 'downhill', 'sport': 'skiing'}"
"Coll de Sunyer"	"Coll de Sunyer"							"node"	"8987904174"		"{'ele': '1533.3', 'name': 'Coll de Sunyer', 'natural': 'saddle'}"
"Coll de Vista"	"Coll de Vista"							"node"	"579971697"		"{'ele': '1923', 'name': 'Coll de Vista', 'natural': 'saddle'}"
"Coll del Castell"	"Coll del Castell"							"node"	"3412772860"		"{'ele': '1379.3', 'name': 'Coll del Castell', 'natural': 'saddle', 'source': 'Institut Cartogràfic de Catalunya'}"
"Coll del Raset"	"Coll del Raset"							"node"	"3421804425"		"{'ele': '2227', 'name': 'Coll del Raset', 'natural': 'saddle', 'source': 'Institut Cartogràfic de Catalunya'}"
"Coll Pa"	"Coll Pa"							"node"	"3421804423"		"{'ele': '2236', 'name': 'Coll Pa', 'natural': 'saddle', 'source': 'Institut Cartogràfic de Catalunya'}"
"Font dels Traginers"	"Font dels Traginers"							"node"	"3749171182"		"{'name': 'Font dels Traginers', 'natural': 'spring'}"
"Serra de la Beceda"	"Serra de la Beceda"							"node"	"1241636498"		"{'name': 'Serra de la Beceda', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serra del Cavall"	"Serra del Cavall"							"node"	"1241627627"		"{'name': 'Serra del Cavall', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serra del Dac"	"Serra del Dac"							"node"	"1241649023"		"{'name': 'Serra del Dac', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serrat de l'Avellanosa"	"Serrat de l'Avellanosa"							"node"	"1241640475"		"{'name': \"Serrat de l'Avellanosa\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serrat del Vaquer"	"Serrat del Vaquer"							"node"	"1241625373"		"{'name': 'Serrat del Vaquer', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serrat dels Pous"	"Serrat dels Pous"							"node"	"1241618212"		"{'name': 'Serrat dels Pous', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Torrent d'Escós"	"Torrent d'Escós"							"way"	"704399615"		"{'intermittent': 'yes', 'name': \"Torrent d'Escós\", 'waterway': 'stream'}"
"Torrent d'Escós"	"Torrent d'Escós"							"way"	"704399603"		"{'intermittent': 'yes', 'name': \"Torrent d'Escós\", 'waterway': 'stream'}"
"Torrent d'Escós"	"Torrent d'Escós"							"way"	"704399604"		"{'intermittent': 'yes', 'layer': '-1', 'name': \"Torrent d'Escós\", 'tunnel': 'culvert', 'waterway': 'stream'}"
"Torrent de Coll de Jou"	"Torrent de Coll de Jou"							"way"	"371339923"		"{'name': 'Torrent de Coll de Jou', 'waterway': 'stream'}"
"Torrent de Gol"	"Torrent de Gol"							"way"	"704597951"		"{'intermittent': 'yes', 'name': 'Torrent de Gol', 'waterway': 'stream'}"
"Torrent de Gol"	"Torrent de Gol"							"way"	"704597947"		"{'intermittent': 'yes', 'name': 'Torrent de Gol', 'waterway': 'stream'}"
"Torrent de Gol"	"Torrent de Gol"							"way"	"704597941"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Gol', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent de Gol"	"Torrent de Gol"							"way"	"704597946"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Gol', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Torrent de l'Orri"	"Torrent de l'Orri"							"way"	"704887839"		"{'intermittent': 'yes', 'layer': '-1', 'name': \"Torrent de l'Orri\", 'tunnel': 'culvert', 'waterway': 'stream'}"
"Torrent de l'Orri"	"Torrent de l'Orri"							"way"	"704887846"		"{'intermittent': 'yes', 'name': \"Torrent de l'Orri\", 'waterway': 'stream'}"
"Torrent de l'Orri"	"Torrent de l'Orri"							"way"	"704887847"		"{'intermittent': 'yes', 'name': \"Torrent de l'Orri\", 'waterway': 'stream'}"
"Torrent de la Banera"	"Torrent de la Banera"							"way"	"704598005"		"{'intermittent': 'yes', 'name': 'Torrent de la Banera', 'waterway': 'stream'}"
