"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can blanc"	"Can blanc"							"way"	"169743519"		"{'building': 'house', 'name': 'Can blanc'}"
"Can Jordi"	"Can Jordi"							"node"	"8555464124"		"{'amenity': 'restaurant', 'name': 'Can Jordi'}"
"Can Lledó"	"Can Lledó"							"way"	"220518135"		"{'building': 'yes', 'name': 'Can Lledó'}"
"Can Planes"	"Can Planes"							"way"	"217674437"		"{'building': 'yes', 'name': 'Can Planes'}"
"Can Tarascó"	"Can Tarascó"							"way"	"333886591"		"{'building': 'house', 'name': 'Can Tarascó'}"
"Can Vinyamata"	"Can Vinyamata"							"way"	"217674424"		"{'building': 'yes', 'name': 'Can Vinyamata'}"
"Font del Torrent de Can Blanc"	"Font del Torrent de Can Blanc"							"node"	"3390736338"		"{'name': 'Font del Torrent de Can Blanc', 'natural': 'spring'}"
"Torrent de Ca l'Elies"	"Torrent de Ca l'Elies"							"way"	"665632029"		"{'intermittent': 'yes', 'name': \"Torrent de Ca l'Elies\", 'waterway': 'stream'}"
"Torrent de Ca l'Elies"	"Torrent de Ca l'Elies"							"way"	"665632031"		"{'intermittent': 'yes', 'name': \"Torrent de Ca l'Elies\", 'waterway': 'stream'}"
"Torrent de Ca l'Elies"	"Torrent de Ca l'Elies"							"way"	"665632030"		"{'intermittent': 'yes', 'layer': '-1', 'name': \"Torrent de Ca l'Elies\", 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent de Can Blanc"	"Torrent de Can Blanc"							"way"	"665632017"		"{'intermittent': 'yes', 'name': 'Torrent de Can Blanc', 'waterway': 'stream'}"
"Torrent de Can Blanc"	"Torrent de Can Blanc"							"way"	"665632016"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Can Blanc', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent de Can Blanc"	"Torrent de Can Blanc"							"way"	"665632018"		"{'intermittent': 'yes', 'name': 'Torrent de Can Blanc', 'waterway': 'stream'}"
"Torrent de Can Blanc"	"Torrent de Can Blanc"							"way"	"665632019"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Can Blanc', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent de Can Blanc"	"Torrent de Can Blanc"							"way"	"665632020"		"{'intermittent': 'yes', 'name': 'Torrent de Can Blanc', 'waterway': 'stream'}"
"Torrent de Can Planes"	"Torrent de Can Planes"							"way"	"637229127"		"{'intermittent': 'yes', 'name': 'Torrent de Can Planes', 'waterway': 'stream'}"
"Torrent de Can Planes"	"Torrent de Can Planes"							"way"	"637229126"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Can Planes', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent de Can Planes"	"Torrent de Can Planes"							"way"	"637229120"		"{'intermittent': 'yes', 'name': 'Torrent de Can Planes', 'waterway': 'stream'}"
"Torrent de Can Planes"	"Torrent de Can Planes"							"way"	"637229118"		"{'intermittent': 'yes', 'name': 'Torrent de Can Planes', 'waterway': 'stream'}"
"Torrent de Can Planes"	"Torrent de Can Planes"							"way"	"637229129"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Can Planes', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent de Can Planes"	"Torrent de Can Planes"							"way"	"637229130"		"{'intermittent': 'yes', 'name': 'Torrent de Can Planes', 'waterway': 'stream'}"
"Torrent de Can Planes"	"Torrent de Can Planes"							"way"	"637229122"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Can Planes', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent de Can Planes"	"Torrent de Can Planes"							"way"	"637229124"		"{'intermittent': 'yes', 'name': 'Torrent de Can Planes', 'waterway': 'stream'}"
"Torrent de Can Planes"	"Torrent de Can Planes"							"way"	"637229119"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Can Planes', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent de Can Planes"	"Torrent de Can Planes"							"way"	"637229117"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Can Planes', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent de Can Planes"	"Torrent de Can Planes"							"way"	"637229128"		"{'intermittent': 'yes', 'name': 'Torrent de Can Planes', 'waterway': 'stream'}"
"Torrent de Can Soldat"	"Torrent de Can Soldat"							"way"	"637205406"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent de Can Soldat', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent de Can Soldat"	"Torrent de Can Soldat"							"way"	"637205416"		"{'intermittent': 'yes', 'name': 'Torrent de Can Soldat', 'waterway': 'stream'}"
"Torrent de Can Soldat"	"Torrent de Can Soldat"							"way"	"227372131"		"{'intermittent': 'yes', 'name': 'Torrent de Can Soldat', 'waterway': 'stream'}"
"Turó de Can Tarascó"	"Turó de Can Tarascó"							"node"	"4532459222"		"{'name': 'Turó de Can Tarascó', 'natural': 'peak'}"
