"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Les Valls"	"Avinguda de Les Valls"							"way"	"188056771"		"{'highway': 'residential', 'name': 'Avinguda de Les Valls', 'oneway': 'no', 'ref': 'CV-3206'}"
"Camí Calcó"	"Camí Calcó"							"way"	"936813732"		"{'highway': 'track', 'name': 'Camí Calcó', 'tracktype': 'grade2'}"
"Camí de la Font"	"Camí de la Font"							"way"	"168412015"		"{'highway': 'unclassified', 'name': 'Camí de la Font'}"
"Camí de Sorrana"	"Camí de Sorrana"							"way"	"188061812"		"{'highway': 'unclassified', 'name': 'Camí de Sorrana'}"
"Camí del Ferreret"	"Camí del Ferreret"							"way"	"166250785"		"{'highway': 'unclassified', 'name': 'Camí del Ferreret', 'oneway': 'no'}"
"Carrer d'Oroval"	"Carrer d'Oroval"							"way"	"188059164"		"{'highway': 'residential', 'name': \"Carrer d'Oroval\", 'oneway': 'yes'}"
"Carrer de Blasco Ibánez"	"Carrer de Blasco Ibánez"							"way"	"188055383"		"{'highway': 'residential', 'name': 'Carrer de Blasco Ibánez', 'oneway': 'no'}"
"Carrer de Capuarie"	"Carrer de Capuarie"							"way"	"188055390"		"{'highway': 'residential', 'name': 'Carrer de Capuarie', 'oneway': 'no'}"
"Carrer de Capuarie"	"Carrer de Capuarie"							"way"	"188055382"		"{'highway': 'residential', 'name': 'Carrer de Capuarie', 'oneway': 'yes'}"
"Carrer de Ciril Amoròs"	"Carrer de Ciril Amoròs"							"way"	"188056772"		"{'highway': 'residential', 'name': 'Carrer de Ciril Amoròs', 'oneway': 'no'}"
"Carrer de Juan Carlos I"	"Carrer de Juan Carlos I"							"way"	"188055392"		"{'highway': 'residential', 'name': 'Carrer de Juan Carlos I', 'oneway': 'yes'}"
"Carrer de Juan Carlos I"	"Carrer de Juan Carlos I"							"way"	"386998561"		"{'highway': 'residential', 'name': 'Carrer de Juan Carlos I', 'oneway': 'yes', 'ref': 'CV-3206'}"
"Carrer de L'Ermita"	"Carrer de L'Ermita"							"way"	"188055386"		"{'highway': 'residential', 'name': \"Carrer de L'Ermita\", 'oneway': 'yes'}"
"Carrer de la Constitució"	"Carrer de la Constitució"							"way"	"188055385"		"{'highway': 'residential', 'name': 'Carrer de la Constitució', 'oneway': 'no'}"
"Carrer de la Font"	"Carrer de la Font"							"way"	"188055376"		"{'highway': 'residential', 'name': 'Carrer de la Font', 'oneway': 'no'}"
"Carrer de la Font"	"Carrer de la Font"							"way"	"261719685"		"{'highway': 'residential', 'name': 'Carrer de la Font', 'oneway': 'no'}"
