"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda Alameda"	"Avinguda Alameda"							"way"	"259455451"		"{'highway': 'residential', 'name': 'Avinguda Alameda', 'surface': 'asphalt'}"
"Avinguda Alameda"	"Avinguda Alameda"							"way"	"222797517"		"{'highway': 'residential', 'name': 'Avinguda Alameda', 'surface': 'asphalt'}"
"Avinguda Corts Valencianes"	"Avinguda Corts Valencianes"							"way"	"222797497"		"{'highway': 'tertiary', 'name': 'Avinguda Corts Valencianes'}"
"Avinguda Corts Valencianes"	"Avinguda Corts Valencianes"							"way"	"222797516"		"{'highway': 'tertiary', 'name': 'Avinguda Corts Valencianes', 'oneway': 'yes'}"
"Avinguda de la Ribera"	"Avinguda de la Ribera"							"way"	"222797527"		"{'highway': 'residential', 'name': 'Avinguda de la Ribera'}"
"Camí Agazador"	"Camí Agazador"							"way"	"222800358"		"{'highway': 'residential', 'name': 'Camí Agazador'}"
"Camí del Arenal"	"Camí del Arenal"							"way"	"256811942"		"{'highway': 'unclassified', 'maxspeed': '50', 'name': 'Camí del Arenal', 'surface': 'asphalt'}"
"Camí del barranc del Llop"	"Camí del barranc del Llop"							"way"	"756319699"		"{'highway': 'path', 'mtb:scale': '1', 'name': 'Camí del barranc del Llop', 'sac_scale': 'mountain_hiking', 'surface': 'unpaved', 'trail_visibility': 'good', 'width': '1.5'}"
"Camí Fornet"	"Camí Fornet"							"way"	"256811940"		"{'highway': 'unclassified', 'maxspeed': '50', 'name': 'Camí Fornet', 'surface': 'asphalt'}"
"Camí Fornet"	"Camí Fornet"							"way"	"222797567"		"{'highway': 'unclassified', 'maxspeed': '50', 'name': 'Camí Fornet'}"
"Camí Hort de Serratosa"	"Camí Hort de Serratosa"							"way"	"259455462"		"{'highway': 'service', 'name': 'Camí Hort de Serratosa', 'surface': 'asphalt'}"
"Carrer Alacant"	"Carrer Alacant"							"way"	"222797498"		"{'highway': 'residential', 'name': 'Carrer Alacant', 'surface': 'asphalt'}"
"Carrer Álvaro García"	"Carrer Álvaro García"							"way"	"222797487"		"{'highway': 'residential', 'name': 'Carrer Álvaro García'}"
"Carrer Alzira"	"Carrer Alzira"							"way"	"222797509"		"{'highway': 'residential', 'name': 'Carrer Alzira'}"
"Carrer Alzira"	"Carrer Alzira"							"way"	"222797486"		"{'highway': 'tertiary', 'name': 'Carrer Alzira', 'oneway': 'no', 'ref': 'CV-576'}"
"Carrer Antonio Machado"	"Carrer Antonio Machado"							"way"	"222800354"		"{'highway': 'residential', 'name': 'Carrer Antonio Machado'}"
"Carrer Ateneu Musical"	"Carrer Ateneu Musical"							"way"	"222797573"		"{'highway': 'residential', 'name': 'Carrer Ateneu Musical', 'oneway': 'no', 'ref': 'CV-576'}"
"Carrer Ateneu Musical"	"Carrer Ateneu Musical"							"way"	"222797500"		"{'highway': 'residential', 'name': 'Carrer Ateneu Musical', 'surface': 'asphalt'}"
"Carrer Ausiàs March"	"Carrer Ausiàs March"							"way"	"222797505"		"{'highway': 'residential', 'name': 'Carrer Ausiàs March', 'surface': 'asphalt'}"
"Carrer Ausiàs March"	"Carrer Ausiàs March"							"way"	"383628915"		"{'highway': 'tertiary', 'name': 'Carrer Ausiàs March', 'ref': 'CV-576', 'surface': 'asphalt'}"
"Carrer Barcas"	"Carrer Barcas"							"way"	"222797499"		"{'highway': 'residential', 'name': 'Carrer Barcas', 'surface': 'asphalt'}"
"Carrer Barcas"	"Carrer Barcas"							"way"	"383628916"		"{'highway': 'tertiary', 'name': 'Carrer Barcas', 'oneway': 'no', 'ref': 'CV-576'}"
"Carrer Barcas"	"Carrer Barcas"							"way"	"222797506"		"{'highway': 'residential', 'name': 'Carrer Barcas', 'oneway': 'no'}"
"Carrer Barxeta"	"Carrer Barxeta"							"way"	"222797540"		"{'highway': 'residential', 'name': 'Carrer Barxeta'}"
"Carrer Blasco Ibáñez"	"Carrer Blasco Ibáñez"							"way"	"222797518"		"{'highway': 'residential', 'name': 'Carrer Blasco Ibáñez', 'surface': 'asphalt'}"
"Carrer Carcaixent"	"Carrer Carcaixent"							"way"	"222797483"		"{'highway': 'residential', 'name': 'Carrer Carcaixent'}"
"Carrer Cardenal Enrique Tarancón"	"Carrer Cardenal Enrique Tarancón"							"way"	"222800361"		"{'highway': 'residential', 'name': 'Carrer Cardenal Enrique Tarancón'}"
"Carrer Cardenal Enrique Tarancón"	"Carrer Cardenal Enrique Tarancón"							"way"	"222800369"		"{'highway': 'tertiary', 'name': 'Carrer Cardenal Enrique Tarancón', 'oneway': 'no', 'ref': 'CV-576'}"
"Carrer Carreró"	"Carrer Carreró"							"way"	"222797580"		"{'highway': 'residential', 'name': 'Carrer Carreró'}"
"Carrer Carreró"	"Carrer Carreró"							"way"	"222797559"		"{'highway': 'service', 'name': 'Carrer Carreró', 'service': 'alley'}"
"Carrer Castelló de la Plana"	"Carrer Castelló de la Plana"							"way"	"222797485"		"{'highway': 'residential', 'name': 'Carrer Castelló de la Plana'}"
"Carrer Cervantes"	"Carrer Cervantes"							"way"	"222797560"		"{'highway': 'residential', 'name': 'Carrer Cervantes'}"
"Carrer Colón"	"Carrer Colón"							"way"	"222797530"		"{'highway': 'residential', 'name': 'Carrer Colón'}"
"Carrer Crist Consol"	"Carrer Crist Consol"							"way"	"222797502"		"{'highway': 'residential', 'name': 'Carrer Crist Consol'}"
"Carrer Curt"	"Carrer Curt"							"way"	"222797531"		"{'highway': 'tertiary', 'name': 'Carrer Curt', 'ref': 'CV-576'}"
"Carrer de les Eres"	"Carrer de les Eres"							"way"	"222800367"		"{'highway': 'residential', 'name': 'Carrer de les Eres'}"
"Carrer de les Eres"	"Carrer de les Eres"							"way"	"222800363"		"{'highway': 'residential', 'name': 'Carrer de les Eres'}"
"Carrer de les Eres"	"Carrer de les Eres"							"way"	"222800364"		"{'highway': 'residential', 'name': 'Carrer de les Eres'}"
"Carrer Diputació"	"Carrer Diputació"							"way"	"222797577"		"{'highway': 'residential', 'name': 'Carrer Diputació'}"
"Carrer Drets Humans"	"Carrer Drets Humans"							"way"	"222797495"		"{'highway': 'residential', 'name': 'Carrer Drets Humans', 'surface': 'asphalt'}"
"Carrer Emilio Castelló"	"Carrer Emilio Castelló"							"way"	"222797510"		"{'highway': 'residential', 'name': 'Carrer Emilio Castelló'}"
"Carrer Hernán Cortés"	"Carrer Hernán Cortés"							"way"	"383628917"		"{'highway': 'tertiary', 'name': 'Carrer Hernán Cortés', 'ref': 'CV-576', 'surface': 'asphalt'}"
"Carrer Hernán Cortés"	"Carrer Hernán Cortés"							"way"	"222797496"		"{'highway': 'residential', 'name': 'Carrer Hernán Cortés', 'surface': 'asphalt'}"
"Carrer J. Deu Muntanyes"	"Carrer J. Deu Muntanyes"							"way"	"222797524"		"{'highway': 'tertiary', 'name': 'Carrer J. Deu Muntanyes', 'ref': 'CV-576', 'surface': 'asphalt'}"
"Carrer J. Deu Muntanyes"	"Carrer J. Deu Muntanyes"							"way"	"222797511"		"{'highway': 'residential', 'name': 'Carrer J. Deu Muntanyes'}"
"Carrer J. Deu Muntanyes"	"Carrer J. Deu Muntanyes"							"way"	"222797569"		"{'highway': 'tertiary', 'name': 'Carrer J. Deu Muntanyes', 'oneway': 'no', 'ref': 'CV-576', 'surface': 'concrete'}"
"Carrer Jaume I"	"Carrer Jaume I"							"way"	"222797512"		"{'highway': 'residential', 'name': 'Carrer Jaume I'}"
"Carrer Juan Silvestre"	"Carrer Juan Silvestre"							"way"	"222797525"		"{'highway': 'residential', 'name': 'Carrer Juan Silvestre'}"
"Carrer la Pau"	"Carrer la Pau"							"way"	"222800360"		"{'highway': 'residential', 'name': 'Carrer la Pau'}"
"Carrer la Pobla Llarga"	"Carrer la Pobla Llarga"							"way"	"208924435"		"{'highway': 'tertiary', 'junction': 'roundabout', 'name': 'Carrer la Pobla Llarga', 'ref': 'CV-576'}"
"Carrer la Pobla Llarga"	"Carrer la Pobla Llarga"							"way"	"208924431"		"{'highway': 'tertiary', 'name': 'Carrer la Pobla Llarga', 'oneway': 'yes', 'ref': 'CV-576'}"
"Carrer la Pobla Llarga"	"Carrer la Pobla Llarga"							"way"	"208924432"		"{'highway': 'tertiary', 'name': 'Carrer la Pobla Llarga', 'oneway': 'no', 'ref': 'CV-576'}"
