"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	"  70223840"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Avinguda de Catalunya', 'oneway': 'no'}"
"Avinguda de Guillem de Rosselló 26-30"	"Avinguda de Guillem de Rosselló 26-30"							"node"	"5593281156"		"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avinguda de Guillem de Rosselló 26-30', 'public_transport': 'stop_position'}"
"Avinguda de Guillem de Rosselló 26-30"	"Avinguda de Guillem de Rosselló 26-30"							"node"	"5593281157"		"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avinguda de Guillem de Rosselló 26-30', 'public_transport': 'stop_position'}"
"Avinguda de Guillem de Rosselló 26-30"	"Avinguda de Guillem de Rosselló 26-30"							"node"	"5593282740"		"{'bus': 'yes', 'name': 'Avinguda de Guillem de Rosselló 26-30', 'public_transport': 'platform'}"
"Avinguda de Guillem de Rosselló 26-30"	"Avinguda de Guillem de Rosselló 26-30"							"node"	"5593282944"		"{'bus': 'yes', 'name': 'Avinguda de Guillem de Rosselló 26-30', 'public_transport': 'platform'}"
"Avinguda de Guillem de Rosselló, 2"	"Avinguda de Guillem de Rosselló, 2"							"node"	"2369923497"		"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avinguda de Guillem de Rosselló, 2', 'public_transport': 'stop_position'}"
"Avinguda de Guillem de Rosselló, 2"	"Avinguda de Guillem de Rosselló, 2"							"node"	"5593282738"		"{'bus': 'yes', 'name': 'Avinguda de Guillem de Rosselló, 2', 'public_transport': 'platform'}"
"Avinguda de Guillem de Rosselló, 2"	"Avinguda de Guillem de Rosselló, 2"							"node"	"5593282942"		"{'bus': 'yes', 'name': 'Avinguda de Guillem de Rosselló, 2', 'public_transport': 'platform'}"
"Avinguda de Guillem de Rosselló, 2"	"Avinguda de Guillem de Rosselló, 2"							"node"	"5593282943"		"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avinguda de Guillem de Rosselló, 2', 'public_transport': 'stop_position'}"
