"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda d'Antoni Gaudí"	"Avinguda d'Antoni Gaudí"							"way"	" 128359947"		"{'highway': 'residential', 'name': \"Avinguda d'Antoni Gaudí\"}"
"Avinguda d'Antoni Gaudí"	"Avinguda d'Antoni Gaudí"							"way"	" 749055004"		"{'highway': 'residential', 'junction': 'roundabout', 'name': \"Avinguda d'Antoni Gaudí\"}"
"Avinguda d'Antoni Gaudí"	"Avinguda d'Antoni Gaudí"							"way"	" 749054995"		"{'highway': 'residential', 'name': \"Avinguda d'Antoni Gaudí\", 'oneway': 'yes'}"
"Avinguda d'Antoni Gaudí"	"Avinguda d'Antoni Gaudí"							"way"	" 128360012"		"{'highway': 'residential', 'name': \"Avinguda d'Antoni Gaudí\", 'oneway': 'yes'}"
"Avinguda d'Antoni Gaudí"	"Avinguda d'Antoni Gaudí"							"way"	" 128359982"		"{'highway': 'residential', 'name': \"Avinguda d'Antoni Gaudí\", 'oneway': 'yes'}"
"Avinguda d'Antoni Gaudí"	"Avinguda d'Antoni Gaudí"							"way"	" 749054993"		"{'highway': 'residential', 'name': \"Avinguda d'Antoni Gaudí\", 'oneway': 'yes'}"
"Avinguda d'Antoni Gaudí"	"Avinguda d'Antoni Gaudí"							"way"	" 128359996"		"{'highway': 'residential', 'name': \"Avinguda d'Antoni Gaudí\", 'oneway': 'yes'}"
"Avinguda d'Antoni Gaudí"	"Avinguda d'Antoni Gaudí"							"way"	" 128360013"		"{'highway': 'residential', 'name': \"Avinguda d'Antoni Gaudí\", 'oneway': 'yes'}"
"Avinguda d'Antoni Gaudí"	"Avinguda d'Antoni Gaudí"							"way"	" 128359973"		"{'highway': 'residential', 'name': \"Avinguda d'Antoni Gaudí\", 'oneway': 'yes'}"
"Avinguda d'Antoni Gaudí"	"Avinguda d'Antoni Gaudí"							"way"	" 128359960"		"{'highway': 'residential', 'name': \"Avinguda d'Antoni Gaudí\", 'oneway': 'yes'}"
"Avinguda d'Antoni Gaudí"	"Avinguda d'Antoni Gaudí"							"way"	" 749055007"		"{'highway': 'residential', 'junction': 'roundabout', 'name': \"Avinguda d'Antoni Gaudí\"}"
"Avinguda d'Antoni Gaudí"	"Avinguda d'Antoni Gaudí"							"way"	" 749054997"		"{'highway': 'residential', 'name': \"Avinguda d'Antoni Gaudí\", 'oneway': 'yes'}"
