"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de la Lliberta"	"Avinguda de la Lliberta"							"way"	"391755611"		"{'highway': 'residential', 'name': 'Avinguda de la Lliberta'}"
"Avinguda de la Llibertat"	"Avinguda de la Llibertat"							"way"	"698444378"		"{'highway': 'residential', 'name': 'Avinguda de la Llibertat'}"
"Avinguda de la Llibertat"	"Avinguda de la Llibertat"							"way"	"702694971"		"{'highway': 'residential', 'name': 'Avinguda de la Llibertat'}"
"Carrer Benicadell"	"Carrer Benicadell"							"way"	"702694970"		"{'highway': 'unclassified', 'name': 'Carrer Benicadell', 'surface': 'asphalt'}"
"Carrer Cami de la Serreta"	"Carrer Cami de la Serreta"							"way"	"698444379"		"{'highway': 'residential', 'name': 'Carrer Cami de la Serreta'}"
"Carrer de la Verge"	"Carrer de la Verge"							"way"	"202567045"		"{'highway': 'residential', 'name': 'Carrer de la Verge'}"
"Carrer de la Verge"	"Carrer de la Verge"							"way"	"202567054"		"{'highway': 'residential', 'name': 'Carrer de la Verge'}"
"Carrer de la Verge"	"Carrer de la Verge"							"way"	"698688891"		"{'highway': 'residential', 'name': 'Carrer de la Verge'}"
"Carrer de Sant Miquel Arcangel"	"Carrer de Sant Miquel Arcangel"							"way"	"171888502"		"{'highway': 'residential', 'name': 'Carrer de Sant Miquel Arcangel'}"
"Carrer del Forn"	"Carrer del Forn"							"way"	"702694972"		"{'highway': 'residential', 'name': 'Carrer del Forn'}"
"Carrer del Forn"	"Carrer del Forn"							"way"	"171888601"		"{'highway': 'residential', 'name': 'Carrer del Forn'}"
"Carrer del Forn"	"Carrer del Forn"							"way"	"391755612"		"{'highway': 'service', 'name': 'Carrer del Forn'}"
"Carrer Sant Cristofol"	"Carrer Sant Cristofol"							"way"	"171888386"		"{'highway': 'service', 'name': 'Carrer Sant Cristofol'}"
"Carrer Sant Felip"	"Carrer Sant Felip"							"way"	"171979107"		"{'highway': 'residential', 'name': 'Carrer Sant Felip'}"
"Carrer Sant Felip"	"Carrer Sant Felip"							"way"	"702694969"		"{'highway': 'residential', 'name': 'Carrer Sant Felip'}"
"Carrer Sant Feup"	"Carrer Sant Feup"							"way"	"171979013"		"{'highway': 'residential', 'name': 'Carrer Sant Feup'}"
"Carrer Sant Francesc"	"Carrer Sant Francesc"							"way"	"698690595"		"{'highway': 'residential', 'name': 'Carrer Sant Francesc'}"
"Carrer Sant Francesc"	"Carrer Sant Francesc"							"way"	"698322658"		"{'highway': 'residential', 'name': 'Carrer Sant Francesc'}"
"Carrer Sant Joan"	"Carrer Sant Joan"							"way"	"284079522"		"{'highway': 'residential', 'name': 'Carrer Sant Joan'}"
"Carrer Sant Roc"	"Carrer Sant Roc"							"way"	"171888211"		"{'highway': 'residential', 'name': 'Carrer Sant Roc', 'oneway': 'yes'}"
"Carrer Sant Roc"	"Carrer Sant Roc"							"way"	"261314110"		"{'highway': 'residential', 'name': 'Carrer Sant Roc', 'oneway': 'yes'}"
"Carrer Sant Roc"	"Carrer Sant Roc"							"way"	"261314111"		"{'highway': 'residential', 'name': 'Carrer Sant Roc'}"
"Carrer Sant Roc"	"Carrer Sant Roc"							"way"	"171888417"		"{'highway': 'residential', 'name': 'Carrer Sant Roc'}"
"Carrer Sant Vicent Ferrer"	"Carrer Sant Vicent Ferrer"							"way"	"171888576"		"{'highway': 'residential', 'name': 'Carrer Sant Vicent Ferrer'}"
"Carrer Travessera de Sant Roc"	"Carrer Travessera de Sant Roc"							"way"	"702694973"		"{'highway': 'pedestrian', 'name': 'Carrer Travessera de Sant Roc'}"
"Plaça de la Pau"	"Plaça de la Pau"							"way"	"698322657"		"{'highway': 'residential', 'name': 'Plaça de la Pau'}"
"Plaça del Rei En Jaume I"	"Plaça del Rei En Jaume I"							"way"	"171888528"		"{'highway': 'residential', 'name': 'Plaça del Rei En Jaume I'}"
"Plaça del Rei En Jaume I"	"Plaça del Rei En Jaume I"							"way"	"391755610"		"{'highway': 'residential', 'name': 'Plaça del Rei En Jaume I'}"
