"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	"399718056"		"{'highway': 'residential', 'name': 'Avinguda de Catalunya', 'oneway': 'no'}"
"Camí de la Masia Nova"	"Camí de la Masia Nova"							"way"	"399722209"		"{'highway': 'residential', 'name': 'Camí de la Masia Nova'}"
"Camí de la Polla-rossa"	"Camí de la Polla-rossa"							"way"	"221854497"		"{'highway': 'residential', 'name': 'Camí de la Polla-rossa'}"
"Camí de la Polla-rossa"	"Camí de la Polla-rossa"							"way"	"440561847"		"{'highway': 'unclassified', 'name': 'Camí de la Polla-rossa'}"
"Camí de Mas Boronat"	"Camí de Mas Boronat"							"way"	"244840598"		"{'highway': 'track', 'name': 'Camí de Mas Boronat', 'surface': 'concrete', 'tracktype': 'grade1'}"
"Camí del Molí"	"Camí del Molí"							"way"	"244726068"		"{'highway': 'track', 'name': 'Camí del Molí'}"
"Camí dels Llorells"	"Camí dels Llorells"							"way"	"226199628"		"{'highway': 'unclassified', 'name': 'Camí dels Llorells', 'oneway': 'no', 'surface': 'asphalt'}"
"Camí nou de la Polla Rossa"	"Camí nou de la Polla Rossa"							"way"	"440561855"		"{'highway': 'track', 'name': 'Camí nou de la Polla Rossa', 'tracktype': 'grade3'}"
"Carrer de Cal Gildo"	"Carrer de Cal Gildo"							"way"	"221854485"		"{'highway': 'residential', 'name': 'Carrer de Cal Gildo', 'oneway': 'no'}"
"Carrer de Flandes"	"Carrer de Flandes"							"way"	"221854490"		"{'highway': 'residential', 'name': 'Carrer de Flandes', 'oneway': 'no'}"
"Carrer de Joan Maragall"	"Carrer de Joan Maragall"							"way"	"221854484"	"name:etymology:wikidata=Q562402"	"{'highway': 'residential', 'name': 'Carrer de Joan Maragall', 'name:etymology:wikidata': 'Q562402', 'oneway': 'no'}"
"Carrer de Josep Nin"	"Carrer de Josep Nin"							"way"	"221854478"		"{'highway': 'residential', 'name': 'Carrer de Josep Nin', 'oneway': 'no'}"
"Carrer de la Font"	"Carrer de la Font"							"way"	"617130681"		"{'highway': 'residential', 'name': 'Carrer de la Font'}"
"Carrer de la Muralla"	"Carrer de la Muralla"							"way"	"617130526"		"{'highway': 'residential', 'name': 'Carrer de la Muralla', 'oneway': 'no'}"
"Carrer de Lluís Millet"	"Carrer de Lluís Millet"							"way"	"221854491"		"{'highway': 'living_street', 'name': 'Carrer de Lluís Millet', 'oneway': 'no'}"
"Carrer de Sant Antoni"	"Carrer de Sant Antoni"							"way"	"221854486"		"{'highway': 'living_street', 'name': 'Carrer de Sant Antoni', 'oneway': 'no'}"
"Carrer de Sant Francesc"	"Carrer de Sant Francesc"							"way"	"221854477"		"{'highway': 'residential', 'name': 'Carrer de Sant Francesc'}"
"Carrer de Sant Francesc"	"Carrer de Sant Francesc"							"way"	"617128558"		"{'highway': 'residential', 'name': 'Carrer de Sant Francesc', 'oneway': 'yes'}"
"Carrer de Tenerife"	"Carrer de Tenerife"							"way"	"221854496"		"{'highway': 'residential', 'name': 'Carrer de Tenerife', 'oneway': 'no'}"
"Carrer del Nord"	"Carrer del Nord"							"way"	"221854489"		"{'highway': 'living_street', 'name': 'Carrer del Nord', 'oneway': 'no'}"
"Carrer del Prat"	"Carrer del Prat"							"way"	"617128557"		"{'highway': 'residential', 'name': 'Carrer del Prat'}"
"Carrer del Raval de Can Toni"	"Carrer del Raval de Can Toni"							"way"	"221854479"		"{'highway': 'residential', 'name': 'Carrer del Raval de Can Toni'}"
"Carrer del Sant Crist"	"Carrer del Sant Crist"							"way"	"399722645"		"{'highway': 'residential', 'name': 'Carrer del Sant Crist'}"
"Carrer del Sant Crist"	"Carrer del Sant Crist"							"way"	"399723126"		"{'highway': 'residential', 'name': 'Carrer del Sant Crist', 'oneway': 'no'}"
"Carrer del Torrent"	"Carrer del Torrent"							"way"	"221854499"		"{'highway': 'residential', 'name': 'Carrer del Torrent', 'oneway': 'no'}"
"Carrer del Turó d'en Benet"	"Carrer del Turó d'en Benet"							"way"	"365104954"		"{'highway': 'residential', 'name': \"Carrer del Turó d'en Benet\"}"
"Carrer dels Camps"	"Carrer dels Camps"							"way"	"221854481"		"{'highway': 'steps', 'name': 'Carrer dels Camps', 'oneway': 'no'}"
"Carrer dels Camps"	"Carrer dels Camps"							"way"	"617126605"		"{'highway': 'residential', 'name': 'Carrer dels Camps', 'oneway': 'no'}"
"Carrer Major"	"Carrer Major"							"way"	"617130682"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Nou"	"Carrer Nou"							"way"	"617129933"		"{'highway': 'residential', 'name': 'Carrer Nou', 'oneway': 'no'}"
"Plaça de Cal Cardenal"	"Plaça de Cal Cardenal"							"way"	"221854483"		"{'highway': 'residential', 'name': 'Plaça de Cal Cardenal'}"
"Plaça de Cal Cardenal"	"Plaça de Cal Cardenal"							"way"	"621100994"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaça de Cal Cardenal'}"
"Plaça de Cal Cardenal"	"Plaça de Cal Cardenal"							"way"	"221854482"		"{'highway': 'residential', 'name': 'Plaça de Cal Cardenal'}"
"Plaça de Sant Roc"	"Plaça de Sant Roc"							"way"	"221854501"		"{'area': 'yes', 'highway': 'residential', 'name': 'Plaça de Sant Roc'}"
