"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Ca n'Amat"	"Avinguda de Ca n'Amat"							"way"	"227691567"		"{'highway': 'residential', 'name': \"Avinguda de Ca n'Amat\", 'oneway': 'no'}"
"Avinguda de Can Bacardí"	"Avinguda de Can Bacardí"							"way"	"172312956"		"{'highway': 'residential', 'name': 'Avinguda de Can Bacardí'}"
"Avinguda de Can Badrines"	"Avinguda de Can Badrines"							"way"	"172312951"		"{'highway': 'residential', 'name': 'Avinguda de Can Badrines'}"
"Avinguda de Can Badrines"	"Avinguda de Can Badrines"							"way"	"172312967"		"{'highway': 'residential', 'name': 'Avinguda de Can Badrines'}"
"Avinguda de Can Sanç"	"Avinguda de Can Sanç"							"way"	"172548993"		"{'highway': 'residential', 'name': 'Avinguda de Can Sanç', 'oneway': 'yes'}"
"Avinguda de Can Sans"	"Avinguda de Can Sans"							"way"	"159321316"		"{'highway': 'residential', 'name': 'Avinguda de Can Sans'}"
"Avinguda de Canafort"	"Avinguda de Canafort"							"way"	"299848091"		"{'highway': 'residential', 'name': 'Avinguda de Canafort'}"
"Avinguda de Canafort"	"Avinguda de Canafort"							"way"	"118563820"		"{'highway': 'residential', 'name': 'Avinguda de Canafort'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 34557060"		"{'highway': 'tertiary', 'name': 'Avinguda de Catalunya', 'ref': 'BV-5031'}"
"Avinguda de l'Alcalde Andreu Bertran"	"Avinguda de l'Alcalde Andreu Bertran"							"way"	"493098043"		"{'highway': 'residential', 'lanes': '1', 'name': \"Avinguda de l'Alcalde Andreu Bertran\", 'oneway': 'yes'}"
"Avinguda de la Cornisa"	"Avinguda de la Cornisa"							"way"	"172312968"		"{'highway': 'residential', 'name': 'Avinguda de la Cornisa'}"
"Avinguda de Pau Casals"	"Avinguda de Pau Casals"							"way"	"534304552"		"{'bicycle': 'yes', 'foot': 'yes', 'highway': 'residential', 'name': 'Avinguda de Pau Casals', 'surface': 'asphalt'}"
"avinguda de Rocaferrera"	"avinguda de Rocaferrera"							"way"	"379003543"		"{'highway': 'residential', 'name': 'avinguda de Rocaferrera'}"
