"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda d'Amposta"	"Avinguda d'Amposta"			""	""	""	""	"way"	" 515908433"	""	"{'cycleway:both': 'no', 'highway': 'tertiary', 'lane_markings': 'no', 'name': \"Avinguda d'Amposta\", 'surface': 'asphalt'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"			""	""	""	""	"way"	" 110442560"	""	"{'highway': 'residential', 'name': 'Avinguda de Catalunya'}"
"Avinguda de l'Ebre"	"Avinguda de l'Ebre"			""	""	""	""	"way"	"  72272616"	""	"{'highway': 'residential', 'name': \"Avinguda de l'Ebre\", 'oneway': 'yes', 'ref': 'TV-3404', 'surface': 'asphalt'}"
"Avinguda de l'Illa de Buda"	"Avinguda de l'Illa de Buda"			""	""	""	""	"way"	" 194775379"	""	"{'highway': 'residential', 'name': \"Avinguda de l'Illa de Buda\", 'oneway': 'no'}"
"Avinguda de Mallorca"	"Avinguda de Mallorca"			""	""	""	""	"way"	" 564825798"	""	"{'highway': 'secondary', 'name': 'Avinguda de Mallorca', 'oneway': 'no', 'ref': 'TV-3404'}"
"Avinguda de Mallorca"	"Avinguda de Mallorca"			""	""	""	""	"way"	" 295469359"	""	"{'highway': 'residential', 'name': 'Avinguda de Mallorca', 'oneway': 'yes'}"
"Avinguda de Sant Jaume"	"Avinguda de Sant Jaume"			""	""	""	""	"way"	" 194769222"	""	"{'highway': 'residential', 'name': 'Avinguda de Sant Jaume'}"
"Avinguda de Sant Jaume"	"Avinguda de Sant Jaume"			""	""	""	""	"way"	" 685139574"	""	"{'highway': 'residential', 'name': 'Avinguda de Sant Jaume', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda de Sant Jaume"	"Avinguda de Sant Jaume"			""	""	""	""	"way"	" 685139576"	""	"{'highway': 'residential', 'name': 'Avinguda de Sant Jaume', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda del Canal de les Salines"	"Avinguda del Canal de les Salines"			""	""	""	""	"way"	" 167311949"	""	"{'cycleway:both': 'no', 'highway': 'unclassified', 'lane_markings': 'no', 'name': 'Avinguda del Canal de les Salines', 'surface': 'asphalt'}"
