"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de l'Arbreda"	"Camí de l'Arbreda"							"way"	" 332051822"		"{'highway': 'unclassified', 'name': \"Camí de l'Arbreda\"}"
"Camí de la Costa"	"Camí de la Costa"							"way"	" 217948294"		"{'highway': 'path', 'name': 'Camí de la Costa', 'source': 'survey'}"
"Camí de la Parcel·lària"	"Camí de la Parcel·lària"							"way"	" 464591195"		"{'highway': 'unclassified', 'name': 'Camí de la Parcel·lària'}"
"Camí de Mas Masó"	"Camí de Mas Masó"							"way"	" 167718975"		"{'brp_access': '3', 'highway': 'unclassified', 'name': 'Camí de Mas Masó', 'surface': 'asphalt', 'width': '4'}"
"Camí de Mas Masó"	"Camí de Mas Masó"							"way"	" 169333897"		"{'bridge': 'yes', 'highway': 'unclassified', 'name': 'Camí de Mas Masó', 'surface': 'asphalt', 'width': '4'}"
"Camí de Sobrànigues"	"Camí de Sobrànigues"							"way"	" 169335555"		"{'highway': 'unclassified', 'name': 'Camí de Sobrànigues', 'oneway': 'no'}"
"Camí de Sobrànigues"	"Camí de Sobrànigues"							"way"	" 169335554"		"{'bridge': 'low_water_crossing', 'flood_prone': 'yes', 'highway': 'unclassified', 'layer': '1', 'name': 'Camí de Sobrànigues', 'surface': 'concrete', 'tracktype': 'grade1', 'width': '6'}"
"Camí de Sobrànigues"	"Camí de Sobrànigues"							"way"	" 816619760"		"{'highway': 'unclassified', 'name': 'Camí de Sobrànigues', 'oneway': 'no'}"
"Camí de Viladasens"	"Camí de Viladasens"							"way"	" 167718971"		"{'highway': 'unclassified', 'name': 'Camí de Viladasens', 'surface': 'asphalt', 'width': '5'}"
"Camí de Viladasens"	"Camí de Viladasens"							"way"	" 875448385"		"{'highway': 'unclassified', 'name': 'Camí de Viladasens', 'surface': 'asphalt', 'width': '5'}"
"Camí de Viladasens"	"Camí de Viladasens"							"way"	" 167718972"		"{'bridge': 'viaduct', 'highway': 'residential', 'layer': '1', 'name': 'Camí de Viladasens', 'surface': 'asphalt', 'tracktype': 'grade1'}"
"Camí de Viladasens"	"Camí de Viladasens"							"way"	" 167718982"		"{'highway': 'unclassified', 'name': 'Camí de Viladasens', 'oneway': 'no', 'surface': 'asphalt'}"
"Camí del Cementiri"	"Camí del Cementiri"							"way"	" 217178014"		"{'highway': 'residential', 'name': 'Camí del Cementiri', 'oneway': 'no'}"
"Camí del Cementiri"	"Camí del Cementiri"							"way"	" 167718981"		"{'highway': 'unclassified', 'name': 'Camí del Cementiri'}"
"Camí del Mas Masó"	"Camí del Mas Masó"							"way"	" 435255762"		"{'highway': 'unclassified', 'name': 'Camí del Mas Masó', 'surface': 'asphalt', 'tracktype': 'grade1', 'width': '4'}"
"Camí del Mas Masó"	"Camí del Mas Masó"							"way"	" 435255761"		"{'highway': 'unclassified', 'maxheight': '2.5', 'name': 'Camí del Mas Masó', 'surface': 'asphalt', 'tracktype': 'grade1', 'tunnel': 'yes', 'width': '4'}"
"Camí del Mas Masó"	"Camí del Mas Masó"							"way"	" 167718985"		"{'highway': 'unclassified', 'name': 'Camí del Mas Masó', 'surface': 'asphalt', 'tracktype': 'grade1', 'width': '4'}"
"Camí del Mas Masó"	"Camí del Mas Masó"							"way"	" 816619758"		"{'highway': 'unclassified', 'name': 'Camí del Mas Masó', 'surface': 'asphalt', 'tracktype': 'grade1', 'width': '4'}"
"Carrer de Baix"	"Carrer de Baix"							"way"	" 217947127"		"{'highway': 'living_street', 'name': 'Carrer de Baix'}"
"Carrer de Baix"	"Carrer de Baix"							"way"	" 217180584"		"{'highway': 'living_street', 'name': 'Carrer de Baix'}"
"Carrer de Baix"	"Carrer de Baix"							"way"	" 217178015"		"{'highway': 'residential', 'name': 'Carrer de Baix'}"
"Carrer de Colomers"	"Carrer de Colomers"							"way"	" 875448384"		"{'highway': 'living_street', 'name': 'Carrer de Colomers'}"
