"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"camí de Can Gil"	"camí de Can Gil"							"way"	"367880863"		"{'highway': 'track', 'name': 'camí de Can Gil', 'tracktype': 'grade4'}"
"camí de la Serra"	"camí de la Serra"							"way"	"351883153"		"{'highway': 'track', 'name': 'camí de la Serra', 'tracktype': 'grade1'}"
"camí de la Serra"	"camí de la Serra"							"way"	"353609450"		"{'highway': 'track', 'name': 'camí de la Serra', 'tracktype': 'grade1'}"
"camí de la Serra"	"camí de la Serra"							"way"	"331572359"		"{'highway': 'track', 'name': 'camí de la Serra', 'tracktype': 'grade1'}"
"Camí del Sorreig"	"Camí del Sorreig"							"way"	"312968777"		"{'highway': 'track', 'name': 'Camí del Sorreig', 'tracktype': 'grade3'}"
"Camí del Sorreig"	"Camí del Sorreig"							"way"	"177181478"		"{'highway': 'track', 'name': 'Camí del Sorreig', 'surface': 'asphalt', 'tracktype': 'grade1'}"
"Camí del Sorreig"	"Camí del Sorreig"							"way"	"185346559"		"{'highway': 'track', 'name': 'Camí del Sorreig', 'tracktype': 'grade3'}"
"Camí del Sorreig"	"Camí del Sorreig"							"way"	"185346567"		"{'highway': 'track', 'name': 'Camí del Sorreig', 'tracktype': 'grade2'}"
"Camí del Sorreig"	"Camí del Sorreig"							"way"	"176996523"		"{'highway': 'track', 'name': 'Camí del Sorreig', 'tracktype': 'grade2'}"
"Camí del Sorreig"	"Camí del Sorreig"							"way"	"176996525"		"{'highway': 'track', 'name': 'Camí del Sorreig', 'tracktype': 'grade3'}"
"Camí del Sorreig"	"Camí del Sorreig"							"way"	"696626276"		"{'highway': 'track', 'name': 'Camí del Sorreig', 'surface': 'asphalt', 'tracktype': 'grade1'}"
"Plaça de l'Església"	"Plaça de l'Església"							"way"	"177181483"		"{'area': 'yes', 'name': \"Plaça de l'Església\"}"
