"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de l'esport"	"Avinguda de l'esport"							"way"	" 31278170"		"{'highway': 'residential', 'maxspeed': '50', 'name': \"Avinguda de l'esport\", 'surface': 'paved'}"
"Camí de Ca l'Amigó"	"Camí de Ca l'Amigó"							"way"	"538701055"		"{'highway': 'track', 'name': \"Camí de Ca l'Amigó\"}"
"Camí de Can Bisbal"	"Camí de Can Bisbal"							"way"	" 37231942"		"{'access': 'no', 'highway': 'track', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí de Can Bisbal', 'surface': 'gravel', 'tracktype': 'grade3'}"
"Camí de Can Bisbal"	"Camí de Can Bisbal"							"way"	"747420827"		"{'access': 'yes', 'highway': 'track', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí de Can Bisbal', 'surface': 'gravel', 'tracktype': 'grade3'}"
"Camí de Can Jover"	"Camí de Can Jover"							"way"	"545888306"		"{'fixme': 'verify', 'highway': 'track', 'name': 'Camí de Can Jover'}"
"Camí de Can Prim"	"Camí de Can Prim"							"way"	"283806613"		"{'highway': 'track', 'name': 'Camí de Can Prim', 'tracktype': 'grade1'}"
"Camí de Can Vidal a la Tossa"	"Camí de Can Vidal a la Tossa"							"way"	"420716191"		"{'highway': 'track', 'name': 'Camí de Can Vidal a la Tossa'}"
"Camí de Can Vidal a la Tossa"	"Camí de Can Vidal a la Tossa"							"way"	"528310594"		"{'highway': 'track', 'name': 'Camí de Can Vidal a la Tossa'}"
"Camí de Collbàs"	"Camí de Collbàs"							"way"	"422485643"		"{'highway': 'residential', 'maxspeed': '50', 'name': 'Camí de Collbàs', 'surface': 'paved'}"
"Camí de la Creu Vermella"	"Camí de la Creu Vermella"							"way"	" 37235917"		"{'access': 'yes', 'highway': 'track', 'maxspeed': '50', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí de la Creu Vermella', 'oneway': 'no', 'surface': 'gravel', 'tracktype': 'grade2'}"
"Camí de la Creu Vermella"	"Camí de la Creu Vermella"							"way"	"528310604"		"{'access': 'yes', 'highway': 'track', 'maxspeed': '50', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí de la Creu Vermella', 'oneway': 'no', 'surface': 'gravel', 'tracktype': 'grade2'}"
"Camí de la Ferrana"	"Camí de la Ferrana"							"way"	"528310598"		"{'access': 'yes', 'highway': 'track', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí de la Ferrana', 'oneway': 'no', 'surface': 'gravel', 'tracktype': 'grade2'}"
