"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de la Barceloneta"	"Camí de la Barceloneta"							"way"	"164695521"		"{'brp_access': '3', 'highway': 'unclassified', 'name': 'Camí de la Barceloneta', 'surface': 'asphalt', 'width': '4'}"
"Camí de la Barceloneta"	"Camí de la Barceloneta"							"way"	"310672939"		"{'highway': 'unclassified', 'name': 'Camí de la Barceloneta'}"
"Camí de la Barceloneta"	"Camí de la Barceloneta"							"way"	"374322637"		"{'brp_access': '3', 'highway': 'unclassified', 'name': 'Camí de la Barceloneta', 'surface': 'asphalt', 'tracktype': 'grade1', 'width': '4'}"
"Camí de la Font"	"Camí de la Font"							"way"	"228891074"		"{'highway': 'residential', 'name': 'Camí de la Font'}"
"Camí de Llabià"	"Camí de Llabià"							"way"	" 75735353"		"{'highway': 'unclassified', 'name': 'Camí de Llabià'}"
"Camí de Llabià"	"Camí de Llabià"							"way"	"344370307"		"{'highway': 'unclassified', 'name': 'Camí de Llabià'}"
"Camí de Llabià"	"Camí de Llabià"							"way"	"121922711"		"{'highway': 'tertiary_link', 'name': 'Camí de Llabià', 'oneway': 'yes'}"
"Camí de Llabià"	"Camí de Llabià"							"way"	"344370340"		"{'highway': 'tertiary_link', 'name': 'Camí de Llabià', 'oneway': 'yes'}"
"Camí de Llabià"	"Camí de Llabià"							"way"	"507756326"		"{'highway': 'tertiary_link', 'name': 'Camí de Llabià', 'oneway': 'yes', 'surface': 'asphalt'}"
"Camí de Llabià"	"Camí de Llabià"							"way"	"507756327"		"{'highway': 'tertiary_link', 'name': 'Camí de Llabià', 'oneway': 'yes', 'surface': 'asphalt'}"
"Camí de Mas Pareta"	"Camí de Mas Pareta"							"way"	"164695524"		"{'brp_access': '3', 'highway': 'unclassified', 'name': 'Camí de Mas Pareta', 'surface': 'asphalt', 'width': '4'}"
"Camí de Sant Iscle d'Empordà"	"Camí de Sant Iscle d'Empordà"							"way"	"310673561"		"{'highway': 'track', 'name': \"Camí de Sant Iscle d'Empordà\"}"
"Camí de Sant Iscle d'Empordà"	"Camí de Sant Iscle d'Empordà"							"way"	"686192440"		"{'highway': 'service', 'name': \"Camí de Sant Iscle d'Empordà\"}"
"Camí del Mas Sabria"	"Camí del Mas Sabria"							"way"	"310672936"		"{'highway': 'unclassified', 'name': 'Camí del Mas Sabria'}"
"Camí del Riu"	"Camí del Riu"							"way"	"310673560"		"{'highway': 'track', 'name': 'Camí del Riu'}"
"Camí dels Rocs"	"Camí dels Rocs"							"way"	"401418065"		"{'highway': 'residential', 'name': 'Camí dels Rocs'}"
"Camí dels Rocs"	"Camí dels Rocs"							"way"	"401418067"		"{'highway': 'residential', 'name': 'Camí dels Rocs'}"
"Camí dels Rocs"	"Camí dels Rocs"							"way"	"401418066"		"{'highway': 'residential', 'name': 'Camí dels Rocs'}"
"Camí dels Valls"	"Camí dels Valls"							"way"	"401418068"		"{'highway': 'residential', 'name': 'Camí dels Valls'}"
"Carrer Barceloneta"	"Carrer Barceloneta"							"way"	"401418071"		"{'highway': 'unclassified', 'name': 'Carrer Barceloneta'}"
"Carrer Costa"	"Carrer Costa"							"way"	"401418072"		"{'highway': 'residential', 'name': 'Carrer Costa'}"
"Carrer d'Albergues"	"Carrer d'Albergues"							"way"	"401418070"		"{'highway': 'residential', 'name': \"Carrer d'Albergues\"}"
"Carrer d'Albergues"	"Carrer d'Albergues"							"way"	"401418069"		"{'highway': 'residential', 'name': \"Carrer d'Albergues\"}"
"Carrer d'Orient"	"Carrer d'Orient"							"way"	"228891079"		"{'highway': 'residential', 'name': \"Carrer d'Orient\"}"
