"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	"182938511"		"{'highway': 'residential', 'name': 'Avinguda de Catalunya'}"
"Avinguda de la Verge de Monserrat"	"Avinguda de la Verge de Monserrat"							"way"	"781549520"		"{'highway': 'residential', 'name': 'Avinguda de la Verge de Monserrat'}"
"Avinguda del Duc de Cardona"	"Avinguda del Duc de Cardona"							"way"	"286402320"		"{'highway': 'residential', 'name': 'Avinguda del Duc de Cardona'}"
"Camí de Fraguerau"	"Camí de Fraguerau"							"way"	"182938515"		"{'highway': 'residential', 'name': 'Camí de Fraguerau'}"
"Camí de la Cova del Corb"	"Camí de la Cova del Corb"							"way"	"185651357"		"{'highway': 'path', 'name': 'Camí de la Cova del Corb', 'sac_scale': 'mountain_hiking'}"
"Camí de Lleida a Reus"	"Camí de Lleida a Reus"							"way"	"283550918"		"{'highway': 'track', 'name': 'Camí de Lleida a Reus', 'tracktype': 'grade2'}"
"Camí ral de Reus a Lleida"	"Camí ral de Reus a Lleida"							"way"	"527264109"		"{'highway': 'path', 'name': 'Camí ral de Reus a Lleida'}"
"Camí vell d'Ulldemolins a la Morera de Montsant"	"Camí vell d'Ulldemolins a la Morera de Montsant"							"way"	"182938527"		"{'highway': 'unclassified', 'name': \"Camí vell d'Ulldemolins a la Morera de Montsant\"}"
"Camí vell d'Ulldemolins a la Morera de Montsant"	"Camí vell d'Ulldemolins a la Morera de Montsant"							"way"	"182938519"		"{'highway': 'track', 'name': \"Camí vell d'Ulldemolins a la Morera de Montsant\", 'tracktype': 'grade2'}"
"Camí vell d'Ulldemolins a la Morera de Montsant"	"Camí vell d'Ulldemolins a la Morera de Montsant"							"way"	"766725995"		"{'highway': 'track', 'name': \"Camí vell d'Ulldemolins a la Morera de Montsant\", 'tracktype': 'grade2'}"
"Camí Vell de Prades a Ulldemolins"	"Camí Vell de Prades a Ulldemolins"							"way"	"128013275"		"{'highway': 'unclassified', 'name': 'Camí Vell de Prades a Ulldemolins'}"
"Carrer Carnisseria"	"Carrer Carnisseria"							"way"	"286403419"		"{'highway': 'residential', 'name': 'Carrer Carnisseria'}"
"Carrer de Fontalba"	"Carrer de Fontalba"							"way"	"286402324"		"{'highway': 'residential', 'name': 'Carrer de Fontalba'}"
"Carrer de Fraguerau"	"Carrer de Fraguerau"							"way"	"182938492"		"{'highway': 'residential', 'name': 'Carrer de Fraguerau'}"
"Carrer de Jacint Verdaguer"	"Carrer de Jacint Verdaguer"							"way"	"182938538"	"name:etymology:wikidata=Q379290"	"{'highway': 'residential', 'name': 'Carrer de Jacint Verdaguer', 'name:etymology:wikidata': 'Q379290'}"
"Carrer de Jaume I"	"Carrer de Jaume I"							"way"	"182938456"		"{'highway': 'residential', 'name': 'Carrer de Jaume I'}"
"Carrer de l'Exiliat"	"Carrer de l'Exiliat"							"way"	"182938501"		"{'highway': 'residential', 'name': \"Carrer de l'Exiliat\"}"
"Carrer de l'Oliver Gros"	"Carrer de l'Oliver Gros"							"way"	"286402322"		"{'highway': 'residential', 'name': \"Carrer de l'Oliver Gros\"}"
"Carrer de la Creu"	"Carrer de la Creu"							"way"	"182938540"		"{'highway': 'residential', 'name': 'Carrer de la Creu'}"
"Carrer de la Magdalena"	"Carrer de la Magdalena"							"way"	"182938550"		"{'highway': 'residential', 'name': 'Carrer de la Magdalena'}"
"Carrer de la Saltadora"	"Carrer de la Saltadora"							"way"	"182938526"		"{'highway': 'residential', 'name': 'Carrer de la Saltadora'}"
"Carrer de la Saltadora"	"Carrer de la Saltadora"							"way"	"501239018"		"{'highway': 'residential', 'name': 'Carrer de la Saltadora'}"
"Carrer de la Saltadora"	"Carrer de la Saltadora"							"way"	"501239017"		"{'highway': 'residential', 'name': 'Carrer de la Saltadora'}"
"Carrer de la Verge de Loreto"	"Carrer de la Verge de Loreto"							"way"	"286402331"		"{'highway': 'residential', 'name': 'Carrer de la Verge de Loreto'}"
"Carrer de la Verge de Loreto"	"Carrer de la Verge de Loreto"							"way"	"128058205"		"{'highway': 'residential', 'name': 'Carrer de la Verge de Loreto'}"
"Carrer de les Eres"	"Carrer de les Eres"							"way"	"182938523"		"{'highway': 'residential', 'name': 'Carrer de les Eres'}"
"Carrer de les Obagues"	"Carrer de les Obagues"							"way"	"182938532"		"{'highway': 'residential', 'name': 'Carrer de les Obagues'}"
"Carrer del Balç"	"Carrer del Balç"							"way"	"286402326"		"{'highway': 'residential', 'name': 'Carrer del Balç'}"
"Carrer del Bon Repòs"	"Carrer del Bon Repòs"							"way"	"182938499"		"{'highway': 'residential', 'name': 'Carrer del Bon Repòs'}"
"Carrer del Castell"	"Carrer del Castell"							"way"	"182938503"		"{'highway': 'residential', 'name': 'Carrer del Castell'}"
"Carrer del Montsant"	"Carrer del Montsant"							"way"	"286402330"		"{'highway': 'residential', 'name': 'Carrer del Montsant'}"
"Carrer del Portal del Roser"	"Carrer del Portal del Roser"							"way"	"182938522"		"{'highway': 'residential', 'name': 'Carrer del Portal del Roser'}"
"Carrer del Sol de la Vila"	"Carrer del Sol de la Vila"							"way"	"182938471"		"{'highway': 'residential', 'name': 'Carrer del Sol de la Vila'}"
"Carrer dels Eixarts"	"Carrer dels Eixarts"							"way"	"182938524"		"{'highway': 'residential', 'name': 'Carrer dels Eixarts'}"
"Carrer Major"	"Carrer Major"							"way"	"182938502"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Major"	"Carrer Major"							"way"	"286402332"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Major"	"Carrer Major"							"way"	"286402333"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Plaça de l'Església"	"Plaça de l'Església"							"way"	"182938455"		"{'highway': 'residential', 'junction': 'roundabout', 'name': \"Plaça de l'Església\"}"
"Plaça de l'Església"	"Plaça de l'Església"							"way"	"686135667"		"{'highway': 'residential', 'junction': 'roundabout', 'name': \"Plaça de l'Església\"}"
"Plaça de la Vila"	"Plaça de la Vila"							"way"	"375370727"		"{'area:highway': 'residential', 'name': 'Plaça de la Vila'}"
"Plaça Ramon Berenguer"	"Plaça Ramon Berenguer"							"way"	"686135668"		"{'highway': 'residential', 'name': 'Plaça Ramon Berenguer'}"
"Plaça Ramon Berenguer"	"Plaça Ramon Berenguer"							"way"	"375370726"		"{'area': 'yes', 'highway': 'residential', 'name': 'Plaça Ramon Berenguer'}"
