"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí d'Espedrogues"	"Camí d'Espedrogues"							"way"	"411326278"		"{'highway': 'track', 'name': \"Camí d'Espedrogues\"}"
"Camí de Belltall"	"Camí de Belltall"							"way"	"270470397"		"{'highway': 'unclassified', 'name': 'Camí de Belltall', 'surface': 'asphalt'}"
"Camí de l'Horta"	"Camí de l'Horta"							"way"	"559011042"		"{'highway': 'residential', 'name': \"Camí de l'Horta\"}"
"Camí de la Creu"	"Camí de la Creu"							"way"	"195376822"		"{'highway': 'unclassified', 'name': 'Camí de la Creu'}"
"Camí de la Creu"	"Camí de la Creu"							"way"	"686024285"		"{'highway': 'unclassified', 'name': 'Camí de la Creu'}"
"Camí de la Creu"	"Camí de la Creu"							"way"	"195376824"		"{'bridge': 'yes', 'highway': 'unclassified', 'name': 'Camí de la Creu'}"
"Camí de la Fulla"	"Camí de la Fulla"							"way"	"100808813"		"{'highway': 'unclassified', 'name': 'Camí de la Fulla', 'surface': 'asphalt'}"
"Camí de la Fulla"	"Camí de la Fulla"							"way"	" 78353370"		"{'highway': 'unclassified', 'name': 'Camí de la Fulla'}"
"Camí de la Fulla"	"Camí de la Fulla"							"way"	"270470396"		"{'highway': 'unclassified', 'name': 'Camí de la Fulla', 'surface': 'asphalt'}"
"Camí de la Riera"	"Camí de la Riera"							"way"	"195376827"		"{'highway': 'unclassified', 'name': 'Camí de la Riera'}"
"Camí de les Borges Blanques"	"Camí de les Borges Blanques"							"way"	" 77910532"		"{'highway': 'unclassified', 'name': 'Camí de les Borges Blanques', 'surface': 'asphalt'}"
"Camí de les Borges Blanques"	"Camí de les Borges Blanques"							"way"	" 77910546"		"{'highway': 'unclassified', 'name': 'Camí de les Borges Blanques', 'ref': 'L-220'}"
"Camí de les Borges Blanques"	"Camí de les Borges Blanques"							"way"	"371722286"		"{'highway': 'unclassified', 'name': 'Camí de les Borges Blanques', 'surface': 'asphalt'}"
"Camí de les Eres"	"Camí de les Eres"							"way"	"299350790"		"{'highway': 'unclassified', 'name': 'Camí de les Eres'}"
"Camí de Sant Jaume de Tarragona a Lleida"	"Camí de Sant Jaume de Tarragona a Lleida"							"relation"	"  7405905"		"{'description': '6 Senan - els Omells de na Gaia - Llorenç de Rocafort - Maldà - Belianes', 'name': 'Camí de Sant Jaume de Tarragona a Lleida', 'network': 'nwn', 'osmc:symbol': 'blue:blue:shell_modern', 'route': 'hiking', 'type': 'route'}"
"Camí de Senan"	"Camí de Senan"							"way"	"411994978"		"{'highway': 'track', 'name': 'Camí de Senan'}"
"Camí de Serradells"	"Camí de Serradells"							"way"	"195376825"		"{'highway': 'unclassified', 'name': 'Camí de Serradells'}"
"Camí de Vallbona de les Monges a Rocafort de Vallbona"	"Camí de Vallbona de les Monges a Rocafort de Vallbona"							"way"	"195407304"		"{'highway': 'track', 'name': 'Camí de Vallbona de les Monges a Rocafort de Vallbona', 'surface': 'compacted', 'tracktype': 'grade2'}"
"Camí del Clot de l'Olla"	"Camí del Clot de l'Olla"							"way"	"195376828"		"{'highway': 'unclassified', 'name': \"Camí del Clot de l'Olla\", 'surface': 'paved'}"
"Camí del Tallat"	"Camí del Tallat"							"way"	" 77910531"		"{'highway': 'track', 'name': 'Camí del Tallat'}"
"Camí del Tallat"	"Camí del Tallat"							"way"	"762534072"		"{'highway': 'secondary_link', 'name': 'Camí del Tallat', 'oneway': 'yes', 'ref': 'LP-2335'}"
"Camí del Tallat"	"Camí del Tallat"							"way"	"196655120"		"{'highway': 'unclassified', 'name': 'Camí del Tallat'}"
"Camí dels Hostalets"	"Camí dels Hostalets"							"way"	"495288642"		"{'highway': 'track', 'name': 'Camí dels Hostalets'}"
"Camí dels Hostalets"	"Camí dels Hostalets"							"way"	"411338019"		"{'highway': 'unclassified', 'name': 'Camí dels Hostalets'}"
"Camí dels Hostalets"	"Camí dels Hostalets"							"way"	"495288629"		"{'highway': 'unclassified', 'name': 'Camí dels Hostalets'}"
"Camí dels Hostalets"	"Camí dels Hostalets"							"way"	"495288643"		"{'highway': 'unclassified', 'name': 'Camí dels Hostalets'}"
"Camí Ral"	"Camí Ral"							"way"	"270476248"		"{'highway': 'unclassified', 'name': 'Camí Ral'}"
"Camí Ral"	"Camí Ral"							"way"	"131752998"		"{'highway': 'unclassified', 'name': 'Camí Ral'}"
"Camí Ral"	"Camí Ral"							"way"	"196655112"		"{'highway': 'unclassified', 'name': 'Camí Ral'}"
"Camí Ral"	"Camí Ral"							"way"	"270476247"		"{'highway': 'unclassified', 'name': 'Camí Ral'}"
"Camí Ral"	"Camí Ral"							"way"	"196543881"		"{'highway': 'unclassified', 'name': 'Camí Ral'}"
"Carrer Costereta"	"Carrer Costereta"							"way"	"195376799"		"{'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Carrer Costereta', 'surface': 'paving_stones'}"
"Carrer de l'Àmfora"	"Carrer de l'Àmfora"							"way"	"196543894"		"{'highway': 'unclassified', 'name': \"Carrer de l'Àmfora\", 'surface': 'asphalt'}"
"Carrer de l'Àmfora"	"Carrer de l'Àmfora"							"way"	"371722303"		"{'highway': 'unclassified', 'name': \"Carrer de l'Àmfora\", 'surface': 'asphalt'}"
"Carrer de l'Eixida"	"Carrer de l'Eixida"							"way"	" 66258148"		"{'highway': 'unclassified', 'name': \"Carrer de l'Eixida\"}"
"Carrer de la Creu"	"Carrer de la Creu"							"way"	"195376805"		"{'highway': 'residential', 'name': 'Carrer de la Creu'}"
"Carrer de la Creu"	"Carrer de la Creu"							"way"	"196543848"		"{'highway': 'residential', 'name': 'Carrer de la Creu'}"
"Carrer de la Muralla"	"Carrer de la Muralla"							"way"	"195376807"		"{'highway': 'residential', 'name': 'Carrer de la Muralla'}"
"Carrer de la Muralla"	"Carrer de la Muralla"							"way"	"195376806"		"{'highway': 'residential', 'name': 'Carrer de la Muralla'}"
"Carrer de la Plaça"	"Carrer de la Plaça"							"way"	"196543849"		"{'highway': 'residential', 'name': 'Carrer de la Plaça'}"
"Carrer de les Feixes"	"Carrer de les Feixes"							"way"	"559011051"		"{'highway': 'residential', 'name': 'Carrer de les Feixes'}"
