"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí del Cementiri"	"Camí del Cementiri"							"way"	"694217037"		"{'highway': 'unclassified', 'mtb:scale': '0', 'name': 'Camí del Cementiri', 'surface': 'asphalt'}"
"Camí del Mas de la Llana"	"Camí del Mas de la Llana"							"way"	"557686809"		"{'highway': 'track', 'mtb:scale': '0', 'name': 'Camí del Mas de la Llana', 'surface': 'ground'}"
"Carrer de Borràs"	"Carrer de Borràs"							"way"	"227010553"		"{'highway': 'residential', 'name': 'Carrer de Borràs'}"
"Carrer de la Font"	"Carrer de la Font"							"way"	"227010556"		"{'highway': 'residential', 'name': 'Carrer de la Font'}"
"Carrer de la Muralla"	"Carrer de la Muralla"							"way"	"227010558"		"{'highway': 'residential', 'name': 'Carrer de la Muralla'}"
"Carrer de la Placeta"	"Carrer de la Placeta"							"way"	"227010549"		"{'highway': 'residential', 'name': 'Carrer de la Placeta'}"
"Carrer de la Placeta"	"Carrer de la Placeta"							"way"	"227010552"		"{'highway': 'residential', 'name': 'Carrer de la Placeta'}"
"Carrer de les Piques"	"Carrer de les Piques"							"way"	"667902883"		"{'highway': 'residential', 'name': 'Carrer de les Piques'}"
"Carrer del Corraló"	"Carrer del Corraló"							"way"	"667902887"		"{'highway': 'residential', 'name': 'Carrer del Corraló', 'tunnel': 'building_passage'}"
"Carrer del Corraló"	"Carrer del Corraló"							"way"	"667902888"		"{'highway': 'residential', 'name': 'Carrer del Corraló'}"
"Carrer del Mil·lenari de Catalunya"	"Carrer del Mil·lenari de Catalunya"							"way"	"667902878"		"{'highway': 'residential', 'name': 'Carrer del Mil·lenari de Catalunya'}"
"Carrer del Priorat"	"Carrer del Priorat"							"way"	"227010557"		"{'highway': 'unclassified', 'name': 'Carrer del Priorat', 'oneway': 'no'}"
"Carrer Major"	"Carrer Major"							"way"	"667902884"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Plaça de l'Església"	"Plaça de l'Església"							"way"	"667902885"		"{'highway': 'residential', 'name': \"Plaça de l'Església\", 'oneway': 'no'}"
"Plaça de l'Església"	"Plaça de l'Església"							"way"	"667902886"		"{'highway': 'residential', 'name': \"Plaça de l'Església\"}"
