"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí d'Arminyà"	"Camí d'Arminyà"	"Camí de la Noguereta"	"Camí de la Noguereta"					"way"	" 834280985"		"{'alt_name': 'Camí de la Noguereta', 'bicycle': 'no', 'foot': 'yes', 'highway': 'path', 'horse': 'no', 'incline': 'down', 'name': \"Camí d'Arminyà\", 'sac_scale': 'mountain_hiking', 'surface': 'ground', 'trail_visibility': 'intermediate', 'wheelchair': 'no'}"
"Camí d'Arminyà"	"Camí d'Arminyà"							"way"	" 395187631"		"{'highway': 'path', 'name': \"Camí d'Arminyà\", 'sac_scale': 'demanding_mountain_hiking'}"
"camí d'Otrelles"	"camí d'Otrelles"							"way"	" 788952508"		"{'highway': 'path', 'name': \"camí d'Otrelles\", 'width': '1'}"
"camí d'Otrelles"	"camí d'Otrelles"							"way"	"1020100087"		"{'highway': 'path', 'name': \"camí d'Otrelles\", 'trail_visibility': 'bad'}"
"camí d'Otrelles"	"camí d'Otrelles"							"way"	"1020100090"		"{'highway': 'path', 'name': \"camí d'Otrelles\", 'width': '1'}"
"camí d'Otrelles"	"camí d'Otrelles"							"way"	"1020100089"		"{'highway': 'path', 'name': \"camí d'Otrelles\", 'sac_scale': 'mountain_hiking', 'trail_visibility': 'excellent'}"
"camí d'Otrelles"	"camí d'Otrelles"							"way"	"1020100088"		"{'highway': 'path', 'name': \"camí d'Otrelles\", 'sac_scale': 'mountain_hiking', 'trail_visibility': 'intermediate'}"
"Camí de l'Argivello"	"Camí de l'Argivello"							"way"	" 442599855"		"{'bicycle': 'yes', 'foot': 'yes', 'highway': 'path', 'horse': 'no', 'name': \"Camí de l'Argivello\", 'sac_scale': 'hiking', 'surface': 'gravel', 'trail_visibility': 'excellent', 'wheelchair': 'no'}"
"Camí de l'Argivello"	"Camí de l'Argivello"							"way"	"  42931406"		"{'highway': 'track', 'name': \"Camí de l'Argivello\", 'tracktype': 'grade2'}"
"Camí de l'Argivello"	"Camí de l'Argivello"							"way"	" 839293853"		"{'bicycle': 'yes', 'bridge': 'yes', 'foot': 'yes', 'highway': 'path', 'horse': 'no', 'name': \"Camí de l'Argivello\", 'sac_scale': 'hiking', 'surface': 'gravel', 'trail_visibility': 'excellent', 'wheelchair': 'no'}"
"Camí de l'Argivello"	"Camí de l'Argivello"							"way"	" 839293852"		"{'bicycle': 'yes', 'foot': 'yes', 'highway': 'path', 'horse': 'no', 'name': \"Camí de l'Argivello\", 'sac_scale': 'hiking', 'surface': 'gravel', 'trail_visibility': 'excellent', 'wheelchair': 'no'}"
