"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Catalunya"	"Avinguda de Catalunya"			""	""	""	""	"way"	"361003224"		"{'highway': 'tertiary', 'lanes': '2', 'name': 'Avinguda de Catalunya', 'oneway': 'no', 'ref': 'N-230c'}"
"Avinguda de la Generalitat"	"Avinguda de la Generalitat"			""	""	""	""	"way"	"293657102"		"{'highway': 'residential', 'name': 'Avinguda de la Generalitat'}"
"Avinguda de la Generalitat"	"Avinguda de la Generalitat"			""	""	""	""	"way"	"293657136"		"{'highway': 'residential', 'name': 'Avinguda de la Generalitat'}"
"Camí de la Creu"	"Camí de la Creu"			""	""	""	""	"way"	"293657138"		"{'highway': 'residential', 'name': 'Camí de la Creu'}"
"Camí de les Bassetes"	"Camí de les Bassetes"			""	""	""	""	"way"	"493456625"		"{'highway': 'unclassified', 'name': 'Camí de les Bassetes', 'surface': 'asphalt'}"
"Camí de Sant Jaume"	"Camí de Sant Jaume"			"Camí de Sant Jaume, Camí de Santiago, Camino de Santiago, El cami de sant jaume, Camiño de Santiago"	"Camí de Sant Jaume"	"pilgrims' way"	"Q41150"	"relation"	"  8055087"		"{'description': 'Deltebre - Pina de Ebro', 'name': 'Camí de Sant Jaume', 'network': 'nwn', 'osmc:symbol': 'blue:blue:shell_modern', 'pilgrimage': 'Camí de Sant Jaume', 'religion': 'christian', 'route': 'hiking', 'type': 'route', 'wiki:symbol': 'Symbol_Jakobsweg.png', 'wikidata': 'Q41150', 'wikipedia': 'ca:Camí de Sant Jaume'}"
"Camí del Cementiri"	"Camí del Cementiri"			""	""	""	""	"way"	"759351884"		"{'highway': 'track', 'name': 'Camí del Cementiri', 'tracktype': 'grade1'}"
"Camí del Zigzet"	"Camí del Zigzet"			""	""	""	""	"way"	"533552315"		"{'highway': 'track', 'name': 'Camí del Zigzet'}"
