"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 380472579"		"{'highway': 'living_street', 'name': 'Avinguda de Catalunya'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 160497536"		"{'highway': 'residential', 'name': 'Avinguda de Catalunya'}"
"Avinguda de les Garrigues"	"Avinguda de les Garrigues"							"way"	" 160500996"		"{'highway': 'residential', 'name': 'Avinguda de les Garrigues'}"
"Avinguda de Mossèn Anton"	"Avinguda de Mossèn Anton"							"way"	" 160497616"		"{'highway': 'residential', 'name': 'Avinguda de Mossèn Anton'}"
"Camí d'Andomés"	"Camí d'Andomés"							"way"	" 160500997"		"{'highway': 'residential', 'name': \"Camí d'Andomés\"}"
"Camí de Cervià"	"Camí de Cervià"							"way"	" 160489538"		"{'highway': 'living_street', 'name': 'Camí de Cervià'}"
"Camí de Cervià"	"Camí de Cervià"							"way"	" 160489539"		"{'area': 'yes', 'highway': 'living_street', 'name': 'Camí de Cervià'}"
"Camí de Cervià"	"Camí de Cervià"							"way"	" 160489540"		"{'highway': 'living_street', 'name': 'Camí de Cervià'}"
"Camí de l'Aiguamoll"	"Camí de l'Aiguamoll"							"way"	" 160497593"		"{'highway': 'living_street', 'name': \"Camí de l'Aiguamoll\"}"
"Camí de la Closa"	"Camí de la Closa"							"way"	" 160489541"		"{'highway': 'residential', 'name': 'Camí de la Closa'}"
"Camí de la Closa"	"Camí de la Closa"							"way"	" 160501024"		"{'highway': 'unclassified', 'name': 'Camí de la Closa'}"
"Camí de les Comes"	"Camí de les Comes"							"way"	" 161573208"		"{'highway': 'unclassified', 'name': 'Camí de les Comes', 'surface': 'asphalt'}"
"Camí de les Comes"	"Camí de les Comes"							"way"	" 161573221"		"{'bridge': 'yes', 'highway': 'unclassified', 'name': 'Camí de les Comes', 'surface': 'asphalt'}"
"Camí de les Comes"	"Camí de les Comes"							"way"	" 161573233"		"{'highway': 'unclassified', 'name': 'Camí de les Comes', 'surface': 'asphalt'}"
"Camí de les Gçuàrdies"	"Camí de les Gçuàrdies"							"way"	" 160489574"		"{'highway': 'residential', 'name': 'Camí de les Gçuàrdies'}"
"Camí del Pedregam"	"Camí del Pedregam"							"way"	" 160489543"		"{'highway': 'living_street', 'name': 'Camí del Pedregam'}"
"Camí del Pedregam"	"Camí del Pedregam"							"way"	" 160489542"		"{'highway': 'living_street', 'name': 'Camí del Pedregam'}"
