"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 633345474"		"{'highway': 'tertiary', 'name': 'Avinguda de Catalunya', 'ref': 'N-340a'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 633387255"		"{'highway': 'tertiary', 'name': 'Avinguda de Catalunya', 'ref': 'N-340a'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 633387256"		"{'highway': 'tertiary', 'junction': 'roundabout', 'name': 'Avinguda de Catalunya'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 195174978"		"{'highway': 'tertiary', 'name': 'Avinguda de Catalunya', 'ref': 'N-340a'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 381822576"		"{'highway': 'residential', 'name': 'Avinguda de Catalunya', 'oneway': 'yes'}"
"Avinguda de Francesc Robert Graupera"	"Avinguda de Francesc Robert Graupera"							"way"	" 195172810"		"{'highway': 'residential', 'name': 'Avinguda de Francesc Robert Graupera'}"
"Avinguda de la Generalitat"	"Avinguda de la Generalitat"							"way"	" 195168935"		"{'highway': 'residential', 'name': 'Avinguda de la Generalitat'}"
"Camí de Bernis"	"Camí de Bernis"							"way"	" 381742849"		"{'highway': 'unclassified', 'name': 'Camí de Bernis'}"
"Camí de l'Ermita al Barri de l'Estació"	"Camí de l'Ermita al Barri de l'Estació"							"way"	" 195172768"		"{'highway': 'unclassified', 'name': \"Camí de l'Ermita al Barri de l'Estació\"}"
"Camí de l'Ermita de l'Aldea"	"Camí de l'Ermita de l'Aldea"							"way"	" 381822579"		"{'highway': 'unclassified', 'name': \"Camí de l'Ermita de l'Aldea\"}"
"Camí de la Ca Blanca"	"Camí de la Ca Blanca"							"way"	" 895452671"		"{'highway': 'path', 'name': 'Camí de la Ca Blanca'}"
"Camí de la granadella"	"Camí de la granadella"							"way"	" 292083210"		"{'highway': 'unclassified', 'name': 'Camí de la granadella'}"
"Camí de la Via"	"Camí de la Via"							"way"	" 195172821"		"{'highway': 'residential', 'name': 'Camí de la Via'}"
"Camí de Menta"	"Camí de Menta"							"way"	" 223122779"		"{'highway': 'unclassified', 'name': 'Camí de Menta'}"
"Camí de Menta"	"Camí de Menta"							"way"	" 223122777"		"{'bridge': 'yes', 'highway': 'unclassified', 'layer': '2', 'name': 'Camí de Menta'}"
"Camí de Menta"	"Camí de Menta"							"way"	" 223122778"		"{'highway': 'unclassified', 'lane_markings': 'no', 'name': 'Camí de Menta', 'surface': 'asphalt'}"
"Camí de Menta"	"Camí de Menta"							"way"	" 223122780"		"{'highway': 'unclassified', 'layer': '-1', 'name': 'Camí de Menta', 'tunnel': 'yes'}"
"Camí de Menta"	"Camí de Menta"							"way"	" 223122782"		"{'highway': 'unclassified', 'name': 'Camí de Menta'}"
