"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de Cal Mesover"	"Camí de Cal Mesover"							"way"	"372554946"		"{'highway': 'residential', 'name': 'Camí de Cal Mesover'}"
"Camí de les Escoles"	"Camí de les Escoles"							"way"	"556532089"		"{'highway': 'residential', 'name': 'Camí de les Escoles'}"
"Carrer d'Osona"	"Carrer d'Osona"							"way"	"769403458"		"{'highway': 'residential', 'name': \"Carrer d'Osona\"}"
"Carrer d'Osona"	"Carrer d'Osona"							"way"	"769403457"		"{'highway': 'residential', 'name': \"Carrer d'Osona\"}"
"Carrer d'Osona"	"Carrer d'Osona"							"way"	"185385918"		"{'highway': 'residential', 'name': \"Carrer d'Osona\"}"
"Carrer d'Osona"	"Carrer d'Osona"							"way"	"185385927"		"{'highway': 'residential', 'name': \"Carrer d'Osona\"}"
"Carrer de Bellmunt"	"Carrer de Bellmunt"							"way"	"318270109"		"{'highway': 'residential', 'name': 'Carrer de Bellmunt'}"
"Carrer de Bernat de Cabrera"	"Carrer de Bernat de Cabrera"							"way"	"185385913"		"{'highway': 'residential', 'name': 'Carrer de Bernat de Cabrera'}"
"Carrer de Bernat de Cabrera"	"Carrer de Bernat de Cabrera"							"way"	"318273272"		"{'highway': 'residential', 'name': 'Carrer de Bernat de Cabrera'}"
"Carrer de Cabrera"	"Carrer de Cabrera"							"way"	"567954070"		"{'highway': 'residential', 'name': 'Carrer de Cabrera', 'surface': 'asphalt', 'width': '5'}"
"Carrer de Call de Can Xalota"	"Carrer de Call de Can Xalota"							"way"	"185385936"		"{'highway': 'residential', 'name': 'Carrer de Call de Can Xalota'}"
"Carrer de Collsacabra"	"Carrer de Collsacabra"							"way"	"185385933"		"{'highway': 'residential', 'name': 'Carrer de Collsacabra', 'surface': 'asphalt'}"
"Carrer de Francesc Maciià"	"Carrer de Francesc Maciià"							"way"	"185385932"		"{'highway': 'residential', 'name': 'Carrer de Francesc Maciià'}"
"Carrer de Jacint Verdaguer"	"Carrer de Jacint Verdaguer"							"way"	"223571129"	"name:etymology:wikidata=Q379290"	"{'highway': 'residential', 'name': 'Carrer de Jacint Verdaguer', 'name:etymology:wikidata': 'Q379290'}"
"Carrer de Jaume Balmes"	"Carrer de Jaume Balmes"							"way"	"556532088"		"{'highway': 'residential', 'name': 'Carrer de Jaume Balmes'}"
"Carrer de Joan de Serrallonga"	"Carrer de Joan de Serrallonga"							"way"	"121587384"		"{'highway': 'residential', 'name': 'Carrer de Joan de Serrallonga', 'surface': 'asphalt', 'width': '5'}"
"Carrer de Joan Maragall"	"Carrer de Joan Maragall"							"way"	"185385925"	"name:etymology:wikidata=Q562402"	"{'highway': 'residential', 'name': 'Carrer de Joan Maragall', 'name:etymology:wikidata': 'Q562402'}"
"Carrer de Joan Miró"	"Carrer de Joan Miró"							"way"	"185385938"		"{'highway': 'residential', 'name': 'Carrer de Joan Miró'}"
"Carrer de Joan Pons"	"Carrer de Joan Pons"							"way"	"185385929"		"{'highway': 'residential', 'name': 'Carrer de Joan Pons'}"
"Carrer de l'Era"	"Carrer de l'Era"							"way"	"185385942"		"{'highway': 'residential', 'name': \"Carrer de l'Era\"}"
"Carrer de la Placeta"	"Carrer de la Placeta"							"way"	"136886836"		"{'highway': 'residential', 'name': 'Carrer de la Placeta', 'oneway': 'yes'}"
"Carrer de la Placeta"	"Carrer de la Placeta"							"way"	"318273274"		"{'highway': 'residential', 'name': 'Carrer de la Placeta', 'oneway': 'yes'}"
"Carrer de la Salut"	"Carrer de la Salut"							"way"	"185385922"		"{'highway': 'residential', 'name': 'Carrer de la Salut'}"
"Carrer de la Verge de Montserrat"	"Carrer de la Verge de Montserrat"							"way"	"185385917"		"{'highway': 'residential', 'name': 'Carrer de la Verge de Montserrat'}"
"Carrer de la Verge de Montserrat"	"Carrer de la Verge de Montserrat"							"way"	"409619355"		"{'highway': 'residential', 'name': 'Carrer de la Verge de Montserrat'}"
"Carrer de les Guilleries"	"Carrer de les Guilleries"							"way"	"121587383"		"{'highway': 'residential', 'name': 'Carrer de les Guilleries', 'surface': 'asphalt'}"
