"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Josep Irla"	"Avinguda de Josep Irla"							"way"	" 878346734"		"{'highway': 'primary', 'maxspeed': '50', 'name': 'Avinguda de Josep Irla', 'ref': 'C-66', 'surface': 'asphalt'}"
"Avinguda de Josep Irla"	"Avinguda de Josep Irla"							"way"	"  39172937"		"{'highway': 'primary', 'maxspeed': '50', 'name': 'Avinguda de Josep Irla', 'ref': 'C-66', 'surface': 'asphalt'}"
"Avinguda de Josep Irla"	"Avinguda de Josep Irla"							"way"	" 878346735"		"{'highway': 'primary', 'maxspeed': '50', 'name': 'Avinguda de Josep Irla', 'ref': 'C-66', 'surface': 'asphalt'}"
"Avinguda de Sant Francesc"	"Avinguda de Sant Francesc"							"way"	" 154232223"		"{'highway': 'residential', 'name': 'Avinguda de Sant Francesc'}"
"Avinguda del President Companys"	"Avinguda del President Companys"							"way"	" 878346732"		"{'highway': 'tertiary', 'name': 'Avinguda del President Companys', 'ref': 'GI-660'}"
"Avinguda del President Companys"	"Avinguda del President Companys"							"way"	" 210873034"		"{'highway': 'tertiary', 'name': 'Avinguda del President Companys', 'ref': 'GI-660'}"
"Avinguda del President Companys"	"Avinguda del President Companys"							"way"	" 878346731"		"{'highway': 'tertiary', 'name': 'Avinguda del President Companys', 'ref': 'GI-660'}"
"Avinguda Sant Ferran"	"Avinguda Sant Ferran"							"way"	" 154232535"		"{'highway': 'residential', 'name': 'Avinguda Sant Ferran'}"
"Avinguda Sant Francesc"	"Avinguda Sant Francesc"							"way"	" 435147177"		"{'highway': 'residential', 'name': 'Avinguda Sant Francesc'}"
"Camí de Fitor"	"Camí de Fitor"							"way"	" 147551541"		"{'access': 'yes', 'bicycle': 'yes', 'foot': 'yes', 'highway': 'track', 'horse': 'yes', 'motor_vehicle': 'yes', 'name': 'Camí de Fitor', 'surface': 'unpaved'}"
"Camí de Guardiola"	"Camí de Guardiola"							"way"	" 210873036"		"{'highway': 'residential', 'name': 'Camí de Guardiola'}"
"Camí de Guardiola"	"Camí de Guardiola"							"way"	" 878346728"		"{'highway': 'residential', 'name': 'Camí de Guardiola'}"
"Camí de Sant Cebrià dels Alls"	"Camí de Sant Cebrià dels Alls"							"way"	" 255792730"		"{'highway': 'track', 'name': 'Camí de Sant Cebrià dels Alls'}"
"Camí del cementiri"	"Camí del cementiri"							"way"	" 449985667"		"{'access': 'permissive', 'bicycle': 'yes', 'highway': 'residential', 'horse': 'yes', 'mtb:scale': '0', 'mtb:scale:uphill': '0', 'name': 'Camí del cementiri', 'smoothness': 'intermediate', 'surface': 'unpaved', 'tracktype': 'grade1', 'width': '5'}"
"Camí del cementiri"	"Camí del cementiri"							"way"	" 531892552"		"{'access': 'permissive', 'bicycle': 'yes', 'highway': 'residential', 'horse': 'yes', 'mtb:scale': '0', 'mtb:scale:uphill': '0', 'name': 'Camí del cementiri', 'smoothness': 'intermediate', 'surface': 'unpaved', 'tracktype': 'grade1', 'width': '5'}"
"Camí del Pi"	"Camí del Pi"							"way"	" 204187962"		"{'highway': 'residential', 'name': 'Camí del Pi', 'surface': 'asphalt'}"
"Carrer Abat Escarré"	"Carrer Abat Escarré"							"way"	" 154232262"		"{'highway': 'residential', 'name': 'Carrer Abat Escarré', 'surface': 'asphalt'}"
"Carrer Abat Oliva"	"Carrer Abat Oliva"							"way"	" 154232258"		"{'highway': 'residential', 'name': 'Carrer Abat Oliva', 'surface': 'asphalt'}"
"Carrer Adela Traiter"	"Carrer Adela Traiter"							"way"	" 204187963"		"{'highway': 'residential', 'name': 'Carrer Adela Traiter', 'oneway': 'yes', 'surface': 'asphalt'}"
"Carrer Adela Traiter"	"Carrer Adela Traiter"							"way"	" 154232204"		"{'highway': 'residential', 'name': 'Carrer Adela Traiter', 'oneway': 'yes', 'surface': 'asphalt'}"
"Carrer Agustí Font"	"Carrer Agustí Font"							"way"	"  36781165"		"{'highway': 'residential', 'name': 'Carrer Agustí Font', 'surface': 'asphalt'}"
"Carrer Agustí Font"	"Carrer Agustí Font"							"way"	" 121921621"		"{'highway': 'residential', 'junction': 'roundabout', 'name': 'Carrer Agustí Font'}"
"Carrer Agustí Font"	"Carrer Agustí Font"							"way"	"  36781163"		"{'highway': 'residential', 'name': 'Carrer Agustí Font', 'oneway': 'yes'}"
