"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 534043540"		"{'change:lanes:backward': 'no', 'change:lanes:forward': 'no', 'highway': 'tertiary', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'name': 'Avinguda de Catalunya', 'oneway': 'no', 'ref': 'T-733', 'width': '7'}"
"Avinguda de la Misericòrdia"	"Avinguda de la Misericòrdia"							"way"	"1013098987"		"{'highway': 'tertiary', 'name': 'Avinguda de la Misericòrdia', 'ref': 'TV-7331a'}"
"Avinguda de la Misericòrdia"	"Avinguda de la Misericòrdia"							"way"	" 232523888"		"{'highway': 'tertiary', 'name': 'Avinguda de la Misericòrdia', 'ref': 'TV-7331a'}"
"Avinguda de la Misericòrdia"	"Avinguda de la Misericòrdia"							"way"	" 232513763"		"{'highway': 'residential', 'name': 'Avinguda de la Misericòrdia'}"
"Camí de Bingaubó"	"Camí de Bingaubó"							"way"	" 534077994"		"{'highway': 'unclassified', 'name': 'Camí de Bingaubó', 'surface': 'compacted', 'tracktype': 'grade2'}"
"Camí de Bingaubó"	"Camí de Bingaubó"							"way"	"1013098989"		"{'highway': 'unclassified', 'name': 'Camí de Bingaubó', 'surface': 'compacted', 'tracktype': 'grade2'}"
"Camí de Flix"	"Camí de Flix"							"way"	" 856815819"		"{'highway': 'track', 'name': 'Camí de Flix', 'source': 'GPS Survey', 'surface': 'paved', 'tracktype': 'grade1'}"
"Camí de l'Aigua de la Fonta"	"Camí de l'Aigua de la Fonta"							"way"	" 534077999"		"{'highway': 'unclassified', 'name': \"Camí de l'Aigua de la Fonta\", 'surface': 'gravel'}"
"Camí de l'Aigua de la Fonta"	"Camí de l'Aigua de la Fonta"							"way"	" 293888465"		"{'highway': 'unclassified', 'name': \"Camí de l'Aigua de la Fonta\", 'surface': 'asphalt'}"
"Camí de l'Aigua de la Fonta"	"Camí de l'Aigua de la Fonta"							"way"	"1013098984"		"{'highway': 'unclassified', 'name': \"Camí de l'Aigua de la Fonta\", 'surface': 'asphalt'}"
"Camí de l'Aigua de la Fonta"	"Camí de l'Aigua de la Fonta"							"way"	" 534077995"		"{'highway': 'unclassified', 'name': \"Camí de l'Aigua de la Fonta\", 'surface': 'unpaved', 'tracktype': 'grade2'}"
"Camí de l'Aigua de la Fonta"	"Camí de l'Aigua de la Fonta"							"way"	" 545048992"		"{'highway': 'track', 'name': \"Camí de l'Aigua de la Fonta\"}"
"Camí de l'Aigua de la Fonta"	"Camí de l'Aigua de la Fonta"							"way"	" 706054819"		"{'highway': 'track', 'name': \"Camí de l'Aigua de la Fonta\"}"
"Camí de les Camposines"	"Camí de les Camposines"							"way"	" 293799136"		"{'highway': 'unclassified', 'name': 'Camí de les Camposines'}"
"Camí de les Comijanes"	"Camí de les Comijanes"							"way"	" 856443550"		"{'highway': 'track', 'name': 'Camí de les Comijanes'}"
"Camí de les Modorres"	"Camí de les Modorres"							"way"	"  48063691"		"{'highway': 'unclassified', 'name': 'Camí de les Modorres'}"
"Camí de les Palades"	"Camí de les Palades"							"way"	" 857146487"		"{'highway': 'track', 'name': 'Camí de les Palades', 'tracktype': 'grade3'}"
"Camí de les Paumeres"	"Camí de les Paumeres"							"way"	" 856443585"		"{'highway': 'track', 'name': 'Camí de les Paumeres'}"
"Camí de Mas de Cirers"	"Camí de Mas de Cirers"							"way"	" 856443549"		"{'highway': 'track', 'name': 'Camí de Mas de Cirers'}"
"Camí de Sant Francesc"	"Camí de Sant Francesc"							"way"	"  69365833"		"{'highway': 'unclassified', 'maxspeed': '30', 'name': 'Camí de Sant Francesc', 'source': 'GPS Survey', 'surface': 'paved', 'tracktype': 'grade1'}"
"Camí de Sant Francesc"	"Camí de Sant Francesc"							"way"	"  69609269"		"{'highway': 'track', 'maxspeed': '30', 'name': 'Camí de Sant Francesc', 'source': 'GPS Survey', 'surface': 'gravel', 'tracktype': 'grade2'}"
"Camí de Sant Francesc"	"Camí de Sant Francesc"							"way"	" 824596749"		"{'highway': 'unclassified', 'maxspeed': '30', 'name': 'Camí de Sant Francesc', 'source': 'GPS Survey', 'surface': 'paved', 'tracktype': 'grade1'}"
"Camí del Coll de l'Hospital"	"Camí del Coll de l'Hospital"							"way"	" 545048995"		"{'highway': 'track', 'name': \"Camí del Coll de l'Hospital\", 'tracktype': 'grade2'}"
"Camí del Coll de l'Hospital"	"Camí del Coll de l'Hospital"							"way"	" 545048996"		"{'highway': 'track', 'name': \"Camí del Coll de l'Hospital\"}"
"Camí del Coll de l'Hospital"	"Camí del Coll de l'Hospital"							"way"	" 754414997"		"{'highway': 'track', 'name': \"Camí del Coll de l'Hospital\", 'tracktype': 'grade3'}"
"Camí del Coll de l'Hospital"	"Camí del Coll de l'Hospital"							"way"	" 754414998"		"{'highway': 'unclassified', 'name': \"Camí del Coll de l'Hospital\"}"
"Camí del Mas de Bova"	"Camí del Mas de Bova"							"way"	" 369059743"		"{'highway': 'track', 'name': 'Camí del Mas de Bova', 'tracktype': 'grade3'}"
"Camí del Mas de Capllarg"	"Camí del Mas de Capllarg"							"way"	" 293888481"		"{'highway': 'unclassified', 'name': 'Camí del Mas de Capllarg'}"
"Camí del Mas de Gironès"	"Camí del Mas de Gironès"							"way"	" 534059810"		"{'highway': 'unclassified', 'name': 'Camí del Mas de Gironès', 'surface': 'compacted'}"
"Camí del Mas de Gironès"	"Camí del Mas de Gironès"							"way"	" 534059808"		"{'highway': 'unclassified', 'name': 'Camí del Mas de Gironès', 'surface': 'asphalt'}"
"Camí del Mas del Virgilio"	"Camí del Mas del Virgilio"							"way"	" 856815815"		"{'highway': 'track', 'name': 'Camí del Mas del Virgilio'}"
"Camí dels Hospitals"	"Camí dels Hospitals"							"way"	" 545048994"		"{'highway': 'unclassified', 'name': 'Camí dels Hospitals'}"
"Camí dels Montagudells"	"Camí dels Montagudells"							"way"	" 679272554"		"{'highway': 'track', 'name': 'Camí dels Montagudells'}"
"Camí dels Raimats"	"Camí dels Raimats"							"way"	"  69564574"		"{'highway': 'track', 'name': 'Camí dels Raimats', 'source': 'GPS Survey', 'surface': 'paved', 'tracktype': 'grade1'}"
"Camí Vell de les Camposines"	"Camí Vell de les Camposines"							"way"	" 533916988"		"{'highway': 'unclassified', 'name': 'Camí Vell de les Camposines', 'surface': 'compacted'}"
"Carrer Ample"	"Carrer Ample"							"way"	" 232513758"		"{'highway': 'residential', 'name': 'Carrer Ample'}"
"Carrer Ample"	"Carrer Ample"							"way"	" 232513771"		"{'highway': 'residential', 'name': 'Carrer Ample'}"
"Carrer de Baix"	"Carrer de Baix"							"way"	" 232513744"		"{'highway': 'residential', 'name': 'Carrer de Baix'}"
"Carrer de Dalt"	"Carrer de Dalt"							"way"	" 232523879"		"{'highway': 'residential', 'name': 'Carrer de Dalt'}"
"Carrer de l'Ermita"	"Carrer de l'Ermita"							"way"	" 232523881"		"{'highway': 'residential', 'name': \"Carrer de l'Ermita\"}"
"Carrer de la Font"	"Carrer de la Font"							"way"	" 232513753"		"{'highway': 'residential', 'name': 'Carrer de la Font'}"
"Carrer de la Pau"	"Carrer de la Pau"							"way"	" 232513754"		"{'highway': 'residential', 'name': 'Carrer de la Pau'}"
"Carrer de la Terra Alta"	"Carrer de la Terra Alta"							"way"	" 232523882"		"{'highway': 'residential', 'name': 'Carrer de la Terra Alta'}"
"Carrer de la Terra Alta"	"Carrer de la Terra Alta"							"way"	"1013098986"		"{'highway': 'residential', 'name': 'Carrer de la Terra Alta'}"
"Carrer de la Vall d'Estudi"	"Carrer de la Vall d'Estudi"							"way"	" 824596751"		"{'highway': 'tertiary', 'name': \"Carrer de la Vall d'Estudi\", 'ref': 'TV-7331a'}"
"Carrer de la Vall d'Estudi"	"Carrer de la Vall d'Estudi"							"way"	" 534043558"		"{'highway': 'tertiary', 'name': \"Carrer de la Vall d'Estudi\", 'ref': 'TV-7331a'}"
"Carrer de la Vall de les Moreres"	"Carrer de la Vall de les Moreres"							"way"	" 232513755"		"{'highway': 'residential', 'name': 'Carrer de la Vall de les Moreres'}"
"Carrer de Prades"	"Carrer de Prades"							"way"	" 232513745"		"{'highway': 'residential', 'name': 'Carrer de Prades'}"
"Carrer de Prades"	"Carrer de Prades"							"way"	" 232513768"		"{'highway': 'residential', 'name': 'Carrer de Prades'}"
"Carrer de Sant Andreu"	"Carrer de Sant Andreu"							"way"	" 232513746"		"{'highway': 'residential', 'name': 'Carrer de Sant Andreu'}"
"Carrer de Sant Antoni"	"Carrer de Sant Antoni"							"way"	" 232513747"		"{'highway': 'residential', 'name': 'Carrer de Sant Antoni'}"
"Carrer de Sant Blai"	"Carrer de Sant Blai"							"way"	" 232523880"		"{'highway': 'residential', 'name': 'Carrer de Sant Blai'}"
"Carrer de Sant Joan"	"Carrer de Sant Joan"							"way"	" 232513748"		"{'highway': 'residential', 'name': 'Carrer de Sant Joan'}"
"Carrer de Sant Marc"	"Carrer de Sant Marc"							"way"	" 232513749"		"{'highway': 'residential', 'name': 'Carrer de Sant Marc'}"
"Carrer de Santa Ubaldesca"	"Carrer de Santa Ubaldesca"							"way"	" 232513750"		"{'highway': 'residential', 'name': 'Carrer de Santa Ubaldesca'}"
"Carrer de Santa Ubaldesca"	"Carrer de Santa Ubaldesca"							"way"	" 232513752"		"{'highway': 'residential', 'name': 'Carrer de Santa Ubaldesca'}"
"Carrer de Santa Ubaldesca"	"Carrer de Santa Ubaldesca"							"way"	" 232513751"		"{'highway': 'residential', 'name': 'Carrer de Santa Ubaldesca', 'tunnel': 'building_passage'}"
"Carrer de Sunyer"	"Carrer de Sunyer"							"way"	" 232523890"		"{'highway': 'tertiary', 'name': 'Carrer de Sunyer', 'ref': 'TV-7331a'}"
"Carrer de Sunyer"	"Carrer de Sunyer"							"way"	" 824596750"		"{'highway': 'tertiary', 'name': 'Carrer de Sunyer', 'ref': 'TV-7331a'}"
"Carrer del Camí de los Castellets"	"Carrer del Camí de los Castellets"							"way"	" 232523883"		"{'highway': 'residential', 'name': 'Carrer del Camí de los Castellets'}"
"Carrer del Centre"	"Carrer del Centre"							"way"	" 232523884"		"{'highway': 'residential', 'name': 'Carrer del Centre'}"
"Carrer del Forn"	"Carrer del Forn"							"way"	" 232513756"		"{'highway': 'residential', 'name': 'Carrer del Forn'}"
"Carrer del Mirador de la Terra Alta"	"Carrer del Mirador de la Terra Alta"							"way"	" 232523885"		"{'highway': 'residential', 'name': 'Carrer del Mirador de la Terra Alta'}"
"Carrer del Mirador de la Terra Alta"	"Carrer del Mirador de la Terra Alta"							"way"	" 232523891"		"{'highway': 'residential', 'name': 'Carrer del Mirador de la Terra Alta'}"
"Carrer del Vent"	"Carrer del Vent"							"way"	" 232523886"		"{'highway': 'residential', 'name': 'Carrer del Vent'}"
"Carrer dels Molins"	"Carrer dels Molins"							"way"	"  69564563"		"{'highway': 'residential', 'name': 'Carrer dels Molins'}"
"Carrer Dret"	"Carrer Dret"							"way"	" 232513739"		"{'highway': 'residential', 'name': 'Carrer Dret'}"
"Carrer Estret"	"Carrer Estret"							"way"	" 232513740"		"{'highway': 'residential', 'name': 'Carrer Estret'}"
"Carrer Nou"	"Carrer Nou"							"way"	" 232513741"		"{'highway': 'residential', 'name': 'Carrer Nou'}"
"Carrer Solà"	"Carrer Solà"							"way"	" 232513742"		"{'highway': 'residential', 'name': 'Carrer Solà'}"
"Carrer Solà"	"Carrer Solà"							"way"	" 824596752"		"{'highway': 'residential', 'name': 'Carrer Solà'}"
"Carrer Tancat"	"Carrer Tancat"							"way"	" 232513743"		"{'highway': 'residential', 'name': 'Carrer Tancat'}"
"Carrer Tancat"	"Carrer Tancat"							"way"	" 232513769"		"{'highway': 'residential', 'name': 'Carrer Tancat'}"
"Plaça de l'Església"	"Plaça de l'Església"							"way"	" 534043572"		"{'area': 'yes', 'highway': 'living_street', 'name': \"Plaça de l'Església\"}"
"Plaça del Frontó"	"Plaça del Frontó"							"way"	" 232513757"		"{'landuse': 'village_green', 'name': 'Plaça del Frontó'}"
"Plaça Major"	"Plaça Major"							"way"	" 232513775"		"{'area': 'yes', 'highway': 'residential', 'name': 'Plaça Major'}"
