"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de la Font de les Escales"	"Avinguda de la Font de les Escales"							"way"	"163406250"		"{'highway': 'residential', 'name': 'Avinguda de la Font de les Escales', 'oneway': 'no'}"
"Avinguda de la Senyora Magdalena Martorell"	"Avinguda de la Senyora Magdalena Martorell"							"way"	"424805355"		"{'highway': 'tertiary', 'name': 'Avinguda de la Senyora Magdalena Martorell', 'oneway': 'no', 'ref': 'C-242z', 'sidewalk:both:surface': 'paved'}"
"Avinguda de la Senyora Magdalena Martorell"	"Avinguda de la Senyora Magdalena Martorell"							"way"	"923883998"		"{'highway': 'tertiary', 'name': 'Avinguda de la Senyora Magdalena Martorell', 'oneway': 'no', 'ref': 'C-242z', 'sidewalk:both:surface': 'paved'}"
"Avinguda de la Senyora Magdalena Martorell"	"Avinguda de la Senyora Magdalena Martorell"							"way"	"923883997"		"{'highway': 'tertiary', 'name': 'Avinguda de la Senyora Magdalena Martorell', 'oneway': 'no', 'ref': 'C-242z', 'sidewalk:both:surface': 'paved'}"
"Avinguda de la Senyora Magdalena Martorell"	"Avinguda de la Senyora Magdalena Martorell"							"way"	"923883999"		"{'highway': 'tertiary', 'name': 'Avinguda de la Senyora Magdalena Martorell', 'oneway': 'no', 'ref': 'C-242z', 'sidewalk:both:surface': 'paved'}"
"Avinguda del Baix Camp"	"Avinguda del Baix Camp"							"way"	"432830130"		"{'highway': 'residential', 'name': 'Avinguda del Baix Camp', 'oneway': 'no'}"
"Avinguda del Baix Camp"	"Avinguda del Baix Camp"							"way"	"432830129"		"{'highway': 'residential', 'name': 'Avinguda del Baix Camp', 'oneway': 'yes'}"
"Avinguda del Baix Camp"	"Avinguda del Baix Camp"							"way"	"163406286"		"{'highway': 'residential', 'name': 'Avinguda del Baix Camp', 'oneway': 'yes'}"
"Avinguda del Clot de la Font"	"Avinguda del Clot de la Font"							"way"	"163406278"		"{'highway': 'residential', 'name': 'Avinguda del Clot de la Font', 'oneway': 'no'}"
"Avinguda del Poliesportiu"	"Avinguda del Poliesportiu"							"way"	"163406288"		"{'highway': 'residential', 'name': 'Avinguda del Poliesportiu', 'oneway': 'yes'}"
"Avinguda del Poliesportiu"	"Avinguda del Poliesportiu"							"way"	"163406275"		"{'highway': 'residential', 'name': 'Avinguda del Poliesportiu', 'oneway': 'no'}"
