"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Ca l'Esmandia"	"Avinguda de Ca l'Esmandia"							"way"	"  34996240"		"{'access': 'yes', 'bicycle': 'yes', 'foot': 'yes', 'highway': 'residential', 'name': \"Avinguda de Ca l'Esmandia\", 'oneway': 'no', 'surface': 'paved'}"
"Avinguda de Corró"	"Avinguda de Corró"							"way"	" 679785720"		"{'highway': 'residential', 'name': 'Avinguda de Corró'}"
"Avinguda de l'Ajuntament"	"Avinguda de l'Ajuntament"							"way"	"1022343498"		"{'highway': 'residential', 'name': \"Avinguda de l'Ajuntament\", 'oneway': 'yes'}"
"Avinguda de l'Ajuntament"	"Avinguda de l'Ajuntament"							"way"	" 150445232"		"{'highway': 'residential', 'name': \"Avinguda de l'Ajuntament\", 'oneway': 'yes'}"
"Avinguda de l'Ajuntament"	"Avinguda de l'Ajuntament"							"way"	"1022343497"		"{'highway': 'residential', 'name': \"Avinguda de l'Ajuntament\", 'oneway': 'yes'}"
"Avinguda de la Sagrera"	"Avinguda de la Sagrera"							"way"	" 503399944"		"{'highway': 'residential', 'name': 'Avinguda de la Sagrera'}"
"Avinguda de la Sagrera"	"Avinguda de la Sagrera"							"way"	" 150330700"		"{'highway': 'residential', 'name': 'Avinguda de la Sagrera'}"
"Avinguda de les Franqueses"	"Avinguda de les Franqueses"							"way"	" 701981902"		"{'highway': 'residential', 'name': 'Avinguda de les Franqueses'}"
"Avinguda de Llerona"	"Avinguda de Llerona"							"way"	" 679785715"		"{'highway': 'residential', 'name': 'Avinguda de Llerona'}"
"Avinguda de Milpins"	"Avinguda de Milpins"							"way"	" 679785712"		"{'highway': 'residential', 'name': 'Avinguda de Milpins'}"
"Avinguda de Santa Eulàlia"	"Avinguda de Santa Eulàlia"							"way"	" 482794768"		"{'bicycle': 'yes', 'highway': 'residential', 'layer': '-1', 'name': 'Avinguda de Santa Eulàlia', 'oneway': 'no', 'oneway:bicycle': 'no', 'surface': 'asphalt'}"
"Avinguda de Santa Eulàlia"	"Avinguda de Santa Eulàlia"							"way"	" 150481383"		"{'highway': 'residential', 'name': 'Avinguda de Santa Eulàlia', 'oneway': 'yes'}"
