"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Mas del Moro"	"Mas del Moro"						
"Mas del moro"	"Mas del Moro"						
"Mas del Soldat"	"Mas del Soldat"						
"Mas del Rei"	"Mas del Rei"						
"Mas de Magdalena"	"Mas de Magdalena"						
"mas de la Crebà"	"mas de la Crebà"						
"mas del Campo"	"mas del Campo"						
"mas del Tossal"	"mas del Tossal"						
"mas del Llosar"	"mas del Llosar"						
"Mas de Batxero"	"Mas de Batxero"						
"Mas de la Mina"	"Mas de la Mina"						
"mas d'Andreu de Baix"	"mas d'Andreu de Baix"						
"Mas de Guardamar"	"Mas de Guardamar"						
"Mas d'Andreu"	"Mas d'Andreu"						
"mas de les Figues"	"mas de les Figues"						
"mas del Cabrer"	"mas del Cabrer"						
"mas de la Costa"	"mas de la Costa"						
"Mas de Llorens"	"Mas de Llorenç"						
"Mas de la Peñagolosa"	"Mas de la Penyagolosa"						
"mas de Garcia"	"mas de Garcia"						
"Mas de la Polla Rosa"	"Mas de la Polla Rosa"						
"mas de Gronsa"	"mas de Gronsa"						
"mas del Sabater"	"mas del Sabater"						
"mas d'Olària"	"mas d'Olària"						
"mas de la Valentina"	"mas de la Valentina"						
"mas de Mentirola"	"mas de Mentirola"						
"Mas de la Canaleta"	"Mas de la Canaleta"						
"Mas de la Talaia"	"Mas de la Talaia"						
"Mas de la Llometa"	"Mas de la Llometa"						
"mas del Moro"	"mas del Moro"						
"Mas del Barber"	"Mas del Barber"						
"Mas de Mato"	"Mas de Mato"						
"mas de Fabra"	"mas de Fabra"						
"mas de la Mançanera"	"mas de la Mançanera"						
"Mas del Campo"	"Mas del Campo"						
"mas d'Evarist"	"mas d'Evarist"						
"Mas de Gual"	"Mas de Gual"						
"Mas de Martí"	"Mas de Martí"						
"mas de Beltran"	"mas de Beltran"						
"mas de Panolla"	"mas de Panolla"						
"mas de les Ferreries"	"mas de les Ferreries"						
"Mas de les Coronetes"	"Mas de les Coronetes"						
"mas de Sevilla"	"mas de Sevilla"						
"mas de Miralles"	"mas de Miralles"						
"mas del Coc"	"mas del Coc"						
"mas d'Andreu de dalt"	"mas d'Andreu de dalt"						
"Mas de Puça"	"Mas de Puça"						
"Mas de l'Assut"	"Mas de l'Assut"						
"mas de les Fleixes"	"mas de les Fleixes"						
"mas de Custodi"	"mas de Custodi"						
"Mas de Pere"	"Mas de Pere"						
"mas de la Mosquera de dalt"	"mas de la Mosquera de dalt"						
"mas de la Mosquera de baix"	"mas de la Mosquera de baix"						
"mas Nou"	"mas Nou"						
"mas de la Malvestida"	"mas de la Malvestida"						
"mas del Morral"	"mas del Morral"						
"mas de Xiva"	"mas de Xiva"						
"mas de Miret"	"mas de Miret"						
"mas de la Carrera"	"mas de la Carrera"						
"mas de la Torreta"	"mas de la Torreta"						
"mas de Macoc"	"mas de Macoc"						
"mas de la Parra"	"mas de la Parra"						
"mas de Tena"	"mas de Tena"						
"mas del Fontanal"	"mas del Fontanal"						
"mas de la Lloma"	"mas de la Lloma"						
"mas de la Tosquella"	"mas de la Tosquella"						
"mas de Donís"	"mas de Donís"						
"Mas del Guerriller"	"Mas del Guerriller"						
"mas de la Serra"	"mas de la Serra"						
"mas de Valls"	"mas de Valls"						
"Mas del Caporal"	"Mas del Caporal"						
"mas de Careta"	"mas de Careta"						
"mas de Moltó"	"mas de Moltó"						
"mas d'Orés"	"mas d'Orés"						
"Mas de la Font Blanca"	"Mas de la Font Blanca"						
"mas de Olària"	"mas de Olària"						
"Mas de la Fos"	"Mas de la Fos"						
"Mas de Xiron"	"Mas de Xiron"						
"Mas de la Clapissa"	"Mas de la Clapissa"						
"Mas de Bernús"	"Mas de Bernús"						
"Mas del Polit"	"Mas del Polit"						
"Mas del Pla de Perol"	"Mas del Pla de Perol"						
"Mas del Vincle"	"Mas del Vincle"						
"mas de Puerto"	"mas de Puerto"						
"Mas de Simó"	"Mas de Simó"						
"Mas de Palanques"	"Mas de Palanques"						
"Mas del Collet de Dalt"	"Mas del Collet de Dalt"						
