"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Camí Pau Redó - Hospital O Duran i Reynals"	"Camí Pau Redó - Hospital O Duran i Reynals"						
"Camí Pau Redó - Hospital O Duran i Reynals"	"Camí Pau Redó - Hospital O Duran i Reynals"		"Dani Infante"				
"Camí Pau Redó - Tanatori"	"Camí Pau Redó - Tanatori"						
"Avinguda Supermercats"	"Avinguda Supermercats"						
"Camí Pau Redó - Av Granvia"	"Camí Pau Redó - Av Granvia"						
"Parc de Bellvitge"	"Parc de Bellvitge"						
"Parc xe Bellvitge"	"Parc xe Bellvitge"						
"Parc de les Planes"	"Parc de les Planes"						
"Avinguda del Masnou"	"Avinguda del Masnou"						
"Avinguda Josep Molins"	"Avinguda Josep Molins"						
"Carrer de Francesc Moragas"	"Carrer de Francesc Moragas"						
"Carrer de Femades"	"Carrer de Femades"						
"Carrer del Crom"	"Carrer del Crom"						
"Camí de la Cadena"	"Camí de la Cadena"						
"Carrer d'Arquimedes"	"Carrer d'Arquimedes"						
"Carrer de Frederic Prats"	"Carrer de Frederic Prats"						
"Carrer de Joan N. García-Nieto"	"Carrer de Joan N. García-Nieto"						
"Avinguda de Ramon Frontera"	"Avinguda de Ramon Frontera"						
"Carrer de Miquel Peiró i Victori"	"Carrer de Miquel Peiró i Victori"						
"Carrer del Pare Marchena"	"Carrer del Pare Marchena"						
"Carrer de Bellavista"	"Carrer de Bellavista"						
"Carrer del Xipreret"	"Carrer del Xipreret"						
"Carrer de Sant Joan"	"Carrer de Sant Joan"						
"Carrer de la Reforma"	"Carrer de la Reforma"						
"Carrer de la Talaia"	"Carrer de la Talaia"						
"Plaça de la Remunta"	"Plaça de la Remunta"						
"Carrer de la Riera de l'Escorxador"	"Carrer de la Riera de l'Escorxador"						
"Carrer Xipreret"	"Carrer Xipreret"						
"Parc de la Remunta"	"Parc de la Remunta"						
"Carrer de Josep Irla i Bosch"	"Carrer de Josep Irla i Bosch"						
"Carrer de Josep Muntané i Almirall"	"Carrer de Josep Muntané i Almirall"						
"Avinguda de Josep Tarradellas i Joan"	"Avinguda de Josep Tarradellas i Joan"						
"Carrer de Digoine"	"Carrer de Digoine"						
"Carrer de Carles Martí Feced"	"Carrer de Carles Martí Feced"						
"Carrer de Barcelona"	"Carrer de Barcelona"						
"Carrer de Sanfeliu"	"Carrer de Sanfeliu"						
"Carrer de l'Estronci"	"Carrer de l'Estronci"						
"Carrer del Rubidi"	"Carrer del Rubidi"						
"Carrer Major"	"Carrer Major"						
"Carrer de Josep Maria de Sagarra"	"Carrer de Josep Maria de Sagarra"						
"Carrer de Molines"	"Carrer de Molines"						
"Carrer de la Riera del Canyet"	"Carrer de la Riera del Canyet"						
"Camí del Torrent de Can Nyac"	"Camí del Torrent de Can Nyac"						
"Carrer de Josep Prats"	"Carrer de Josep Prats"						
"Camí d'Esplugues"	"Camí d'Esplugues"						
"Carrer de Provença"	"Carrer de Provença"						
"Camí de la Fonteta"	"Camí de la Fonteta"						
"Carrer de Valeta"	"Carrer de Valeta"						
"Carrer de Cornellà"	"Carrer de Cornellà"						
"Carrer de la Miralta"	"Carrer de la Miralta"						
"Carrer de l'Emigrant"	"Carrer de l'Emigrant"						
"Carrer de Llunàs"	"Carrer de Llunàs"						
"Carrer de Pompeu Fabra"	"Carrer de Pompeu Fabra"						
"Avinguda de l'Electricitat"	"Avinguda de l'Electricitat"						
"Plaça de la Llosa"	"Plaça de la Llosa"						
"Plaça de les Comunitats"	"Plaça de les Comunitats"						
"Plaça dels Cirerers"	"Plaça dels Cirerers"						
"Carrer del Rei En Jaume"	"Carrer del Rei En Jaume"						
"Carrer del Tel·luri"	"Carrer del Tel·luri"						
"Carrer del Poeta Llombart"	"Carrer del Poeta Llombart"						
"Carrer Alt"	"Carrer Alt"						
"Carrer de Bernini"	"Carrer de Bernini"						
"Carrer de Lleó"	"Carrer de Lleó"						
"Carrer de l'Ametller"	"Carrer de l'Ametller"						
"Carrer de l'Aviació"	"Carrer de l'Aviació"						
