"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), area=['name:ca'='l\'Horta Oest'][admin_level=7], filters=nwr[name~'^[Pp]arque'][!'name:ca']"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	"5896826321"	"Parque infantil"	""	""	""	""	""	""	""	"{'leisure': 'playground', 'name': 'Parque infantil'}"
"node"	"6710915789"	"Parque niños"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque niños'}"
"node"	"6789908007"	"Parque infantil"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque infantil'}"
"node"	"6275045108"	"Parque de La Cañada"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque de La Cañada'}"
"node"	"6306794263"	"Parque niños"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque niños'}"
"node"	"3014121051"	"Parque infaltil"	""	""	""	""	""	""	""	"{'leisure': 'playground', 'name': 'Parque infaltil'}"
"node"	"3014117776"	"Parque infantil"	""	""	""	""	""	""	""	"{'leisure': 'playground', 'name': 'Parque infantil'}"
"way"	"545455897"	"Parque Montelevante"	""	""	""	""	""	""	""	"{'addr:city': 'Torrent', 'addr:street': 'Carrer del Timó', 'description': 'Parque infantil y campo de futbol', 'leisure': 'park', 'name': 'Parque Montelevante'}"
"way"	"483511305"	"Parque de Reina Doña Sofía"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque de Reina Doña Sofía'}"
"way"	"628814572"	"Parque Azorín"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque Azorín'}"
"way"	"550942766"	"Parque del Perellonet"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque del Perellonet'}"
"way"	"26439650"	"Parque Corts Valencianes"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque Corts Valencianes'}"
"way"	"618116465"	"Parque del Moro"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque del Moro'}"
"way"	"164473280"	"Parque Europa"	""	""	""	""	""	""	""	"{'designation': 'Parque Público Municipal', 'leisure': 'park', 'name': 'Parque Europa'}"
"way"	"720572302"	"Parque de bomberos"	""	""	""	""	""	""	""	"{'amenity': 'fire_station', 'name': 'Parque de bomberos'}"
"way"	"916852130"	"Parque Natural del Turia"	""	""	""	""	""	""	""	"{'name': 'Parque Natural del Turia'}"
"way"	"744091466"	"Parque Natural del Turia"	""	""	""	""	""	""	""	"{'name': 'Parque Natural del Turia'}"
"way"	"37810935"	"Parque de la Senyera"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque de la Senyera'}"
