"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), area=['name:ca'='la Plana Alta'][admin_level=7], filters=nwr[name~'^[Pp]arque'][!'name:ca']"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	"1482885715"	"Parque del lago"	""	""	""	""	""	""	""	"{'bench': 'yes', 'bin': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'lit': 'yes', 'name': 'Parque del lago', 'public_transport': 'platform', 'shelter': 'yes', 'tactile_paving': 'yes'}"
"node"	"9427527402"	"Parque del lago"	""	""	""	""	""	""	""	"{'bus': 'yes', 'name': 'Parque del lago', 'public_transport': 'stop_position'}"
"node"	"455550304"	"Parque de Bomberos de Oropesa del Mar"	""	""	""	""	""	""	""	"{'amenity': 'fire_station', 'name': 'Parque de Bomberos de Oropesa del Mar'}"
"node"	"5167671190"	"Parque Aquático"	""	""	""	""	""	""	""	"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Parque Aquático', 'operator': 'Autos Mediterraneo, S.A.', 'public_transport': 'platform'}"
"way"	"34186210"	"Parque del Roselló"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque del Roselló'}"
"way"	"826506811"	"Parque Ciclista"	""	""	""	""	""	""	""	"{'leisure': 'pitch', 'name': 'Parque Ciclista', 'sport': 'cycling'}"
"way"	"186977256"	"Parque Sierra de Cazorla"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque Sierra de Cazorla'}"
"way"	"34002345"	"Parque de Santa Rosa"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque de Santa Rosa'}"
"way"	"34002365"	"Parque de Don Ramón James Boera"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque de Don Ramón James Boera'}"
