"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), area=['name:ca'='Vallès Occidental'][admin_level=7], filters=nwr[name~'^[Pp]arque'][!'name:ca']"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	"6327113925"	"Parque infantil"	""	""	""	""	""	""	""	"{'leisure': 'playground', 'name': 'Parque infantil'}"
"node"	"6318876474"	"Parque La Sardana"	""	""	""	""	""	""	""	"{'access': 'yes', 'leisure': 'playground', 'name': 'Parque La Sardana', 'surface': 'ground'}"
"way"	"858506730"	"Parque"	""	""	""	""	""	""	""	"{'leisure': 'playground', 'name': 'Parque'}"
"way"	"908469004"	"Parque"	""	""	""	""	""	""	""	"{'leisure': 'playground', 'name': 'Parque'}"
"way"	"633757696"	"Parque Can Mir 1"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque Can Mir 1'}"
"way"	"136617236"	"Parque de la Inercia"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque de la Inercia'}"
"way"	"551036048"	"parque del castell"	""	""	""	""	""	""	""	"{'addr:street': 'Carrer del Castell', 'leisure': 'park', 'name': 'parque del castell'}"
"way"	"633757631"	"Parque Can Mir 5"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque Can Mir 5'}"
"way"	"633763116"	"Parque Castellnou 1"	""	""	""	""	""	""	""	"{'leisure': 'park', 'name': 'Parque Castellnou 1'}"
"way"	"550697513"	"Parque de la carretera vella"	""	""	""	""	""	""	""	"{'addr:city': 'Montcada i Reixac', 'addr:postcode': '08110', 'addr:street': 'carretera Vella', 'leisure': 'park', 'name': 'Parque de la carretera vella', 'operator': 'Ayunatamiento de Montcada i Reixac'}"
"way"	"918404091"	"Parque canino"	""	""	""	""	""	""	""	"{'access': 'yes', 'addr:city': 'Terrassa', 'addr:housenumber': '311', 'addr:postcode': '08226', 'addr:street': 'Avinguda de Béjar', 'leisure': 'dog_park', 'name': 'Parque canino', 'operator': 'Ayuntamiento de Terrassa'}"
