"# EDITED with R"	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Plaza Constitución"	"Plaça Constitució"						"way"	" 23318168"		"{'highway': 'residential', 'name': 'Plaza Constitución', 'oneway': 'yes'}"
"Plaza de la Cruz"	"Plaça de la Creu"						"way"	" 81830198"		"{'highway': 'residential', 'name': 'Plaza de la Cruz', 'oneway': 'yes'}"
"Plaza de la Cruz"	"Plaça de la Creu"						"way"	"239019784"		"{'highway': 'residential', 'name': 'Plaza de la Cruz', 'oneway': 'yes'}"
"Plaza de la Iglesia"	"Plaça de l’Església"						"way"	" 23525610"		"{'highway': 'residential', 'name': 'Plaza de la Iglesia'}"
"Plaza Ermita"	"Plaça Ermita"						"way"	"572013099"		"{'highway': 'residential', 'name': 'Plaza Ermita'}"
"Plaza Ermita"	"Plaça Ermita"						"way"	"572013100"		"{'highway': 'residential', 'name': 'Plaza Ermita'}"
"Plaza Ermita"	"Plaça Ermita"						"way"	" 49912607"		"{'highway': 'residential', 'name': 'Plaza Ermita'}"
"Plaza Pío XII"	"Plaça Pius XII"						"way"	" 23525613"		"{'highway': 'residential', 'name': 'Plaza Pío XII', 'oneway': 'yes'}"
"Plaza Pío XII"	"Plaça Pius XII"						"way"	" 23525614"		"{'highway': 'residential', 'name': 'Plaza Pío XII'}"
"Plaza Pío XII"	"Plaça Pius XII"						"way"	" 77707278"		"{'highway': 'residential', 'name': 'Plaza Pío XII', 'oneway': 'yes'}"
"Plaza Pío XII"	"Plaça Pius XII"						"way"	" 77707279"		"{'highway': 'residential', 'name': 'Plaza Pío XII', 'oneway': 'yes'}"
