"# EDITED with R"	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Plaza Colón"	"Plaça Colom"						"way"	"355513728"	""	"{'highway': 'residential', 'junction': 'roundabout', 'lanes': '1', 'name': 'Plaza Colón'}"
"Plaza Colón"	"Plaça Colom"						"way"	"355513729"	""	"{'highway': 'residential', 'junction': 'roundabout', 'lanes': '1', 'name': 'Plaza Colón'}"
"Plaza Colón"	"Plaça Colom"						"way"	"355513730"	""	"{'highway': 'residential', 'name': 'Plaza Colón'}"
"Plaza de Dalt"	"Plaça de Dalt"						"way"	"668664897"	""	"{'area': 'yes', 'highway': 'service', 'name': 'Plaza de Dalt', 'place': 'square'}"
"Plaza de la Iglesia"	"Plaça de l’Església"						"way"	"236260156"	""	"{'area': 'yes', 'highway': 'service', 'name': 'Plaza de la Iglesia', 'service': 'alley'}"
"Plaza de la Iglesia"	"Plaça de l’Església"						"way"	" 47889172"	""	"{'highway': 'residential', 'name': 'Plaza de la Iglesia'}"
"Plaza de las Flores"	"Plaça de les Flors"						"way"	"141181423"	""	"{'highway': 'residential', 'name': 'Plaza de las Flores'}"
"Plaza de San Vicente"	"Plaça de Sant Vicent"						"way"	" 47889256"	""	"{'highway': 'footway', 'name': 'Plaza de San Vicente'}"
"Plaza de San Vicente"	"Plaça de Sant Vicent"						"way"	"961981240"	""	"{'highway': 'footway', 'name': 'Plaza de San Vicente'}"
"Plaza Ecce Homo"	"Plaça Ecce Homo"						"way"	"710701660"	""	"{'name': 'Plaza Ecce Homo', 'place': 'square'}"
"Plaza Generalitat"	"Plaça Generalitat"						"way"	"684640623"	""	"{'name': 'Plaza Generalitat', 'place': 'square'}"
"Plaza Mayor"	"Plaça Major"						"way"	"371198333"	""	"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaza Mayor'}"
"Plaza Mayor"	"Plaça Major"						"way"	"453483797"	""	"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaza Mayor'}"
"Plaza Rei Jaume I"	"Plaça Rei Jaume I"						"way"	"709868391"	""	"{'name': 'Plaza Rei Jaume I', 'place': 'square'}"
