"# EDITED with R"	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Plaza Cuartel"	"Plaça Quarter"						"way"	"225818451"		"{'highway': 'residential', 'name': 'Plaza Cuartel'}"
"Plaza de Alicante"	"Plaça d’Alacant"						"way"	" 11938619"		"{'highway': 'residential', 'name': 'Plaza de Alicante', 'oneway': 'yes'}"
"Plaza de Alicante"	"Plaça d’Alacant"						"way"	"558544767"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaza de Alicante'}"
"Plaza de la Constitución"	"Plaça de la Constitució"						"way"	"204241751"		"{'highway': 'residential', 'name': 'Plaza de la Constitución'}"
"Plaza de la Constitución"	"Plaça de la Constitució"						"way"	"190028746"		"{'highway': 'residential', 'name': 'Plaza de la Constitución', 'oneway': 'yes'}"
"Plaza de la Constitución"	"Plaça de la Constitució"						"way"	"223564347"		"{'highway': 'residential', 'name': 'Plaza de la Constitución'}"
"Plaza de la Constitución"	"Plaça de la Constitució"						"way"	"225507324"		"{'highway': 'residential', 'name': 'Plaza de la Constitución', 'oneway': 'yes'}"
"Plaza de la Iglesia"	"Plaça de l’Església"						"way"	"220964957"		"{'highway': 'residential', 'name': 'Plaza de la Iglesia', 'oneway': 'yes'}"
"Plaza de la Iglesia"	"Plaça de l’Església"						"way"	"220964958"		"{'highway': 'residential', 'name': 'Plaza de la Iglesia', 'oneway': 'yes'}"
"Plaza de la Iglesia"	"Plaça de l’Església"						"way"	"220964998"		"{'highway': 'residential', 'name': 'Plaza de la Iglesia', 'oneway': 'yes'}"
"Plaza de la Iglesia"	"Plaça de l’Església"						"way"	" 37872065"		"{'highway': 'residential', 'name': 'Plaza de la Iglesia'}"
"Plaza de la Iglesia"	"Plaça de l’Església"						"way"	"221412795"		"{'area': 'yes', 'highway': 'residential', 'name': 'Plaza de la Iglesia'}"
"Plaza de la Ribera"	"Plaça de la Ribera"						"way"	" 10569843"		"{'highway': 'residential', 'name': 'Plaza de la Ribera', 'oneway': 'yes'}"
"Plaza de la Ribera"	"Plaça de la Ribera"						"way"	" 10569907"		"{'highway': 'residential', 'name': 'Plaza de la Ribera', 'oneway': 'yes'}"
"Plaza del Ayuntamiento"	"Plaça de l’Ajuntament"						"way"	"220964960"		"{'highway': 'residential', 'name': 'Plaza del Ayuntamiento', 'oneway': 'yes'}"
"Plaza del Ayuntamiento"	"Plaça de l’Ajuntament"						"way"	"225507326"		"{'highway': 'residential', 'name': 'Plaza del Ayuntamiento', 'oneway': 'yes'}"
"Plaza del Ayuntamiento"	"Plaça de l’Ajuntament"						"way"	" 37872084"		"{'highway': 'residential', 'name': 'Plaza del Ayuntamiento', 'oneway': 'yes'}"
"Plaza del Cid"	"Plaça del Cid"						"way"	" 10595124"		"{'highway': 'residential', 'name': 'Plaza del Cid', 'oneway': 'yes'}"
"Plaza del Cid Campeador"	"Plaça del Cid Campeador"						"way"	"584838462"		"{'name': 'Plaza del Cid Campeador', 'place': 'square'}"
"Plaza del Mercado"	"Plaça del Mercat"						"way"	"757716114"		"{'highway': 'residential', 'name': 'Plaza del Mercado', 'oneway': 'yes'}"
"Plaza del Mercado"	"Plaça del Mercat"						"way"	"757716115"		"{'highway': 'residential', 'name': 'Plaza del Mercado', 'oneway': 'yes'}"
"Plaza del Rey"	"Plaça del Rei"						"way"	"219798984"		"{'highway': 'residential', 'name': 'Plaza del Rey'}"
"Plaza Diputación"	"Plaça Diputació"						"way"	"471988175"		"{'highway': 'footway', 'name': 'Plaza Diputación'}"
"Plaza Enric Valor"	"Plaça Enric Valor"						"way"	" 14476633"		"{'highway': 'pedestrian', 'name': 'Plaza Enric Valor'}"
"Plaza Lavadero"	"Plaça del Llavador"						"way"	"225818407"		"{'highway': 'residential', 'name': 'Plaza Lavadero'}"
"Plaza Lavadero"	"Plaça del Llavador"						"way"	"225818405"		"{'highway': 'residential', 'name': 'Plaza Lavadero'}"
"Plaza Major"	"Plaça Major"						"way"	"219770816"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaza Major'}"
"Plaza Major"	"Plaça Major"						"way"	"220921282"		"{'highway': 'residential', 'name': 'Plaza Major'}"
"Plaza Major"	"Plaça Major"						"way"	" 37566540"		"{'highway': 'residential', 'name': 'Plaza Major'}"
"Plaza Tirant lo Blanc"	"Plaça Tirant lo Blanc"						"way"	"321530984"		"{'area': 'yes', 'bicycle': 'permissive', 'highway': 'pedestrian', 'motor_vehicle': 'no', 'name': 'Plaza Tirant lo Blanc', 'oneway': 'no'}"
"Plaza Vera"	"Plaça Vera"						"way"	"225818393"		"{'highway': 'residential', 'name': 'Plaza Vera'}"
"Plaza Villanueva de Castellón"	"Plaça de Castelló"						"way"	"219821803"		"{'highway': 'tertiary', 'name': 'Plaza Villanueva de Castellón', 'ref': 'CV-5560'}"
