"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"	"Var.12"
"Алексеевка"	""	"Alekséievka (Omsk)"	"Alekséievka (Omsk)"	"Q21123583"	"node"	"1195132608"	""	"{'name': 'Алексеевка', 'place': 'village', 'population': '388', 'population:date': '2010-10-14', 'wikidata': 'Q21123583', 'wikipedia': 'ru:Алексеевка (Марьяновский район)'}"	"Alekséievka"	""	""
"Большая Роща"	""	"Bolxaia Rosxa"	"Bolxaia Rosxa"	"Q25506199"	"node"	" 773512980"	""	"{'name': 'Большая Роща', 'place': 'village', 'population': '437', 'population:date': '2010-10-14', 'wikidata': 'Q25506199', 'wikipedia': 'ru:Большая Роща'}"	"Bolxaia Rosxa"	""	""
"Голенки"	""	"Golenki"	"Golenki"	"Q25732393"	"node"	"1098031824"	""	"{'name': 'Голенки', 'place': 'village', 'population': '389', 'population:date': '2010-10-14', 'wikidata': 'Q25732393', 'wikipedia': 'ru:Голенки (Омская область)'}"	"Golenki"	""	""
"Грибановка"	""	"Gribànovka"	"Gribànovka"	"Q21123586"	"node"	"1275941012"	""	"{'addr:country': 'RU', 'addr:district': 'Марьяновский район', 'addr:region': 'Омская область', 'name': 'Грибановка', 'place': 'hamlet', 'population': '52', 'population:date': '2010-10-14', 'wikidata': 'Q21123586', 'wikipedia': 'ru:Грибановка (Омская область)'}"	"Gribànovka"	""	""
"Домбай"	""	"Dombai"	"Dombai"	"Q25732378"	"node"	"1280016798"	""	"{'name': 'Домбай', 'official_status': 'ru:аул', 'place': 'village', 'population': '403', 'population:date': '2010-10-14', 'source': 'gns', 'wikidata': 'Q25732378', 'wikipedia': 'ru:Домбай (Омская область)'}"	"Dombai"	""	""
"Заря Свободы"	""	"Zarià Svobodi"	"Zarià Svobodi"	"Q25732369"	"node"	" 775593765"	""	"{'name': 'Заря Свободы', 'place': 'village', 'population': '751', 'population:date': '2010-10-14', 'wikidata': 'Q25732369', 'wikipedia': 'ru:Заря Свободы (Омская область)'}"	"Zarià Svobodi"	""	""
"Зелёная Долина"	""	"Zeliónaia Dolina"	"Zeliónaia Dolina"	"Q25732364"	"node"	"1404601538"	""	"{'name': 'Зелёная Долина', 'place': 'hamlet', 'population': '148', 'population:date': '2010-10-14', 'wikidata': 'Q25732364', 'wikipedia': 'ru:Зелёная Долина (Омская область)'}"	"Zeliónaia Dolina"	""	""
"Кара-Терек"	""	"Kara-Terek"	"Kara-Terek"	"Q25506198"	"node"	"1271734234"	""	"{'name': 'Кара-Терек', 'official_status': 'ru:аул', 'place': 'village', 'population': '307', 'population:date': '2010-10-14', 'wikidata': 'Q25506198', 'wikipedia': 'ru:Кара-Терек'}"	"Kara-Terek"	""	""
"Лесногорский"	"Лесногорское"	"Lesnogorski"	"Lesnogorski"	"Q25506192"	"node"	"1280016806"	""	"{'alt_name': 'Лесногорское', 'name': 'Лесногорский', 'place': 'hamlet', 'population': '110', 'population:date': '2010-10-14', 'source': 'gns', 'wikidata': 'Q25506192', 'wikipedia': 'ru:Лесногорский'}"	"Lesnogorski"	""	""
