"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"	"Var.12"
"Александрово-Ростовка"	"Александро-Ростовка"	"Aleksàndrovo-Rostovka"	"Aleksàndrovo-Rostovka"	"Q4061372"	"node"	"1324304913"	""	"{'alt_name': 'Александро-Ростовка', 'name': 'Александрово-Ростовка', 'place': 'village', 'wikidata': 'Q4061372', 'wikipedia': 'ru:Александрово-Ростовка'}"	"Aleksàndrovo-Rostovka"	""	""
"Аничкино"	""	"Anítxkino"	"Anítxkino"	"Q4066417"	"node"	"1324434136"	""	"{'name': 'Аничкино', 'place': 'hamlet', 'wikidata': 'Q4066417', 'wikipedia': 'ru:Аничкино (Бековский район)'}"	"Anítxkino"	""	""
"Бабарыкино"	""	"Babaríkino"	"Babaríkino"	"Q4074223"	"node"	"1324434532"	""	"{'name': 'Бабарыкино', 'place': 'hamlet', 'wikidata': 'Q4074223', 'wikipedia': 'ru:Бабарыкино (Сердобский район)'}"	"Babaríkino"	""	""
"Байка"	""	"Baika"	"Baika"	"Q56307837"	"node"	"3528416913"	""	"{'name': 'Байка', 'place': 'village', 'wikidata': 'Q56307837', 'wikipedia': 'ru:Байка (Пензенская область)'}"	"Baika"	""	""
"Белогорка"	""	"Belogorka"	"Belogorka"	"Q4082323"	"node"	"1308213825"	""	"{'name': 'Белогорка', 'place': 'hamlet', 'wikidata': 'Q4082323', 'wikipedia': 'ru:Белогорка (Пензенская область)'}"	"Belogorka"	""	""
"Белозерка"	""	"Beloziorka"	"Beloziorka"	"Q19924146"	"node"	"3687762441"	""	"{'name': 'Белозерка', 'place': 'village', 'wikidata': 'Q19924146', 'wikipedia': 'ru:Белозёрка (Пензенская область)'}"	"Beloziorka"	""	""
"Богословка"	""	"Bogoslovka"	"Bogoslovka"	"Q4089755"	"relation"	"   5341800"	""	"{'addr:country': 'RU', 'addr:district': 'Пензенский район', 'addr:region': 'Пензенская область', 'landuse': 'residential', 'name': 'Богословка', 'place': 'village', 'type': 'multipolygon', 'wikidata': 'Q4089755', 'wikipedia': 'ru:Богословка (Пензенская область)'}"	"Bogoslovka"	""	""
"Богословка"	""	"Bogoslovka"	"Bogoslovka"	"Q4089755"	"node"	" 371608345"	""	"{'addr:country': 'RU', 'addr:district': 'Пензенский район', 'addr:region': 'Пензенская область', 'name': 'Богословка', 'place': 'village', 'wikidata': 'Q4089755'}"	"Bogoslovka"	""	""
"Власовка"	""	"Vlàssovka"	"Vlàssovka"	"Q4113525"	"node"	"3298927713"	""	"{'name': 'Власовка', 'place': 'hamlet', 'wikidata': 'Q4113525', 'wikipedia': 'ru:Власовка (Пензенская область)'}"	"Vlàssovka"	""	""
"Волынщино"	""	"Volínisxino"	"Volínisxino"	"Q4124471"	"node"	"1324434269"	""	"{'name': 'Волынщино', 'place': 'village', 'wikidata': 'Q4124471', 'wikipedia': 'ru:Волынщино (Пензенская область)'}"	"Volínisxino"	""	""
"Воскресеновка"	""	"Voskressénovka"	"Voskressénovka"	"Q18771405"	"node"	" 446111483"	""	"{'addr:country': 'RU', 'addr:district': 'Пензенский район', 'addr:region': 'Пензенская область', 'name': 'Воскресеновка', 'place': 'village', 'wikidata': 'Q18771405', 'wikipedia': 'ru:Воскресеновка (Пензенский район)'}"	"Voskressénovka"	""	""
