"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"	"Var.12"
"БТР-70"	""	"BTR-70"	"BTR-70"	"Q159927"	"node"	"5051787521"	""	"{'historic': 'armored', 'name': 'БТР-70', 'tourism': 'attraction', 'wikidata': 'Q159927'}"	"BTR-70"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 450615153"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 450615154"	""	"{'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	"  50981107"	""	"{'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 450615152"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 359817866"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 450615151"	""	"{'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 308058475"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 359817867"	""	"{'admin_level': '6', 'boundary': 'administrative', 'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 359817862"	""	"{'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 359817872"	""	"{'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 359817870"	""	"{'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 359824013"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 204337662"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 359817869"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 359824012"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Еруслан"	""	"Ieruslan"	"Ieruslan"	"Q1519869"	"way"	" 359817871"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Еруслан', 'waterway': 'river', 'wikidata': 'Q1519869', 'wikipedia': 'ru:Еруслан (река)'}"	"Riu Ieruslan"	""	""
"Ртищево"	""	"Rtísxevo"	"Rtísxevo"	"Q193371"	"way"	"  78172963"	""	"{'name': 'Ртищево', 'wikidata': 'Q193371', 'wikipedia': 'ru:Ртищево'}"	"Rtísxevo"	""	""
"Ртищево"	""	"Rtísxevo"	"Rtísxevo"	"Q193371"	"relation"	"   3163676"	""	"{'fias:code': 'd08bbea8-4fa3-4597-87ae-0bd79b4a89d2', 'name': 'Ртищево', 'place': 'town', 'population': '38 364', 'type': 'multipolygon', 'wikidata': 'Q193371', 'wikipedia': 'ru:Ртищево'}"	"Rtísxevo"	""	""
