"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"	"Var.12"
"БМП-1"	""	"BMP-1"	"BMP-1"	"Q155494"	"node"	"8166010484"	""	"{'historic': 'memorial', 'memorial': 'vehicle', 'name': 'БМП-1', 'wikidata': 'Q155494', 'wikipedia': 'ru:БМП-1'}"	"BMP-1"	""	""
"БРДМ-2"	""	"BRDM-2"	"BRDM-2"	"Q167968"	"node"	" 936544852"	""	"{'historic': 'memorial', 'memorial': 'vehicle', 'name': 'БРДМ-2', 'wikidata': 'Q167968', 'wikipedia': 'ru:БРДМ-2'}"	"BRDM-2"	""	""
"Памятник В.И. Ленину"	""	"Lenin, Vladímir Ilitx Lenin, Vladímir Ilitx Uliànov"	"Lenin"	"Q1394"	"node"	"3715467255"	""	"{'historic': 'memorial', 'memorial': 'statue', 'name': 'Памятник В.И. Ленину', 'wikidata': 'Q1394', 'wikipedia': 'ru:Ленин, Владимир Ильич'}"	"Monument a V.I. Lenin"	"Vladímir Ilitx Lenin;Vladímir Ilitx Uliànov"	""
"Т-34"	""	"T-34"	"T-34"	"Q172233"	"node"	" 902488348"	""	"{'historic': 'memorial', 'memorial': 'tank', 'name': 'Т-34', 'wikidata': 'Q172233', 'wikipedia': 'ru:Т-34'}"	"T-34"	""	""
"Т-64"	""	"T-64, T64"	"T-64"	"Q270697"	"node"	"8166048935"	""	"{'historic': 'memorial', 'memorial': 'tank', 'name': 'Т-64', 'wikidata': 'Q270697', 'wikipedia': 'ru:Т-64А'}"	"T-64"	""	""
"Т-72"	""	"T-72"	"T-72"	"Q155658"	"node"	"8166010482"	""	"{'historic': 'memorial', 'memorial': 'tank', 'name': 'Т-72', 'wikidata': 'Q155658', 'wikipedia': 'ru:Т-72'}"	"T-72"	""	""
"Т-72"	""	"T-72"	"T-72"	"Q155658"	"node"	"8166048932"	""	"{'historic': 'memorial', 'memorial': 'tank', 'name': 'Т-72', 'wikidata': 'Q155658', 'wikipedia': 'ru:Т-72'}"	"T-72"	""	""
"Т-80"	""	"T-80, T80, T/80"	"T-80"	"Q237135"	"node"	"8166048931"	""	"{'historic': 'memorial', 'memorial': 'tank', 'name': 'Т-80', 'wikidata': 'Q237135', 'wikipedia': 'ru:Т-80'}"	"T-80"	""	""
"Танк Т-34"	""	"T-34"	"T-34"	"Q172233"	"node"	"3636528529"	""	"{'historic': 'memorial', 'memorial': 'tank', 'name': 'Танк Т-34', 'wikidata': 'Q172233', 'wikipedia': 'ru:Т-34'}"	"Tanc T-34"	""	""
