"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"	"Var.12"
"Алексеевка"	""	"Alekséievka (Amur)"	"Alekséievka (Amur)"	"Q18404504"	"node"	"1457518555"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'addr:subdistrict': 'Алексеевский сельсовет', 'name': 'Алексеевка', 'place': 'village', 'population': '278', 'population:date': '2014-01-01', 'source': 'gns', 'wikidata': 'Q18404504', 'wikipedia': 'ru:Алексеевка (Бурейский район)'}"	"Alekséievka"	""	""
"Апрельский"	""	"Aprelski"	"Aprelski"	"Q18399509"	"node"	"2394681477"	""	"{'addr:country': 'RU', 'addr:district': 'Магдагачинский район', 'addr:region': 'Амурская область', 'name': 'Апрельский', 'place': 'hamlet', 'population': '50', 'population:date': '2014-01-01', 'wikidata': 'Q18399509', 'wikipedia': 'ru:Апрельский (посёлок)'}"	"Aprelski"	""	""
"Асташиха"	""	"Astàixikha"	"Astàixikha"	"Q18399734"	"node"	"1859955880"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'addr:subdistrict': 'Алексеевский сельсовет', 'name': 'Асташиха', 'place': 'hamlet', 'population': '123', 'population:date': '2014-01-01', 'wikidata': 'Q18399734', 'wikipedia': 'ru:Асташиха (Амурская область)'}"	"Astàixikha"	""	""
"Безозёрное"	""	"Bezoziórnoie"	"Bezoziórnoie"	"Q18404542"	"node"	"1519164032"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'addr:subdistrict': 'Райчихинский сельсовет', 'name': 'Безозёрное', 'place': 'village', 'population': '480', 'population:date': '2014-01-01', 'wikidata': 'Q18404542', 'wikipedia': 'ru:Безозёрное'}"	"Bezoziórnoie"	""	""
"Безымянное"	""	"Bezimiànnoie"	"Bezimiànnoie"	"Q18400355"	"node"	"2385013911"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'addr:subdistrict': 'Райчихинский сельсовет', 'name': 'Безымянное', 'place': 'hamlet', 'population': '116', 'population:date': '2014-01-01', 'wikidata': 'Q18400355', 'wikipedia': 'ru:Безымянное (Амурская область)'}"	"Bezimiànnoie"	""	""
"Виноградовка"	""	"Vinogràdovka (Amur)"	"Vinogràdovka (Amur)"	"Q18402024"	"node"	"1457518556"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'name': 'Виноградовка', 'place': 'village', 'population': '438', 'population:date': '2018-01-01', 'source': 'gns', 'wikidata': 'Q18402024', 'wikipedia': 'ru:Виноградовка (Амурская область)'}"	"Vinogràdovka"	""	""
"Гудачи"	""	"Gudatxí"	"Gudatxí"	"Q18406196"	"node"	"1420079356"	""	"{'addr:country': 'RU', 'addr:district': 'Магдагачинский район', 'addr:region': 'Амурская область', 'name': 'Гудачи', 'place': 'village', 'population': '372', 'population:date': '2018-01-01', 'wikidata': 'Q18406196', 'wikipedia': 'ru:Гудачи'}"	"Gudatxí"	""	""
"Долдыкан"	""	"Doldikan"	"Doldikan"	"Q18406892"	"node"	"1457518557"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'name': 'Долдыкан', 'place': 'village', 'population': '369', 'population:date': '2018-01-01', 'wikidata': 'Q18406892', 'wikipedia': 'ru:Долдыкан'}"	"Doldikan"	""	""
"Кивдо-Тюкан"	""	"Kivdo-Tiukan"	"Kivdo-Tiukan"	"Q18398793"	"node"	"2385021303"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'name': 'Кивдо-Тюкан', 'place': 'hamlet', 'population': '41', 'population:date': '2014-01-01', 'wikidata': 'Q18398793', 'wikipedia': 'ru:Кивдо-Тюкан'}"	"Kivdo-Tiukan"	""	""
"Кислый Ключ"	""	"Kisli Kliutx"	"Kisli Kliutx"	"Q18398954"	"node"	"2394674474"	""	"{'addr:country': 'RU', 'addr:district': 'Магдагачинский район', 'addr:region': 'Амурская область', 'name': 'Кислый Ключ', 'place': 'hamlet', 'population': '24', 'population:date': '2014-01-01', 'wikidata': 'Q18398954', 'wikipedia': 'ru:Кислый Ключ (Амурская область)'}"	"Kisli Kliutx"	""	""
"Кузнецово"	""	"Kuznetsovo (Amur)"	"Kuznetsovo (Amur)"	"Q19618621"	"node"	"2394670409"	""	"{'addr:country': 'RU', 'addr:district': 'Магдагачинский район', 'addr:region': 'Амурская область', 'name': 'Кузнецово', 'place': 'village', 'population': '189', 'population:date': '2018-01-01', 'wikidata': 'Q19618621', 'wikipedia': 'ru:Кузнецово (Амурская область)'}"	"Kuznetsovo"	""	""
"Муравка"	""	"Muravka"	"Muravka"	"Q18405282"	"node"	"2385025614"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'name': 'Муравка', 'place': 'hamlet', 'population': '80', 'population:date': '2014-01-01', 'wikidata': 'Q18405282', 'wikipedia': 'ru:Муравка (Амурская область)'}"	"Muravka"	""	""
"Новопокровка"	""	"Novopokrovka (Amur)"	"Novopokrovka (Amur)"	"Q19906844"	"node"	"2394670378"	""	"{'addr:country': 'RU', 'addr:district': 'Магдагачинский район', 'addr:region': 'Амурская область', 'name': 'Новопокровка', 'place': 'isolated_dwelling', 'population': '0', 'population:date': '2014-01-01', 'wikidata': 'Q19906844', 'wikipedia': 'ru:Новопокровка (Магдагачинский район)'}"	"Novopokrovka"	""	""
"Нюкжа"	""	"Niukja"	"Niukja"	"Q19906899"	"node"	"1861166273"	""	"{'addr:country': 'RU', 'addr:district': 'Магдагачинский район', 'addr:region': 'Амурская область', 'addr:subdistrict': 'Гонжинский сельсовет', 'name': 'Нюкжа', 'place': 'isolated_dwelling', 'population': '0', 'population:date': '2014-01-01', 'wikidata': 'Q19906899', 'wikipedia': 'ru:Нюкжа (Магдагачинский район)'}"	"Niukja"	""	""
"Пионер"	""	"Pioner (Rússia)"	"Pioner (Rússia)"	"Q18407908"	"node"	"2394683214"	""	"{'addr:country': 'RU', 'addr:district': 'Магдагачинский район', 'addr:region': 'Амурская область', 'name': 'Пионер', 'place': 'hamlet', 'population': '34', 'population:date': '2014-01-01', 'wikidata': 'Q18407908', 'wikipedia': 'ru:Пионер (Амурская область)'}"	"Pioner"	""	""
"Правая Райчиха"	""	"Pràvaia Raitxikha"	"Pràvaia Raitxikha"	"Q18408419"	"node"	"1445204457"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'addr:subdistrict': 'Успеновский сельсовет', 'name': 'Правая Райчиха', 'place': 'hamlet', 'population': '34', 'population:date': '2014-01-01', 'wikidata': 'Q18408419', 'wikipedia': 'ru:Правая Райчиха'}"	"Pràvaia Raitxikha"	""	""
"Родионовка"	""	"Rodionovka"	"Rodionovka"	"Q18408888"	"node"	"2385031743"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'name': 'Родионовка', 'place': 'village', 'population': '296', 'population:date': '2014-01-01', 'wikidata': 'Q18408888', 'wikipedia': 'ru:Родионовка (Амурская область)'}"	"Rodionovka"	""	""
"Семёновка"	""	"Semiónovka (Amur)"	"Semiónovka (Amur)"	"Q18409006"	"node"	"2385042539"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'name': 'Семёновка', 'place': 'hamlet', 'population': '91', 'population:date': '2014-01-01', 'wikidata': 'Q18409006', 'wikipedia': 'ru:Семёновка (Бурейский район)'}"	"Semiónovka"	""	""
"Старая Райчиха"	""	"Stàraia Raitxikha"	"Stàraia Raitxikha"	"Q18401757"	"node"	"1445204788"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'addr:subdistrict': 'Старорайчихинский сельсовет', 'name': 'Старая Райчиха', 'place': 'village', 'population': '324', 'population:date': '2018-01-01', 'source': 'vmap0', 'wikidata': 'Q18401757', 'wikipedia': 'ru:Старая Райчиха'}"	"Stàraia Raitxikha"	""	""
"Сулус"	""	"Sulús"	"Sulús"	"Q19652660"	"node"	"1422651021"	""	"{'addr:country': 'RU', 'addr:district': 'Магдагачинский район', 'addr:region': 'Амурская область', 'name': 'Сулус', 'official_status': 'ru:железнодорожная станция', 'place': 'hamlet', 'population': '35', 'population:date': '2014-01-01', 'source': 'Bing', 'wikidata': 'Q19652660', 'wikipedia': 'ru:Сулус'}"	"Sulús"	""	""
"Толбузино"	""	"Tolbuzinó"	"Tolbuzinó"	"Q18409531"	"node"	"2054060611"	""	"{'addr:country': 'RU', 'addr:district': 'Магдагачинский район', 'addr:region': 'Амурская область', 'name': 'Толбузино', 'place': 'village', 'population': '178', 'population:date': '2018-01-01', 'wikidata': 'Q18409531', 'wikipedia': 'ru:Толбузино (Амурская область)'}"	"Tolbuzinó"	""	""
"Трехречье"	""	"Triókhretxie (Amur)"	"Triókhretxie (Amur)"	"Q18409633"	"node"	"2385042524"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'name': 'Трехречье', 'place': 'hamlet', 'population': '46', 'population:date': '2014-01-01', 'wikidata': 'Q18409633', 'wikipedia': 'ru:Трёхречье (Амурская область)'}"	"Triókhretxie"	""	""
"Тюкан"	""	"Tiukan"	"Tiukan"	"Q18409673"	"node"	"2682056759"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'name': 'Тюкан', 'official_status': 'ru:железнодорожная станция', 'place': 'hamlet', 'population': '8', 'population:date': '2014-01-01', 'wikidata': 'Q18409673', 'wikipedia': 'ru:Тюкан'}"	"Tiukan"	""	""
"Успеновка"	""	"Uspénovka"	"Uspénovka"	"Q19915906"	"node"	"1445204598"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'name': 'Успеновка', 'place': 'village', 'population': '296', 'population:date': '2014-01-01', 'wikidata': 'Q19915906', 'wikipedia': 'ru:Успеновка (Бурейский район)'}"	"Uspénovka"	""	""
"Усть-Кивда"	""	"Ust-Kivdà"	"Ust-Kivdà"	"Q18397677"	"node"	"2385017221"	""	"{'addr:country': 'RU', 'addr:district': 'Бурейский муниципальный округ', 'addr:region': 'Амурская область', 'addr:subdistrict': 'Малиновский сельсовет', 'name': 'Усть-Кивда', 'place': 'village', 'population': '165', 'population:date': '2014-01-01', 'wikidata': 'Q18397677', 'wikipedia': 'ru:Усть-Кивда'}"	"Ust-Kivdà"	""	""
"Черняево"	""	"Txerniàievo (Amur)"	"Txerniàievo (Amur)"	"Q19908330"	"node"	"2381319838"	""	"{'addr:country': 'RU', 'addr:district': 'Магдагачинский район', 'addr:region': 'Амурская область', 'name': 'Черняево', 'place': 'village', 'population': '846', 'population:date': '2014-01-01', 'wikidata': 'Q19908330', 'wikipedia': 'ru:Черняево (Амурская область)'}"	"Txerniàievo"	""	""
