"@type","@id","name","name:ca","wikidata","admin_level","informe","cmd","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat"
"relation",51490,"Московская область","Província de Moscou","Q1697",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Moscou_wikidata.tsv","",50,45,50,45,FALSE
"relation",71950,"Рязанская область","Província de Riazan","Q2753",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Riazan_wikidata.tsv","",12,11,12,11,FALSE
"relation",72169,"Липецкая область","Província de Lípetsk","Q3510",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Lípetsk_wikidata.tsv","",9,9,9,9,FALSE
"relation",72180,"Тамбовская область","Província de Tambov","Q3550",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Tambov_wikidata.tsv","",6,6,6,6,FALSE
"relation",72181,"Воронежская область","Província de Vorónej","Q3447",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Vorónej_wikidata.tsv","",12,11,12,11,FALSE
"relation",72182,"Пензенская область","Província de Penza","Q5545",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Penza_wikidata.tsv","",7,7,7,7,FALSE
"relation",72192,"Ульяновская область","Província d'Uliànovsk","Q5634",4,"exotopònims/Rússia/informes/informe-Rússia-Província d'Uliànovsk_wikidata.tsv","",26,10,26,10,FALSE
"relation",72193,"Саратовская область","Província de Saràtov","Q5334",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Saràtov_wikidata.tsv","",13,9,13,9,FALSE
"relation",72194,"Самарская область","Província de Samara","Q1727",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Samara_wikidata.tsv","",6,6,6,6,FALSE
"relation",72195,"Нижегородская область","Província de Nijni Nóvgorod","Q2246",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Nijni Nóvgorod_wikidata.tsv","",23,23,23,23,FALSE
"relation",72196,"Мордовия","Mordòvia","Q5340",4,"exotopònims/Rússia/informes/informe-Rússia-Mordòvia_wikidata.tsv","",5,4,5,4,FALSE
"relation",72197,"Владимирская область","Província de Vladímir","Q2702",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Vladímir_wikidata.tsv","",31,30,31,30,FALSE
"relation",72223,"Курская область","Província de Kursk","Q3178",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Kursk_wikidata.tsv","",97,97,97,97,FALSE
"relation",72224,"Орловская область","Província d'Oriol","Q3129",4,"exotopònims/Rússia/informes/informe-Rússia-Província d'Oriol_wikidata.tsv","",3,3,3,3,FALSE
"relation",77665,"Волгоградская область","Província de Volgograd","Q3819",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Volgograd_wikidata.tsv","",11,10,11,10,FALSE
"relation",77669,"Оренбургская область","Província d'Orenburg","Q5338",4,"exotopònims/Rússia/informes/informe-Rússia-Província d'Orenburg_wikidata.tsv","",5,5,5,5,FALSE
"relation",77677,"Башкортостан","Baixkíria","Q5710",4,"exotopònims/Rússia/informes/informe-Rússia-Baixkíria_wikidata.tsv","",82,81,82,81,FALSE
"relation",77687,"Челябинская область","Província de Txeliàbinsk","Q5714",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Txeliàbinsk_wikidata.tsv","",26,24,26,24,FALSE
"relation",79374,"Татарстан","Tatarstan","Q5481",4,"exotopònims/Rússia/informes/informe-Rússia-Tatarstan_wikidata.tsv","",41,31,41,31,FALSE
