"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(191706);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	8104016036	"Ан-2"			""	"Antónov An-2, An-2"	"Antónov An-2"	"Q207700"	""	"{'historic': 'aircraft', 'name': 'Ан-2', 'tourism': 'attraction', 'wikidata': 'Q207700', 'wikipedia': 'ru:Ан-2'}"
"node"	8104016033	"Ан-26"			""	"Antonov An-26, An-26"	""	"Q62156"	""	"{'historic': 'aircraft', 'name': 'Ан-26', 'tourism': 'attraction', 'wikidata': 'Q62156', 'wikipedia': 'ru:Ан-26'}"
"node"	8104016034	"Ми-8"			""	"Mil Mi-8"	"Mil Mi-8"	"Q155635"	""	"{'historic': 'aircraft', 'name': 'Ми-8', 'tourism': 'attraction', 'wikidata': 'Q155635', 'wikipedia': 'ru:Ми-8'}"
"node"	8104016035	"Як-40"			""	"Yakovlev Yak-40"	""	"Q505663"	""	"{'historic': 'aircraft', 'name': 'Як-40', 'tourism': 'attraction', 'wikidata': 'Q505663', 'wikipedia': 'ru:Як-40'}"
"node"	8104000155	"Т-64"			""	"T-64, T64"	"T-64"	"Q270697"	""	"{'historic': 'tank', 'name': 'Т-64', 'tourism': 'attraction', 'wikidata': 'Q270697', 'wikipedia': 'ru:Т-64А'}"
"node"	8104000156	"БМП-1"			""	"BMP-1"	"BMP-1"	"Q155494"	""	"{'historic': 'tank', 'name': 'БМП-1', 'tourism': 'attraction', 'wikidata': 'Q155494', 'wikipedia': 'ru:БМП-1'}"
"node"	8104000158	"Т-62"			""	"T-62, T62"	"T-62"	"Q207618"	""	"{'historic': 'tank', 'name': 'Т-62', 'tourism': 'attraction', 'wikidata': 'Q207618', 'wikipedia': 'ru:Т-62'}"
"node"	8104000164	"Т-34"			""	"T-34"	"T-34"	"Q172233"	""	"{'historic': 'weapon', 'name': 'Т-34', 'tourism': 'attraction', 'wikidata': 'Q172233', 'wikipedia': 'ru:Т-34'}"
"node"	8104000166	"БРДМ-2"			""	"BRDM-2"	"BRDM-2"	"Q167968"	""	"{'historic': 'weapon', 'name': 'БРДМ-2', 'tourism': 'attraction', 'wikidata': 'Q167968', 'wikipedia': 'ru:БРДМ-2'}"
"node"	8104000168	"БТР-70"			""	"BTR-70"	"BTR-70"	"Q159927"	""	"{'historic': 'weapon', 'name': 'БТР-70', 'tourism': 'attraction', 'wikidata': 'Q159927', 'wikipedia': 'ru:БТР-70'}"
"node"	8104000173	"МиГ-27Д"			""	"Mikoian-Gurévitx MiG-27, Mikoian-Gurèvitx MiG-27, MiG-27"	"Mikoian-Gurévitx MiG-27"	"Q234069"	""	"{'historic': 'plane', 'name': 'МиГ-27Д', 'tourism': 'attraction', 'wikidata': 'Q234069', 'wikipedia': 'ru:МиГ-27'}"
"node"	1348992723	"Находка"			""	"Nakhodka, Najodka"	"Nakhodka"	"Q156658"	""	"{'addr:country': 'RU', 'addr:district': 'муниципальный округ Тазовский район', 'addr:region': 'Ямало-Ненецкий автономный округ', 'name': 'Находка', 'official_status': 'ru:село', 'place': 'village', 'population': '1305', 'population:date': '2017-01-01', 'wikidata': 'Q156658'}"
"way"	27948827	"Обь"			""	"Obi, Ob"	"Obi"	"Q973"	"int_name=Ob, name:en=Ob River, name:ja=オビ川, name:lt=Obė, name:pl=Ob, name:ru=Обь"	"{'boat': 'yes', 'gvr:code': '13010200312115200000019', 'have_riverbank': 'yes', 'int_name': 'Ob', 'name': 'Обь', 'name:en': 'Ob River', 'name:ja': 'オビ川', 'name:lt': 'Obė', 'name:pl': 'Ob', 'name:ru': 'Обь', 'waterway': 'river', 'wikidata': 'Q973', 'wikipedia': 'lt:Obė'}"
"way"	28194813	"Обь"			"Obi;As;Yag;Kolta;Yema;Kuay;Umar;Omar"	"Obi, Ob"	"Obi"	"Q973"	"int_name=Ob, name:en=Ob River, name:ja=オビ川, name:lt=Obė, name:pl=Ob, name:ru=Обь"	"{'alt_name': 'Obi;As;Yag;Kolta;Yema;Kuay;Umar;Omar', 'description': '3,650 km. Fourth largest river in Russia.', 'gvr:code': '13010200312115200000019', 'have_riverbank': 'yes', 'int_name': 'Ob', 'is_in:country_code': 'RU', 'length': '3650km', 'name': 'Обь', 'name:en': 'Ob River', 'name:ja': 'オビ川', 'name:lt': 'Obė', 'name:pl': 'Ob', 'name:ru': 'Обь', 'waterway': 'river', 'wikidata': 'Q973', 'wikipedia': 'lt:Obė'}"
"way"	917053843	"Обь"			""	"Obi, Ob"	"Obi"	"Q973"	"int_name=Ob, name:en=Ob River, name:ja=オビ川, name:lt=Obė, name:pl=Ob, name:ru=Обь, name:zh=鄂毕河"	"{'gvr:code': '13010200312115200000019', 'have_riverbank': 'yes', 'int_name': 'Ob', 'name': 'Обь', 'name:en': 'Ob River', 'name:ja': 'オビ川', 'name:lt': 'Obė', 'name:pl': 'Ob', 'name:ru': 'Обь', 'name:zh': '鄂毕河', 'waterway': 'river', 'wikidata': 'Q973', 'wikipedia': 'lt:Obė'}"
"way"	28195308	"Обь"			""	"Obi, Ob"	"Obi"	"Q973"	"int_name=Ob, name:en=Ob River, name:ja=オビ川, name:lt=Obė, name:pl=Ob, name:ru=Обь"	"{'gvr:code': '13010200312115200000019', 'have_riverbank': 'yes', 'int_name': 'Ob', 'name': 'Обь', 'name:en': 'Ob River', 'name:ja': 'オビ川', 'name:lt': 'Obė', 'name:pl': 'Ob', 'name:ru': 'Обь', 'waterway': 'river', 'wikidata': 'Q973', 'wikipedia': 'lt:Obė'}"
"way"	844528672	"Ныда"			""	"Nida"	""	"Q4328233"	"name:ru=Ныда"	"{'gvr:code': '15040000212115300052354', 'name': 'Ныда', 'name:ru': 'Ныда', 'waterway': 'river', 'wikidata': 'Q4328233', 'wikipedia': 'ru:Ныда (река)'}"
"way"	84638776	"Пурпе"			"Пур-Пе"	"Purpe"	""	"Q12559366"	""	"{'alt_name': 'Пур-Пе', 'name': 'Пурпе', 'waterway': 'river', 'wikidata': 'Q12559366', 'wikipedia': 'ru:Пурпе (река)'}"
"relation"	10672994	"Пурпе"			"Пур-Пе"	"Purpe"	""	"Q12559366"	""	"{'alt_name': 'Пур-Пе', 'boat': 'no', 'destination': 'Пякупур', 'gvr:code': '15040000112115300056612', 'name': 'Пурпе', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q12559366', 'wikipedia': 'ru:Пурпе (река)'}"
