"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(81996);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	312992742	"Красный"			""	"Krasni"	""	"Q658905"	"name:be=Красны, name:de=Krasny, name:en=Krasny, name:pl=Krasny, name:ru=Красный"	"{'addr:country': 'RU', 'addr:region': 'Смоленская область', 'addr:subdistrict': 'Краснинское городское поселение', 'name': 'Красный', 'name:be': 'Красны', 'name:de': 'Krasny', 'name:en': 'Krasny', 'name:pl': 'Krasny', 'name:ru': 'Красный', 'official_status': 'ru:посёлок городского типа', 'place': 'town', 'population': '4150', 'population:date': '2015-01-01', 'wikidata': 'Q658905', 'wikipedia': 'ru:Красный (Смоленская область)'}"
"node"	1386998883	"Соколянка"			""	"Sokolianka, Sakalianka"	""	"Q4427501"	"official_name=деревня Соколянка"	"{'addr:country': 'RU', 'addr:district': 'Шумячский район', 'addr:region': 'Смоленская область', 'addr:subdistrict': 'Студенецкое сельское поселение', 'name': 'Соколянка', 'official_name': 'деревня Соколянка', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '6', 'population:date': '2008', 'wikidata': 'Q4427501', 'wikipedia': 'ru:Соколянка'}"
"node"	1720627136	"Курщина"			""	"Província de Kursk, província de Kursk"	"Província de Kursk"	"Q3178"	"official_name=деревня Курщина"	"{'addr:country': 'RU', 'addr:district': 'Ершичский район', 'addr:region': 'Смоленская область', 'name': 'Курщина', 'official_name': 'деревня Курщина', 'official_status': 'ru:деревня', 'oktmo:user': 'yes', 'place': 'locality', 'population': '5', 'population:date': '2008', 'wikidata': 'Q3178', 'wikipedia': 'ru:Курщина'}"
"node"	1779236135	"Снеберка"			""	"Sneberka"	"Sneberka"	"Q2995235"	"official_name=деревня Снеберка"	"{'addr:country': 'RU', 'addr:district': 'Монастырщинский район', 'addr:region': 'Смоленская область', 'addr:subdistrict': 'Барсуковское сельское поселение', 'name': 'Снеберка', 'official_name': 'деревня Снеберка', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '9', 'population:date': '2010', 'wikidata': 'Q2995235', 'wikipedia': 'ru:Снеберка'}"
"node"	1222307783	"Памятный знак на месте падения самолёта/Pomnik Pamięci Ofiar Katastrofy Prezydenckiego samolotu pod Smoleńskiem"			""	"Accident del Tu-154 de la Força Aèria de Polònia, accident del Tu-154 de la Força Aèria de Polònia"	"Accident del Tu-154 de la Força Aèria de Polònia"	"Q131311"	"name:en=Place of death of Polish President Kaczyński and Crew of Tu-154M, name:pl=Pomnik Pamięci Ofiar Katastrofy Prezydenckiego samolotu pod Smoleńskiem, name:ru=Памятный знак на месте падения самолёта"	"{'historic': 'memorial', 'name': 'Памятный знак на месте падения самолёта/Pomnik Pamięci Ofiar Katastrofy Prezydenckiego samolotu pod Smoleńskiem', 'name:en': 'Place of death of Polish President Kaczyński and Crew of Tu-154M', 'name:pl': 'Pomnik Pamięci Ofiar Katastrofy Prezydenckiego samolotu pod Smoleńskiem', 'name:ru': 'Памятный знак на месте падения самолёта', 'wikidata': 'Q131311', 'wikipedia': 'ru:Авиакатастрофа в Смоленске 10 апреля 2010 года'}"
"node"	6153840725	"Место ранения генерала Гюдена"			""	"Charles Étienne Gudin"	""	"Q2362024"	""	"{'historic': 'memorial', 'name': 'Место ранения генерала Гюдена', 'wikidata': 'Q2362024', 'wikipedia': 'ru:Гюден де ла Саблоньер, Шарль-Этьен'}"
"node"	847561293	"Новоспасское"			""	"Novospasskoie"	""	"Q4325584"	"official_name=деревня Новоспасское"	"{'addr:country': 'RU', 'addr:district': 'Ельнинский район', 'addr:region': 'Смоленская область', 'name': 'Новоспасское', 'official_name': 'деревня Новоспасское', 'official_status': 'ru:деревня', 'place': 'village', 'population': '85', 'population:date': '2008', 'wikidata': 'Q4325584', 'wikipedia': 'ru:Новоспасское (Смоленская область)'}"
"node"	1623170964	"Медведки"			""	"Gril·lotàlpids, Gryllotalpidae"	"Gril·lotàlpids"	"Q199765"	"official_name=деревня Медведки"	"{'addr:country': 'RU', 'addr:district': 'Демидовский район', 'addr:postcode': '216240', 'addr:region': 'Смоленская область', 'addr:subdistrict': 'Демидовское городское поселение', 'name': 'Медведки', 'official_name': 'деревня Медведки', 'official_status': 'ru:деревня', 'okato:user': '66211830001', 'place': 'hamlet', 'population': '131', 'population:date': '2010', 'wikidata': 'Q199765', 'wikipedia': 'ru:Медведки'}"
"node"	1623170805	"Воробьи"			""	"Passèrids, passèrid, Passeridae"	"Passèrids"	"Q28922"	"official_name=деревня Воробьи"	"{'addr:country': 'RU', 'addr:district': 'Демидовский район', 'addr:region': 'Смоленская область', 'addr:subdistrict': 'Заборьевское сельское поселение', 'full_name': 'деревня Воробьи', 'name': 'Воробьи', 'official_name': 'деревня Воробьи', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '22', 'population:date': '2010', 'wikidata': 'Q28922', 'wikipedia': 'ru:Воробьи'}"
