"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(140295);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	9039166872	"Acidente"			""	"Accident aeri, accident aeri"	"Accident aeri"	"Q744913"	""	"{'name': 'Acidente', 'wikidata': 'Q744913', 'wikipedia': 'en:Aviation accident'}"
"node"	7505267430	"Шилка (ЗСУ)"			""	"ZSU-23-4"	""	"Q136457"	""	"{'historic': 'tank', 'name': 'Шилка (ЗСУ)', 'tourism': 'attraction', 'wikidata': 'Q136457', 'wikipedia': 'ru:Шилка (ЗСУ)'}"
"node"	4441835600	"Magic Room Игровая интерактивная комната"			""	"Tomsk"	"Tomsk"	"Q976"	""	"{'addr:city': 'Томск', 'addr:housenumber': '217 с2', 'addr:street': 'проспект Ленина', 'amenity': 'childcare', 'description': 'Крутые детские дни рождения для детей 6-12 лет. Лучшее место, куда пойти с ребенком. Комната квестов для детей, где Ваш ребенок может сыграть один или с друзьями: Отправиться в путешествие в космос! Бронируйте заранее! magicroom.club', 'level': '2', 'name': 'Magic Room Игровая интерактивная комната', 'opening_hours': '10:00-21:00', 'phone': '+7 962 7876767', 'website': 'http://magicroom.club', 'wikidata': 'Q976', 'wikipedia': 'ru:Томск'}"
"way"	26490289	"Обь"			""	"Obi, Ob"	"Obi"	"Q973"	"int_name=Ob, name:en=Ob River, name:ja=オビ川, name:lt=Obė, name:pl=Ob, name:ru=Обь"	"{'boat': 'yes', 'gvr:code': '13010200312115200000019', 'have_riverbank': 'yes', 'int_name': 'Ob', 'name': 'Обь', 'name:en': 'Ob River', 'name:ja': 'オビ川', 'name:lt': 'Obė', 'name:pl': 'Ob', 'name:ru': 'Обь', 'waterway': 'river', 'wikidata': 'Q973', 'wikipedia': 'lt:Obė'}"
"way"	118587768	"Обь"			""	"Obi, Ob"	"Obi"	"Q973"	"int_name=Ob, name:en=Ob River, name:ja=オビ川, name:lt=Obė, name:pl=Ob, name:ru=Обь"	"{'boat': 'yes', 'gvr:code': '13010200312115200000019', 'have_riverbank': 'yes', 'int_name': 'Ob', 'name': 'Обь', 'name:en': 'Ob River', 'name:ja': 'オビ川', 'name:lt': 'Obė', 'name:pl': 'Ob', 'name:ru': 'Обь', 'waterway': 'river', 'wikidata': 'Q973', 'wikipedia': 'lt:Obė'}"
"way"	232190034	"Обь"			""	"Obi, Ob"	"Obi"	"Q973"	"int_name=Ob, name:en=Ob River, name:ja=オビ川, name:lt=Obė, name:pl=Ob, name:ru=Обь"	"{'gvr:code': '13010200312115200000019', 'have_riverbank': 'yes', 'int_name': 'Ob', 'name': 'Обь', 'name:en': 'Ob River', 'name:ja': 'オビ川', 'name:lt': 'Obė', 'name:pl': 'Ob', 'name:ru': 'Обь', 'waterway': 'river', 'wikidata': 'Q973', 'wikipedia': 'lt:Obė'}"
"way"	118587770	"Обь"			""	"Obi, Ob"	"Obi"	"Q973"	"int_name=Ob, name:en=Ob River, name:ja=オビ川, name:lt=Obė, name:pl=Ob, name:ru=Обь"	"{'boat': 'yes', 'gvr:code': '13010200312115200000019', 'have_riverbank': 'yes', 'int_name': 'Ob', 'name': 'Обь', 'name:en': 'Ob River', 'name:ja': 'オビ川', 'name:lt': 'Obė', 'name:pl': 'Ob', 'name:ru': 'Обь', 'waterway': 'river', 'wikidata': 'Q973', 'wikipedia': 'lt:Obė'}"
"way"	26624210	"Обь"			""	"Obi, Ob"	"Obi"	"Q973"	"int_name=Ob, name:en=Ob River, name:ja=オビ川, name:lt=Obė, name:pl=Ob, name:ru=Обь"	"{'boat': 'yes', 'gvr:code': '13010200312115200000019', 'have_riverbank': 'yes', 'int_name': 'Ob', 'name': 'Обь', 'name:en': 'Ob River', 'name:ja': 'オビ川', 'name:lt': 'Obė', 'name:pl': 'Ob', 'name:ru': 'Обь', 'waterway': 'river', 'wikidata': 'Q973', 'wikipedia': 'lt:Obė'}"
"way"	26654118	"Кеть"			""	"Riu Ket"	"Riu Ket"	"Q724465"	"int_name=Ket', name:az=Ket çayı, name:cv=Кеть, name:de=Ket, name:en=Ket River, name:es=Río Ket, name:fi=Ket, name:hy=Կետ, name:ja=ケチ川, name:ru=Кеть, name:uk=Кеть, name:zh=克季河"	"{'boat': 'no', 'gvr:code': '13010600112115200024176', 'int_name': ""Ket'"", 'name': 'Кеть', 'name:az': 'Ket çayı', 'name:cv': 'Кеть', 'name:de': 'Ket', 'name:en': 'Ket River', 'name:es': 'Río Ket', 'name:fi': 'Ket', 'name:hy': 'Կետ', 'name:ja': 'ケチ川', 'name:ru': 'Кеть', 'name:uk': 'Кеть', 'name:zh': '克季河', 'waterway': 'river', 'wikidata': 'Q724465', 'wikipedia': 'ru:Кеть'}"
"relation"	5955987	"Васюган"			""	"Vassiugan"	"Vassiugan"	"Q511067"	"int_name=Vasyugan"	"{'gvr:code': '13010800112115200029649', 'int_name': 'Vasyugan', 'name': 'Васюган', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q511067', 'wikipedia': 'ru:Васюган'}"
"relation"	7139655	"Пудовское сельское поселение"			""	"assentament rural de Pudovka"	""	"Q20084795"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Пудовское сельское поселение', 'type': 'boundary', 'wikidata': 'Q20084795', 'wikipedia': 'ru:Пудовское сельское поселение'}"
"relation"	7141903	"Могочинское сельское поселение"			""	"assentament rural de Mogótxino"	""	"Q20084919"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Могочинское сельское поселение', 'type': 'boundary', 'wikidata': 'Q20084919', 'wikipedia': 'ru:Могочинское сельское поселение'}"
"relation"	7139660	"Иштанское сельское поселение"			""	"assentament rural d'Ixtan"	""	"Q20084782"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Иштанское сельское поселение', 'type': 'boundary', 'wikidata': 'Q20084782', 'wikipedia': 'ru:Иштанское сельское поселение'}"
"relation"	270287	"Первомайский район"			""	"Raion de Pervomàiskoie"	""	"Q1762687"	"name:en=Pervomay region, name:ja=ペルヴォマイスコエ地区, name:ru=Первомайский район"	"{'addr:country': 'RU', 'addr:region': 'Томская область', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Первомайский район', 'name:en': 'Pervomay region', 'name:ja': 'ペルヴォマイスコエ地区', 'name:ru': 'Первомайский район', 'official_status': 'ru:муниципальный район', 'population': '16434', 'population:date': '2020-01-01', 'source:population': 'https://tmsk.gks.ru/folder/32175', 'type': 'boundary', 'wikidata': 'Q1762687', 'wikipedia': 'ru:Первомайский район (Томская область)'}"
"relation"	7151839	"Комсомольское сельское поселение"			""	"Assentament rural de Komsomolsk (província de Tomsk)"	""	"Q20084714"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Комсомольское сельское поселение', 'type': 'boundary', 'wikidata': 'Q20084714', 'wikipedia': 'ru:Комсомольское сельское поселение (Томская область)'}"
"relation"	7151836	"Первомайское сельское поселение"			""	"assentament rural de Pervomàiskoie"	""	"Q20084716"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Первомайское сельское поселение', 'type': 'boundary', 'wikidata': 'Q20084716', 'wikipedia': 'ru:Первомайское сельское поселение (Томская область)'}"
