"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(77665);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	9793159011	"В.И. Чуйков"			""	"Vassili Txuikov, Vasili Txuikov, Vasily Txuikov, Vasily Chuikov"	"Vassili Txuikov"	"Q157594"	""	"{'artwork_type': 'sculpture', 'name': 'В.И. Чуйков', 'tourism': 'artwork', 'wikidata': 'Q157594', 'wikipedia': 'ru:Чуйков, Василий Иванович'}"
"node"	9764151957	"Медаль \"Золотая звезда\""			""	"Estrela d'Or, Estel d'Or Soviètic, Estrella d'Or, Estrela d´Or"	"Estrela d'Or"	"Q1948730"	""	"{'historic': 'memorial', 'image': 'https://avatars.mds.yandex.net/get-altay/2419289/2a0000017416e119d45effd5e4f2e388fb21/XXXL', 'inscription': 'УКАЗ\nПрезидиума Верховного Совета СССР\nЗа выдающиеся заслуги перед Родиной, мужество и героизм, проявленные трудящимися г. Волгограда в борьбе с немецко-фашистскими захватчиками, и в ознаменование 20 летия победы советского народа в Великой Отечественной', 'name': 'Медаль \"Золотая звезда\"', 'wikidata': 'Q1948730', 'wikipedia': 'ru:Медаль «Золотая Звезда» (СССР)'}"
"node"	1444477459	"Горный Балыклей"			""	"Gornyj Balyklej"	""	"Q23957635"	""	"{'name': 'Горный Балыклей', 'place': 'village', 'population': '2700', 'wikidata': 'Q23957635', 'wikipedia': 'ru:Горный Балыклей'}"
"way"	65955749	"Кардаил"			""	"Kardail"	""	"Q4214741"	""	"{'name': 'Кардаил', 'waterway': 'river', 'wikidata': 'Q4214741', 'wikipedia': 'ru:Кардаил (река)'}"
"way"	161663629	"Кардаил"			""	"Kardail"	""	"Q4214741"	""	"{'name': 'Кардаил', 'waterway': 'river', 'wikidata': 'Q4214741', 'wikipedia': 'ru:Кардаил (река)'}"
"way"	794665098	"Каменник"			""	"Kamiennik"	""	"Q16657659"	""	"{'name': 'Каменник', 'natural': 'beach', 'wikidata': 'Q16657659', 'wikipedia': 'ru:Каменник'}"
"relation"	3745454	"Asian Highway AH8"			""	"AH8"	""	"Q2813842"	"name:en=Asian Highway AH8, name:lt=Azijos Plentas AH8"	"{'description': 'Граница Финляндии — Торпиновка — Выборг — Санкт-Петербург — Москва — Тамбов ... Волгоград — Астрахань — Хасавюрт — Махачкала ... Сумгаит — Баку — Алят ... Астара ... Тегеран ... Бандер-Эмам', 'distance': '4718 km', 'int_ref': 'AH8', 'name': 'Asian Highway AH8', 'name:en': 'Asian Highway AH8', 'name:lt': 'Azijos Plentas AH8', 'network': 'AsianHighway', 'ref': 'AH8', 'route': 'road', 'type': 'route', 'wikidata': 'Q2813842', 'wikipedia': 'en:AH8'}"
"relation"	1789104	"European route E 119"			""	"E119"	"E119"	"Q2535163"	"name:en=European route E 119, name:fr=Route européenne E 119, name:nl=Europese route E119, name:sk=Európska cesta E 119"	"{'description': 'Moskva - Tambov - Povorino - Volgograd - Astrakhan - Makhachkala - Kuba - Baku - Alyat - Astara', 'description:fr': 'E 119 Moscou - Astara', 'name': 'European route E 119', 'name:en': 'European route E 119', 'name:fr': 'Route européenne E 119', 'name:nl': 'Europese route E119', 'name:sk': 'Európska cesta E 119', 'network': 'e-road', 'ref': 'E 119', 'route': 'road', 'type': 'route', 'wikidata': 'Q2535163'}"
"relation"	2574936	"Европейский маршрут E 40"			""	"E40"	"E40"	"Q327162"	"name:en=European route E 40, name:fr=Route européenne E 40, name:pl=Trasa europejska E 40, name:ru=Европейский маршрут E 40, name:uk=Європейський маршрут E40 (Russia)"	"{'description:fr': 'E 40 Calais - Astrakhan', 'name': 'Европейский маршрут E 40', 'name:en': 'European route E 40', 'name:fr': 'Route européenne E 40', 'name:pl': 'Trasa europejska E 40', 'name:ru': 'Европейский маршрут E 40', 'name:uk': 'Європейський маршрут E40 (Russia)', 'network': 'e-road', 'ref': 'E 40', 'route': 'road', 'section': 'Russia', 'type': 'route', 'wikidata': 'Q327162', 'wikipedia': 'en:European route E40'}"
"relation"	1793871	"городское поселение Котово"			""	"Kótovo"	"Kótovo"	"Q155470"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'городское поселение Котово', 'official_status': 'ru:городское поселение', 'oktmo:user': '18626101', 'old_name': 'Котовское городское поселение', 'type': 'boundary', 'wikidata': 'Q155470', 'wikipedia': 'ru:Котово'}"
"relation"	1647743	"городское поселение Палласовка"			"Палласовское городское поселение"	"Pal·làssovka"	"Pal·làssovka"	"Q177920"	""	"{'admin_level': '8', 'alt_name': 'Палласовское городское поселение', 'boundary': 'administrative', 'name': 'городское поселение Палласовка', 'official_status': 'ru:городское поселение', 'type': 'boundary', 'wikidata': 'Q177920', 'wikipedia': 'ru:Палласовка'}"
