"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(72181);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	2109297651	"Шипов лес"			""	"Shipov Les"	""	"Q25396682"	""	"{'esr:user': '582306', 'name': 'Шипов лес', 'operator': 'ОАО РЖД', 'public_transport': 'station', 'railway': 'station', 'wikidata': 'Q25396682', 'wikipedia': 'ru:Шипов Лес (станция)'}"
"node"	4347821248	"Маргелов Василий Филиппович"			""	"Vassili Marguélov, Vasili Marguèlov, Vasili Margelov"	"Vassili Marguélov"	"Q677432"	""	"{'artist_name': 'Виктор Грищенко', 'historic': 'memorial', 'memorial': 'bust', 'name': 'Маргелов Василий Филиппович', 'start_date': '2016-08-02', 'wikidata': 'Q677432', 'wikipedia': 'ru:Маргелов, Василий Филиппович'}"
"node"	336140709	"Октябрьское"			""	"Oktiabrskoie"	""	"Q16022416"	"name:en=Oktyabr'skoye, name:ru=Октябрьское"	"{'addr:country': 'RU', 'addr:district': 'Поворинский район', 'addr:region': 'Воронежская область', 'name': 'Октябрьское', 'name:en': \"Oktyabr'skoye\", 'name:ru': 'Октябрьское', 'old_name': 'Верхний Калмык', 'place': 'village', 'wikidata': 'Q16022416', 'wikipedia': 'ru:Октябрьское (Воронежская область)'}"
"way"	791455849	"Октябрьское"			""	"Oktiabrskoie"	""	"Q16022416"	"name:en=Oktyabr'skoye, name:ru=Октябрьское"	"{'addr:country': 'RU', 'addr:district': 'Поворинский район', 'addr:region': 'Воронежская область', 'name': 'Октябрьское', 'name:en': \"Oktyabr'skoye\", 'name:ru': 'Октябрьское', 'old_name': 'Верхний Калмык', 'place': 'village', 'wikidata': 'Q16022416', 'wikipedia': 'ru:Октябрьское (Воронежская область)'}"
"relation"	2223656	"European route E 38"			""	"E38"	"E38"	"Q289474"	"name:de=Europastraße 38, name:en=European route E 38, name:fr=Route européenne E 38, name:nl=Europese route E38, name:pl=Trasa europejska E 38, name:ru=Европейский маршрут E 38, name:sk=Európska cesta E 38"	"{'addr:country': 'KZ', 'description': 'Glukhov - Kursk - Voronezh - Saratov - Uralsk - Aktobe - Karabutak - Aralsk - Novokazalinsk - Kzylorda - Shymkent', 'description:fr': 'E 38 Glukhov - Chimkent', 'name': 'European route E 38', 'name:de': 'Europastraße 38', 'name:en': 'European route E 38', 'name:fr': 'Route européenne E 38', 'name:nl': 'Europese route E38', 'name:pl': 'Trasa europejska E 38', 'name:ru': 'Европейский маршрут E 38', 'name:sk': 'Európska cesta E 38', 'network': 'e-road', 'note': 'WARNING: DO NOT DO AUTOMATIC SORTING IN RELATION EDITOR', 'ref': 'E 38', 'route': 'road', 'source': 'Bing', 'type': 'route', 'wikidata': 'Q289474', 'wikipedia': 'en:European route E38'}"
"relation"	3745454	"Asian Highway AH8"			""	"AH8"	""	"Q2813842"	"name:en=Asian Highway AH8, name:lt=Azijos Plentas AH8"	"{'description': 'Граница Финляндии — Торпиновка — Выборг — Санкт-Петербург — Москва — Тамбов ... Волгоград — Астрахань — Хасавюрт — Махачкала ... Сумгаит — Баку — Алят ... Астара ... Тегеран ... Бандер-Эмам', 'distance': '4718 km', 'int_ref': 'AH8', 'name': 'Asian Highway AH8', 'name:en': 'Asian Highway AH8', 'name:lt': 'Azijos Plentas AH8', 'network': 'AsianHighway', 'ref': 'AH8', 'route': 'road', 'type': 'route', 'wikidata': 'Q2813842', 'wikipedia': 'en:AH8'}"
"relation"	1789104	"European route E 119"			""	"E119"	"E119"	"Q2535163"	"name:en=European route E 119, name:fr=Route européenne E 119, name:nl=Europese route E119, name:sk=Európska cesta E 119"	"{'description': 'Moskva - Tambov - Povorino - Volgograd - Astrakhan - Makhachkala - Kuba - Baku - Alyat - Astara', 'description:fr': 'E 119 Moscou - Astara', 'name': 'European route E 119', 'name:en': 'European route E 119', 'name:fr': 'Route européenne E 119', 'name:nl': 'Europese route E119', 'name:sk': 'Európska cesta E 119', 'network': 'e-road', 'ref': 'E 119', 'route': 'road', 'type': 'route', 'wikidata': 'Q2535163'}"
"relation"	2817790	"European route E 115"			""	"E115"	"E115"	"Q1375790"	"name:de=Europastraße 115, name:en=European route E 115, name:fr=Route européenne E 115, name:nl=Europese route E115, name:ru=Европейский маршрут E 115, name:sk=Európska cesta E 115"	"{'description': 'Yaroslavl - Moskva - Voronezh - Rostov-on-Don - Krasnodar - Novorossijsk', 'description:fr': 'E 115 Jaroslavl - Novorossiisk', 'name': 'European route E 115', 'name:de': 'Europastraße 115', 'name:en': 'European route E 115', 'name:fr': 'Route européenne E 115', 'name:nl': 'Europese route E115', 'name:ru': 'Европейский маршрут E 115', 'name:sk': 'Európska cesta E 115', 'network': 'e-road', 'ref': 'E 115', 'route': 'road', 'type': 'route', 'wikidata': 'Q1375790', 'wikipedia': 'en:European route E115'}"
"relation"	3723351	"Давыдовское городское поселение"			"Городское поселение Давыдовка"	"Ajuntaments urbans de Davydovo"	""	"Q4145505"	""	"{'admin_level': '8', 'alt_name': 'Городское поселение Давыдовка', 'boundary': 'administrative', 'name': 'Давыдовское городское поселение', 'type': 'boundary', 'wikidata': 'Q4145505', 'wikipedia': 'ru:Давыдовское городское поселение'}"
