"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), area=['name:ca'='Comarca de València'][admin_level=7], filters=nwr[name~'^[Aa]venida'][!'name:ca']"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	"1569156027"	"Avenida del Cid"	""	""	""	""	""	""	""	"{'name': 'Avenida del Cid', 'railway': 'subway_entrance'}"
"node"	"1569156029"	"Avenida del Cid"	""	""	""	""	""	""	""	"{'name': 'Avenida del Cid', 'railway': 'subway_entrance'}"
"node"	"1569156018"	"Avenida del Cid"	""	""	""	""	""	""	""	"{'name': 'Avenida del Cid', 'railway': 'subway_entrance'}"
"node"	"1569156023"	"Avenida del Cid"	""	""	""	""	""	""	""	"{'name': 'Avenida del Cid', 'railway': 'subway_entrance'}"
"node"	"1189715824"	"Avenida"	""	""	""	""	""	""	""	"{'amenity': 'cafe', 'name': 'Avenida', 'source': 'survey'}"
"way"	"367801690"	"Avenida Gola del Pujol"	""	""	""	""	""	""	""	"{'cycleway:both': 'no', 'highway': 'unclassified', 'lanes': '2', 'name': 'Avenida Gola del Pujol', 'oneway': 'no', 'surface': 'asphalt'}"
"way"	"442126856"	"Avenida Gola del Pujol"	""	""	""	""	""	""	""	"{'bicycle': 'yes', 'cycleway': 'no', 'highway': 'unclassified', 'name': 'Avenida Gola del Pujol'}"
"way"	"213900627"	"Avenida Gola del Pujol"	""	""	""	""	""	""	""	"{'amenity': 'parking', 'name': 'Avenida Gola del Pujol'}"
"way"	"150282511"	"Avenida Gola del Pujol"	""	""	""	""	""	""	""	"{'amenity': 'parking', 'name': 'Avenida Gola del Pujol'}"
"way"	"150282516"	"Avenida Gola del Pujol"	""	""	""	""	""	""	""	"{'amenity': 'parking', 'name': 'Avenida Gola del Pujol'}"
"way"	"150282525"	"Avenida Gola del Pujol"	""	""	""	""	""	""	""	"{'amenity': 'parking', 'name': 'Avenida Gola del Pujol'}"
"way"	"150282514"	"Avenida Gola del Pujol"	""	""	""	""	""	""	""	"{'amenity': 'parking', 'name': 'Avenida Gola del Pujol'}"
"way"	"150282509"	"Avenida Gola del Pujol"	""	""	""	""	""	""	""	"{'amenity': 'parking', 'name': 'Avenida Gola del Pujol'}"
"way"	"150282515"	"Avenida Gola del Pujol"	""	""	""	""	""	""	""	"{'amenity': 'parking', 'name': 'Avenida Gola del Pujol'}"
"way"	"150282524"	"Avenida Gola del Pujol"	""	""	""	""	""	""	""	"{'amenity': 'parking', 'name': 'Avenida Gola del Pujol'}"
"way"	"502981312"	"Avenida de Antonio Muñoz"	""	""	""	""	""	""	""	"{'highway': 'tertiary', 'name': 'Avenida de Antonio Muñoz', 'oneway': 'yes'}"
"way"	"118895511"	"Avenida Doctor Tomás Sala"	""	""	"Bulevard Perifèric Sud"	""	""	""	""	"{'access': 'no', 'alt_name': 'Bulevard Perifèric Sud', 'highway': 'service', 'name': 'Avenida Doctor Tomás Sala', 'oneway': 'yes', 'psv': 'yes'}"
"way"	"9273673"	"Avenida Pío XII"	""	""	""	""	""	""	""	"{'highway': 'primary', 'name': 'Avenida Pío XII', 'oneway': 'yes', 'surface': 'asphalt'}"
"way"	"383616865"	"Avenida Pío XII"	""	""	""	""	""	""	""	"{'highway': 'primary', 'name': 'Avenida Pío XII', 'oneway': 'yes', 'source': 'PNOA; datos oficiales', 'surface': 'asphalt'}"
"way"	"54925896"	"Avenida Maria Cristina"	""	""	""	""	""	""	""	"{'highway': 'footway', 'name': 'Avenida Maria Cristina', 'smoothness': 'excellent', 'surface': 'paving_stones'}"
"way"	"13960728"	"Avenida de Vicente Blasco Ibáñez"	""	""	""	""	""	""	""	"{'highway': 'footway', 'lit': 'yes', 'name': 'Avenida de Vicente Blasco Ibáñez', 'surface': 'paving_stones'}"
"way"	"875072259"	"Avenida de Vicente Blasco Ibáñez"	""	""	""	""	""	""	""	"{'highway': 'footway', 'lit': 'yes', 'name': 'Avenida de Vicente Blasco Ibáñez', 'surface': 'asphalt'}"
