"# EDITED with R"	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"
"Calle"					"way"	"807827067"		"{'highway': 'residential', 'name': 'Calle'}"	"Carrer"	
"Calle 11"					"way"	" 48427112"		"{'highway': 'residential', 'name': 'Calle 11'}"	"Carrer 11"	
"Calle 11"					"way"	" 48427137"		"{'highway': 'residential', 'name': 'Calle 11'}"	"Carrer 11"	
"Calle 12"					"way"	" 48427117"		"{'highway': 'residential', 'name': 'Calle 12'}"	"Carrer 12"	
"Calle 13"					"way"	" 48427128"		"{'highway': 'residential', 'name': 'Calle 13'}"	"Carrer 13"	
"Calle 14"					"way"	" 48427121"		"{'highway': 'residential', 'name': 'Calle 14'}"	"Carrer 14"	
"Calle 15"					"way"	" 48427123"		"{'highway': 'residential', 'name': 'Calle 15'}"	"Carrer 15"	
"Calle 16"					"way"	" 48427135"		"{'highway': 'residential', 'name': 'Calle 16'}"	"Carrer 16"	
"Calle 17"					"way"	" 48427136"		"{'highway': 'residential', 'name': 'Calle 17'}"	"Carrer 17"	
"Calle 6"					"way"	" 21274978"		"{'highway': 'residential', 'name': 'Calle 6', 'source:maxspeed': 'ES:urban', 'surface': 'asphalt'}"	"Carrer 6"	
"Calle 6"					"way"	" 48427125"		"{'highway': 'residential', 'name': 'Calle 6'}"	"Carrer 6"	
"Calle 7"					"way"	" 48427101"		"{'highway': 'residential', 'name': 'Calle 7'}"	"Carrer 7"	
"Calle 9"					"way"	" 21275157"		"{'highway': 'residential', 'name': 'Calle 9'}"	"Carrer 9"	
"Calle 9"					"way"	" 48427166"		"{'highway': 'residential', 'name': 'Calle 9'}"	"Carrer 9"	
"Calle Lavadero"					"way"	" 30191733"		"{'highway': 'tertiary', 'name': 'Calle Lavadero', 'oneway': 'no', 'ref': 'CV-310'}"	"Carrer del Llavador"	
"Calle Oeste"					"way"	" 33191294"		"{'highway': 'residential', 'name': 'Calle Oeste'}"	"Carrer Oest"	
"Calle San Ignacio de Loyola"					"way"	" 34034428"		"{'highway': 'residential', 'name': 'Calle San Ignacio de Loyola'}"	"Carrer Sant Ignasi de Loiola"	
"Calle Virgen del Rosario"					"way"	" 35052698"		"{'highway': 'residential', 'name': 'Calle Virgen del Rosario', 'oneway': 'yes'}"	"Carrer Mare de Déu del Rosari"	
