"# EDITED with R"	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"
"Calle Cuenca"	""				"way"	" 23425653"	""	"{'highway': 'residential', 'name': 'Calle Cuenca', 'oneway': 'yes'}"	"Carrer Cuenca"	""
"Calle Jorge Juan"	""				"way"	" 34002397"	""	"{'highway': 'residential', 'lanes': '1', 'lit': 'yes', 'name': 'Calle Jorge Juan', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"	"Carrer Jorge Juan"	""
"Calle Jorge Juan"	""				"way"	"744432071"	""	"{'highway': 'residential', 'lanes': '1', 'name': 'Calle Jorge Juan', 'oneway': 'yes', 'sidewalk': 'both'}"	"Carrer Jorge Juan"	""
"Calle Jorge Juan"	""				"way"	"648467105"	""	"{'highway': 'residential', 'lanes': '1', 'name': 'Calle Jorge Juan', 'oneway': 'yes', 'sidewalk': 'both'}"	"Carrer Jorge Juan"	""
"Calle Jorge Juan"	""				"way"	"648467106"	""	"{'highway': 'residential', 'lanes': '1', 'name': 'Calle Jorge Juan', 'oneway': 'yes', 'sidewalk': 'both'}"	"Carrer Jorge Juan"	""
"Calle Jorge Juan"	""				"way"	"744432068"	""	"{'highway': 'residential', 'lanes': '1', 'lit': 'yes', 'name': 'Calle Jorge Juan', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"	"Carrer Jorge Juan"	""
"Calle Lepanto"	""				"way"	" 33996808"	""	"{'highway': 'residential', 'lanes': '1', 'name': 'Calle Lepanto', 'oneway': 'yes', 'sidewalk': 'both'}"	"Carrer Lepant"	""
"Calle Lepanto"	""				"way"	"744432072"	""	"{'highway': 'residential', 'lanes': '1', 'lit': 'yes', 'name': 'Calle Lepanto', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"	"Carrer Lepant"	""
"Calle Lepanto"	""				"way"	"648466564"	""	"{'highway': 'residential', 'lanes': '1', 'name': 'Calle Lepanto', 'oneway': 'yes', 'sidewalk': 'both'}"	"Carrer Lepant"	""
"Calle Lepanto"	""				"way"	"472197262"	""	"{'highway': 'tertiary', 'lanes': '2', 'name': 'Calle Lepanto', 'oneway': 'yes', 'sidewalk': 'both', 'turn:lanes': 'through;right|right'}"	"Carrer Lepant"	""
"Calle Lepanto"	""				"way"	"648466563"	""	"{'highway': 'residential', 'lanes': '1', 'name': 'Calle Lepanto', 'oneway': 'yes', 'sidewalk': 'both'}"	"Carrer Lepant"	""
"Calle Lepanto"	""				"way"	"744432075"	""	"{'highway': 'residential', 'lanes': '1', 'lit': 'yes', 'name': 'Calle Lepanto', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"	"Carrer Lepant"	""
"Calle Lepanto"	""				"way"	"744432077"	""	"{'highway': 'residential', 'lanes': '1', 'lit': 'yes', 'name': 'Calle Lepanto', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"	"Carrer Lepant"	""
