"# EDITED with R"	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"
"Calle Alcira"					"way"	"195436288"	""	"{'highway': 'residential', 'name': 'Calle Alcira'}"	"Carrer Alzira"	
"Calle Ausiàs March"					"way"	"221412778"	""	"{'highway': 'residential', 'name': 'Calle Ausiàs March'}"	"Carrer Ausiàs March"	
"Calle Ausiàs March"					"way"	"225632667"	""	"{'highway': 'residential', 'name': 'Calle Ausiàs March'}"	"Carrer Ausiàs March"	
"Calle Ausiàs March"					"way"	" 11933404"	""	"{'highway': 'residential', 'name': 'Calle Ausiàs March', 'oneway': 'yes'}"	"Carrer Ausiàs March"	
"Calle Ausiàs March"					"way"	"204241757"	""	"{'highway': 'unclassified', 'name': 'Calle Ausiàs March'}"	"Carrer Ausiàs March"	
"Calle Ausiàs March"					"way"	"195440734"	""	"{'highway': 'residential', 'name': 'Calle Ausiàs March', 'oneway': 'yes'}"	"Carrer Ausiàs March"	
"Calle Azorín"					"way"	"225713806"	""	"{'highway': 'residential', 'name': 'Calle Azorín', 'oneway': 'yes'}"	"Carrer Azorín"	
"Calle Azorín"					"way"	"225713824"	""	"{'highway': 'residential', 'name': 'Calle Azorín'}"	"Carrer Azorín"	
"Calle Azorín"					"way"	"225713855"	""	"{'highway': 'residential', 'name': 'Calle Azorín', 'oneway': 'yes'}"	"Carrer Azorín"	
"Calle Balmes"					"way"	"195440710"	""	"{'highway': 'residential', 'name': 'Calle Balmes', 'oneway': 'yes'}"	"Carrer Balmes"	
"Calle Blasco Ibáñez"					"way"	"219770815"	""	"{'highway': 'residential', 'name': 'Calle Blasco Ibáñez'}"	"Carrer Blasco Ibáñez"	
"Calle Blasco Ibáñez"					"way"	"221412816"	""	"{'highway': 'residential', 'name': 'Calle Blasco Ibáñez'}"	"Carrer Blasco Ibáñez"	
"Calle Bonaire"					"way"	"182282565"	""	"{'highway': 'unclassified', 'name': 'Calle Bonaire'}"	"Carrer Bonaire"	
"Calle Calderón de la Barca"					"way"	"225713821"	""	"{'highway': 'residential', 'name': 'Calle Calderón de la Barca'}"	"Carrer Calderón de la Barca"	
"Calle Cardenal Tarancón"					"way"	"225713854"	""	"{'highway': 'residential', 'name': 'Calle Cardenal Tarancón'}"	"Carrer Cardenal Tarancón"	
"Calle Cardenal Tarancón"					"way"	"225713799"	""	"{'highway': 'residential', 'name': 'Calle Cardenal Tarancón'}"	"Carrer Cardenal Tarancón"	
"Calle Cardenal Tarancón"					"way"	"225713797"	""	"{'highway': 'residential', 'name': 'Calle Cardenal Tarancón'}"	"Carrer Cardenal Tarancón"	
"Calle Cervantes"					"way"	" 10559944"	""	"{'highway': 'residential', 'name': 'Calle Cervantes', 'oneway': 'yes'}"	"Carrer Cervantes"	
"Calle Cervantes"					"way"	"225818438"	""	"{'highway': 'residential', 'name': 'Calle Cervantes'}"	"Carrer Cervantes"	
"Calle Cervantes"					"way"	"140946592"	""	"{'highway': 'residential', 'name': 'Calle Cervantes', 'oneway': 'yes'}"	"Carrer Cervantes"	
"Calle Cervantes"					"way"	"221412818"	""	"{'highway': 'residential', 'name': 'Calle Cervantes'}"	"Carrer Cervantes"	
"Calle Cervantes"					"way"	"140946607"	""	"{'highway': 'residential', 'name': 'Calle Cervantes'}"	"Carrer Cervantes"	
"Calle de la Costera"					"way"	"183550957"	""	"{'highway': 'residential', 'junction': 'approach', 'name': 'Calle de la Costera', 'oneway': 'yes'}"	"Carrer de la Costera"	
"Calle de la Costera"					"way"	"183550956"	""	"{'highway': 'residential', 'name': 'Calle de la Costera', 'oneway': 'no'}"	"Carrer de la Costera"	
"Calle del Pintor Sorolla"					"way"	" 37566525"	""	"{'highway': 'residential', 'name': 'Calle del Pintor Sorolla'}"	"Carrer del Pintor Sorolla"	
"Calle Diputación"					"way"	" 37566544"	""	"{'highway': 'residential', 'name': 'Calle Diputación'}"	"Carrer Diputació"	
"Calle Doctor Fleming"					"way"	" 37830987"	""	"{'highway': 'residential', 'name': 'Calle Doctor Fleming'}"	"Carrer Doctor Fleming"	
"Calle Doctor Fleming"					"way"	"140946602"	""	"{'highway': 'residential', 'name': 'Calle Doctor Fleming', 'oneway': 'yes'}"	"Carrer Doctor Fleming"	
"Calle Doctor Fleming"					"way"	"225713835"	""	"{'highway': 'residential', 'name': 'Calle Doctor Fleming', 'oneway': 'yes'}"	"Carrer Doctor Fleming"	
"Calle Doctor Fleming"					"way"	"221412805"	""	"{'highway': 'residential', 'name': 'Calle Doctor Fleming'}"	"Carrer Doctor Fleming"	
"Calle Doctor Fleming"					"way"	"225713830"	""	"{'highway': 'residential', 'name': 'Calle Doctor Fleming'}"	"Carrer Doctor Fleming"	
"Calle Doctor Fleming"					"way"	"225713832"	""	"{'highway': 'residential', 'name': 'Calle Doctor Fleming', 'oneway': 'yes'}"	"Carrer Doctor Fleming"	
"Calle Doctor Gómez Ferrer"					"way"	"225713908"	""	"{'highway': 'residential', 'name': 'Calle Doctor Gómez Ferrer'}"	"Carrer Doctor Gómez Ferrer"	
"Calle García Lorca"					"way"	"195440740"	""	"{'highway': 'residential', 'name': 'Calle García Lorca', 'oneway': 'yes'}"	"Carrer García Lorca"	
"Calle Isabel la Católica"					"way"	" 18472212"	""	"{'highway': 'residential', 'name': 'Calle Isabel la Católica', 'oneway': 'yes'}"	"Carrer Isabel la Catòlica"	
"Calle Isabel la Católica"					"way"	" 11938616"	""	"{'highway': 'residential', 'name': 'Calle Isabel la Católica', 'oneway': 'yes'}"	"Carrer Isabel la Catòlica"	
