"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"	"al_name:ca"
"Calle Blasco Ibáñez"					"way"	"  23308185"	""	"{'highway': 'tertiary', 'maxspeed': '50', 'name': 'Calle Blasco Ibáñez', 'oneway': 'no'}"	"Carrer Blasco Ibáñez"		
"Calle Blasco Ibáñez"					"way"	"  26506751"	""	"{'highway': 'residential', 'lanes': '1', 'maxspeed': '30', 'name': 'Calle Blasco Ibáñez', 'oneway': 'yes', 'surface': 'asphalt'}"	"Carrer Blasco Ibáñez"		
"Calle de Alicante"					"way"	"  46531855"	""	"{'highway': 'residential', 'name': 'Calle de Alicante', 'oneway': 'yes'}"	"Carrer d’Alacant"		
"Calle de Alicante"					"way"	"  36986793"	""	"{'highway': 'residential', 'name': 'Calle de Alicante', 'surface': 'asphalt'}"	"Carrer d’Alacant"		
"Calle de Alicante"					"way"	"  36986022"	""	"{'highway': 'residential', 'name': 'Calle de Alicante', 'surface': 'asphalt'}"	"Carrer d’Alacant"		
"Calle de Castellón"					"way"	"  46531860"	""	"{'highway': 'residential', 'name': 'Calle de Castellón', 'oneway': 'yes'}"	"Carrer de Castelló"		
"Calle de Castellón"					"way"	" 147176997"	""	"{'highway': 'residential', 'name': 'Calle de Castellón', 'oneway': 'yes'}"	"Carrer de Castelló"		
"Calle de Eduardo Dato"					"way"	"  27812372"	""	"{'highway': 'residential', 'name': 'Calle de Eduardo Dato', 'oneway': 'yes'}"	"Carrer de Eduardo Dato"		
"Calle de Pizarro"					"way"	" 172462246"	"name:etymology:wikidata=Q44741"	"{'highway': 'residential', 'name': 'Calle de Pizarro', 'name:etymology:wikidata': 'Q44741', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"	"Carrer de Pizarro"		
"Calle de Victoria Kent"					"way"	"  46539962"	""	"{'highway': 'residential', 'name': 'Calle de Victoria Kent', 'oneway': 'yes'}"	"Carrer de Victoria Kent"		
"Calle de Victoria Kent"					"way"	" 417897287"	""	"{'highway': 'residential', 'name': 'Calle de Victoria Kent'}"	"Carrer de Victoria Kent"		
"Calle del Doctor Fleming"					"way"	"  11826803"	""	"{'highway': 'residential', 'lit': 'yes', 'name': 'Calle del Doctor Fleming', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"	"Carrer del Doctor Fleming"		
"Calle del Doctor Fleming"					"way"	"1005557451"	""	"{'highway': 'residential', 'lit': 'yes', 'name': 'Calle del Doctor Fleming', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"	"Carrer del Doctor Fleming"		
"Calle del Matadero"					"way"	" 394366509"	""	"{'highway': 'residential', 'name': 'Calle del Matadero', 'surface': 'paved'}"	"Carrer del Matadero"		
"Calle del Pintor Sorolla"					"way"	"  30818427"	""	"{'highway': 'residential', 'name': 'Calle del Pintor Sorolla', 'oneway': 'yes'}"	"Carrer del Pintor Sorolla"		
"Calle dels Furs"					"way"	"  49894949"	""	"{'highway': 'residential', 'name': 'Calle dels Furs'}"	"Carrer dels Furs"		
"Calle García Lorca"					"way"	"  36986002"	""	"{'highway': 'residential', 'name': 'Calle García Lorca', 'oneway': 'yes'}"	"Carrer García Lorca"		
"Calle Isabel la Católica"					"way"	"  27811827"	""	"{'highway': 'residential', 'name': 'Calle Isabel la Católica', 'oneway': 'yes', 'surface': 'asphalt', 'wheelchair': 'yes'}"	"Carrer Isabel la Catòlica"		
"Calle Jacinto Benavente"					"way"	"  30818480"	""	"{'highway': 'pedestrian', 'name': 'Calle Jacinto Benavente'}"	"Carrer Jacinto Benavente"		
"Calle Jacinto Benavente"					"way"	" 172462259"	""	"{'highway': 'residential', 'name': 'Calle Jacinto Benavente', 'oneway': 'yes'}"	"Carrer Jacinto Benavente"		
"Calle Joan Fuster"					"way"	" 147685498"	""	"{'highway': 'residential', 'name': 'Calle Joan Fuster'}"	"Carrer Joan Fuster"		
"Calle Lope de Vega"					"way"	"  15785659"	""	"{'highway': 'residential', 'name': 'Calle Lope de Vega', 'oneway': 'yes'}"	"Carrer Lope de Vega"		
"Calle Mayor"					"way"	"  32495695"	""	"{'highway': 'residential', 'name': 'Calle Mayor', 'oneway': 'yes'}"	"Carrer Major"		
"Calle Mayor"					"way"	" 678888397"	""	"{'highway': 'residential', 'name': 'Calle Mayor'}"	"Carrer Major"		
"Calle Mayor"					"way"	"  23321788"	""	"{'highway': 'residential', 'name': 'Calle Mayor', 'oneway': 'yes'}"	"Carrer Major"		
"Calle Navarra"					"way"	" 839935903"	""	"{'highway': 'tertiary', 'lanes': '1', 'maxspeed': '30', 'name': 'Calle Navarra', 'oneway': 'yes', 'surface': 'asphalt'}"	"Carrer Navarra"		
"Calle Navarra"					"way"	"  26506733"	""	"{'highway': 'tertiary', 'lanes': '1', 'maxspeed': '30', 'name': 'Calle Navarra', 'oneway': 'no', 'surface': 'asphalt'}"	"Carrer Navarra"		
"Calle Navarra"					"way"	" 474592529"	""	"{'highway': 'tertiary', 'lanes': '1', 'maxspeed': '30', 'name': 'Calle Navarra', 'oneway': 'yes', 'surface': 'asphalt'}"	"Carrer Navarra"		
"Calle Ramón y Cajal"					"way"	"  30818463"	"name:etymology:wikidata=Q150526"	"{'highway': 'residential', 'name': 'Calle Ramón y Cajal', 'name:etymology:wikidata': 'Q150526', 'oneway': 'yes'}"	"Carrer Ramón y Cajal"		
"Calle Valencia"					"way"	"  36986794"	""	"{'highway': 'residential', 'name': 'Calle Valencia', 'oneway': 'yes', 'surface': 'asphalt'}"	"Carrer València"		
