"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), area=['name:ca'='la Marina Baixa'][admin_level=7], filters=nwr[name~'^[Cc]alle'][!'name:ca']"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"way"	"115079139"	"Calle Infiesto"	""	""	""	""	""	""	"name:ru=улица Инфиесто"	"{'highway': 'residential', 'name': 'Calle Infiesto', 'name:ru': 'улица Инфиесто', 'oneway': 'yes'}"
"way"	"377962042"	"Calle Murtal"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Murtal', 'oneway': 'yes'}"
"way"	"377962043"	"Calle Murtal"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Murtal', 'oneway': 'yes', 'tunnel': 'yes'}"
"way"	"656709171"	"Calle Murtal"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Murtal', 'surface': 'asphalt'}"
"way"	"951417767"	"Calle Murtal"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Murtal', 'oneway': 'yes', 'surface': 'asphalt'}"
"way"	"80873943"	"Calle del Gorrión"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Calle del Gorrión'}"
"way"	"21233721"	"Calle del Rosal"	""	""	""	""	""	""	""	"{'highway': 'residential', 'lit': 'yes', 'name': 'Calle del Rosal', 'oneway': 'yes', 'surface': 'asphalt'}"
"way"	"83174481"	"Calle Amanecer"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Amanecer', 'oneway': 'yes'}"
"way"	"89767298"	"Calle de las Amapolas"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle de las Amapolas'}"
"way"	"21233722"	"Calle de los Tulipanes"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle de los Tulipanes', 'oneway': 'yes'}"
"way"	"80440112"	"Calle de San Marcos"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle de San Marcos', 'oneway': 'yes'}"
"way"	"80440116"	"Calle de Santo Tomás"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle de Santo Tomás', 'oneway': 'yes'}"
"way"	"83180243"	"Calle de San José Artesano /Carrer de Sant Josep Artesà"	""	""	""	""	""	""	""	"{'highway': 'residential', 'lit': 'yes', 'name': 'Calle de San José Artesano /Carrer de Sant Josep Artesà', 'oneway': 'yes', 'surface': 'asphalt'}"
"way"	"83193172"	"Calle Jilguero"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Calle Jilguero'}"
"way"	"83250015"	"Calle de San Juan Bautista /Carrer de Sant Joan Babtista"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'lit': 'yes', 'name': 'Calle de San Juan Bautista /Carrer de Sant Joan Babtista', 'surface': 'paving_stones'}"
"way"	"83280329"	"Calle Rocas"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Rocas', 'oneway': 'yes'}"
"way"	"83280330"	"Calle del Estornino"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle del Estornino', 'oneway': 'yes'}"
"way"	"377900260"	"Calle Canario"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Calle Canario'}"
"way"	"377902412"	"Calle Canario"	""	""	""	""	""	""	""	"{'highway': 'steps', 'name': 'Calle Canario'}"
"way"	"483904368"	"Calle Jilguero"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Calle Jilguero'}"
"way"	"59135398"	"Calle Nuestra Señora del Rocío"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Nuestra Señora del Rocío', 'oneway': 'yes', 'source': 'Yahoo'}"
"way"	"80440115"	"Calle de San Marcos"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Calle de San Marcos'}"
"way"	"217933809"	"Calle Virgen de la Paloma"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Virgen de la Paloma', 'oneway': 'yes'}"
"way"	"608045868"	"Calle Espejo"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Calle Espejo'}"
"way"	"608045870"	"Calle Virgen de la Paloma"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Calle Virgen de la Paloma', 'oneway': 'yes'}"
"way"	"82210979"	"Calle de las Herrerías"	""	""	""	""	""	""	""	"{'highway': 'residential', 'lit': 'yes', 'name': 'Calle de las Herrerías', 'oneway': 'yes', 'surface': 'paving_stones'}"
"way"	"82210976"	"Calle Hondo"	""	""	""	""	""	""	""	"{'highway': 'residential', 'lit': 'yes', 'name': 'Calle Hondo', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}"
"way"	"82210983"	"Calle Otoño"	""	""	""	""	""	""	""	"{'highway': 'residential', 'lit': 'yes', 'name': 'Calle Otoño', 'oneway': 'no', 'surface': 'asphalt'}"
"way"	"20268111"	"Calle Ibiza"	""	""	""	""	""	""	""	"{'highway': 'residential', 'lanes': '1', 'maxspeed': '30', 'name': 'Calle Ibiza', 'oneway': 'yes', 'surface': 'asphalt'}"
"way"	"20401925"	"Calle Ibiza"	""	""	"Calle de Ibiza"	""	""	""	""	"{'alt_name': 'Calle de Ibiza', 'highway': 'residential', 'lanes': '1', 'maxspeed': '30', 'name': 'Calle Ibiza', 'oneway': 'yes', 'surface': 'asphalt'}"
"way"	"83129293"	"calle de Irlanda"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'calle de Irlanda', 'oneway': 'yes'}"
"way"	"21723090"	"calle conduccion"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'calle conduccion'}"
"way"	"93249181"	"calle de Viena"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'calle de Viena', 'oneway': 'yes'}"
"way"	"93260733"	"calle de las Azucenas"	""	""	""	""	""	""	""	"{'access': 'private', 'highway': 'residential', 'maxspeed': '20', 'name': 'calle de las Azucenas', 'oneway': 'no'}"
"way"	"333464970"	"calle de las Azucenas"	""	""	""	""	""	""	""	"{'access': 'private', 'highway': 'residential', 'name': 'calle de las Azucenas'}"
"way"	"172180343"	"Calle de Toboso"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle de Toboso'}"
"way"	"172909394"	"Calle del Murillo"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle del Murillo'}"
"way"	"179543095"	"calle Oslo"	""	""	""	""	""	""	""	"{'highway': 'residential', 'maxspeed': '30', 'maxspeed:type': 'ES:zone30', 'name': 'calle Oslo', 'source': 'GPS'}"
"way"	"123368850"	"calle Amsterdam"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'calle Amsterdam', 'source': 'GPS'}"
"way"	"123368872"	"calle Helsinki"	""	""	""	""	""	""	""	"{'highway': 'residential', 'maxspeed': '30', 'maxspeed:type': 'ES:zone30', 'name': 'calle Helsinki', 'source': 'GPS'}"
