"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), area=['name:ca'='l\'Horta Sud'][admin_level=7], filters=nwr[name~'^[Cc]alle'][!'name:ca']"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	"5471777005"	"Calle Aadisa"	""	""	""	""	""	""	""	"{'name': 'Calle Aadisa'}"
"way"	"1028493831"	"Calle Hort de Canarieta"	""	""	""	""	""	""	""	"{'highway': 'primary_link', 'name': 'Calle Hort de Canarieta', 'oneway': 'yes'}"
"way"	"44181082"	"Calle Porvenir"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Porvenir'}"
"way"	"43154451"	"Calle Número 6"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Número 6'}"
"way"	"43154473"	"Calle Número 7"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Número 7'}"
"way"	"43154450"	"Calle Número 7"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Número 7', 'oneway': 'yes'}"
"way"	"26373949"	"Calle de la Maestra Doña Juana"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle de la Maestra Doña Juana', 'oneway': 'yes'}"
"way"	"494686372"	"Calle de la Maestra Doña Juana"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle de la Maestra Doña Juana', 'oneway': 'yes'}"
"way"	"42022129"	"Calle Número 22"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Número 22', 'sidewalk': 'both', 'surface': 'asphalt'}"
"way"	"41992794"	"Calle de Nuestra Señora del Socorro"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle de Nuestra Señora del Socorro', 'oneway': 'yes'}"
"way"	"207110253"	"Calle Numero Uno"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Calle Numero Uno'}"
