"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle de los Chalets"	"Carrer de los Chalets"					
"Calle Escuelas"	"Carrer Escuelas"					
"Calle Uno"	"Carrer Uno"					
"Calle Trascasa"	"Carrer Trascasa"					
"Calle Santísimo Misterio del Agua"	"Carrer Santísimo Misterio del Agua"					
"Calle Bajo Aragón"	"Carrer Bajo Aragón"					
"Calle Guadalope"	"Carrer Guadalope"					
"Callejón Tras Iglesia"	"Callejón Tras Iglesia"					
"Calle Iglesia"	"Carrer Iglesia"					
"Calle Diputación Provincial"	"Carrer Diputación Provincial"					
"Calle Justicia de Aragón"	"Carrer Justicia de Aragón"					
"Calle Teruel"	"Carrer Teruel"					
"Calle Dos"	"Carrer Dos"					
"Calle Eras Sancho"	"Carrer Eras Sancho"					
"Calle del Pilar"	"Carrer del Pilar"					
"Calle Subida Iglesia"	"Carrer Subida Iglesia"					
"Calle Maestrazgo"	"Carrer Maestrazgo"					
"Calle Callizo Alta"	"Carrer Callizo Alta"					
"Calle Roca"	"Carrer Roca"					
"Calle Capellanías"	"Carrer Capellanías"					
"Calle Depósito"	"Carrer Depósito"					
"Calle Arrabal"	"Carrer Arrabal"					
"Calle Larga"	"Carrer Larga"					
"Calle Alta"	"Carrer Alta"					
"Calle Calixto"	"Carrer Calixto"					
"Calle del Gallo"	"Carrer del Gallo"					
"Calle Puerto"	"Carrer Puerto"					
"Calle Molino de Aceite"	"Carrer Molino de Aceite"					
"Calle Cuatro Esquinas"	"Carrer Cuatro Esquinas"					
"Calle Horno"	"Carrer Horno"					
"Calle de los Arcos"	"Carrer de los Arcos"					
"Calle de la Plaza"	"Carrer de la Plaza"					
"Calle Hospital"	"Carrer Hospital"					
"Calle Rambla"	"Carrer Rambla"					
"Calle Nueva"	"Carrer Nueva"					
"Calle Herrerías"	"Carrer Herrerías"					
"Calle Alcañiz"	"Carrer Alcañiz"					
"Calle El Pilar"	"Carrer El Pilar"					
"Calle Las Moradas"	"Carrer Las Moradas"					
"Calle Zaragoza"	"Carrer Zaragoza"					
"Calle Travesía de El Pilar"	"Carrer Travesía de El Pilar"					
"Calle Meson"	"Carrer Meson"					
"Calle Rafec"	"Carrer Rafec"					
"Calle del Castillo"	"Carrer del Castillo"					
"Calle Previsores"	"Carrer Previsores"					
"Calle Baja"	"Carrer Baja"					
"Calle de Enmedio"	"Carrer de Enmedio"					
"Calle Jardín"	"Carrer Jardín"					
"Calle Bajo Muela"	"Carrer Bajo Muela"					
"Calle de Soldevila"	"Carrer de Soldevila"					
"Calle de la Muela"	"Carrer de la Muela"					
"Calle Francia"	"Carrer Francia"					
"Calle del Horno"	"Carrer del Horno"					
"Calle Escalereta"	"Carrer Escalereta"					
"Calle Centro"	"Carrer Centro"					
"Calle del Plano"	"Carrer del Plano"					
"Calle Portillo"	"Carrer Portillo"					
"Calle Cebollera"	"Carrer Cebollera"					
"Calle Balsot"	"Carrer Balsot"					
"Calle Mariano Vicente"	"Carrer Mariano Vicente"					
"Calle Desamparados"	"Carrer Desamparados"					
"Calle Herrería"	"Carrer Herrería"					
"Calle Albellones"	"Carrer Albellones"					
"Calle Eras Altas"	"Carrer Eras Altas"					
"Calle Eras de Salvador"	"Carrer Eras de Salvador"					
"Calle Oriente"	"Carrer Oriente"					
"Calle Isidoro Celma"	"Carrer Isidoro Celma"					
"Calle Martires"	"Carrer Martires"					
"Calle Nevera"	"Carrer Nevera"					
"Calle las Rocas"	"Carrer las Rocas"					
"Calle Callizo"	"Carrer Callizo"					
"Calle Norte"	"Carrer Norte"					
"Calle Cuesta"	"Carrer Cuesta"					
"Calle Torre Ciudad"	"Carrer Torre Ciudad"					
"Calle Graos"	"Carrer Graos"					
"Calle Eras de Graos"	"Carrer Eras de Graos"					
"Calle Balseta"	"Carrer Balseta"					
