"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle Poeta Ernesto Nebot"	"Carrer Poeta Ernesto Nebot"					
"Calle Reverendo Francisco Paus"	"Carrer Reverendo Francisco Paus"					
"Calle Ximén d'Urrea"	"Carrer Ximén d'Urrea"					
"Calle de Sichar"	"Carrer de Sichar"					
"Calle de Alcovendas"	"Carrer de Alcovendas"					
"Calle de Mariñas"	"Carrer de Mariñas"					
"Calle los Chopos"	"Carrer los Chopos"					
"Calle las Cañas"	"Carrer las Cañas"					
"Calle los Olivos"	"Carrer los Olivos"					
"Calle Montreal"	"Carrer Montreal"					
"Calle los Sauces"	"Carrer los Sauces"					
"Calle Enmedio"	"Carrer Enmedio"					
"Calle Doctor Federico Michavila Paus"	"Carrer Doctor Federico Michavila Paus"					
"Calle Vicente Gasch"	"Carrer Vicente Gasch"					
"Calle Cura Beltrán"	"Carrer Cura Beltrán"					
"Calle de la Balsa"	"Carrer de la Balsa"					
"Calle Horno Nuevo"	"Carrer Horno Nuevo"					
"Calle José Gil Castillo"	"Carrer José Gil Castillo"					
"Calle Cristóbal Aicart"	"Carrer Cristóbal Aicart"					
"Calle Doctor Joaquín Nos Mora"	"Carrer Doctor Joaquín Nos Mora"					
"Calle Devoto Mosén Tomás Calduch"	"Carrer Devoto Mosén Tomás Calduch"					
"Calle Don Enrique Grangel Girona"	"Carrer Don Enrique Grangel Girona"					
"Calle Arzobispo Gasch"	"Carrer Arzobispo Gasch"					
"Calle Don José Mascarós Paus"	"Carrer Don José Mascarós Paus"					
"Calle Don Pedro Juan Pallarés"	"Carrer Don Pedro Juan Pallarés"					
"Calle Pedro Juan Pallarés"	"Carrer Pedro Juan Pallarés"					
"Calle la Azulejera"	"Carrer la Azulejera"					
"Calle de José María Puig de Llivol"	"Carrer de José María Puig de Llivol"					
"Calle de la Acequia"	"Carrer de la Acequia"					
"Calle de la Umbría"	"Carrer de la Umbría"					
"Calle del Puente Foya"	"Carrer del Puente Foya"					
"Calle Setena de Culla"	"Carrer Setena de Culla"					
"Calle Román Pons Vives"	"Carrer Román Pons Vives"					
"Calle Eras de Troya"	"Carrer Eras de Troya"					
"Calle Bugula del Bosque"	"Carrer Bugula del Bosque"					
"Calle Geranio de Cavanillas"	"Carrer Geranio de Cavanillas"					
"Calle Lírio de Nieve"	"Carrer Lírio de Nieve"					
"Calle de la Sabina Albar"	"Carrer de la Sabina Albar"					
"Calle del Pino Rodeno"	"Carrer del Pino Rodeno"					
"Calle del Rebollo"	"Carrer del Rebollo"					
