"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle Ollerías"	"Carrer Ollerías"					
"Calle Sàlvia"	"Carrer Sàlvia"					
"Calle Salvador Amorós"	"Carrer Salvador Amorós"					
"Calle de Castelleros"	"Carrer de Castelleros"					
"Calle Jesús Juan Bernabeu"	"Carrer Jesús Juan Bernabeu"					
"Calle Perino"	"Carrer Perino"					
"Calle Don Juan Hervas"	"Carrer Don Juan Hervas"					
"Calle Pacífico Torres"	"Carrer Pacífico Torres"					
"Calle Valderrobres"	"Carrer Valderrobres"					
"Calle Maria Paya"	"Carrer Maria Paya"					
"Calle senda de Ferris"	"Carrer senda de Ferris"					
"Calle Carriles"	"Carrer Carriles"					
"Calle Tejares"	"Carrer Tejares"					
"Calle Reverendo José Valdés"	"Carrer Reverendo José Valdés"					
"Calle Practicante Bellod Cortés"	"Carrer Practicante Bellod Cortés"					
"Calle Vicente Conca"	"Carrer Vicente Conca"					
"Calle Otilia Sales"	"Carrer Otilia Sales"					
"Calle Libertad"	"Carrer Libertad"					
"Calle Alcázar Toledo"	"Carrer Alcázar Toledo"					
"Calle Alfonso El Sabio"	"Carrer Alfonso El Sabio"					
"Calle J. M Millán"	"Carrer J. M Millán"					
"Calle Alférez J. Conca"	"Carrer Alférez J. Conca"					
"Calle Tratado Almizra"	"Carrer Tratado Almizra"					
"Calle Doctor Leandro Sarrio"	"Carrer Doctor Leandro Sarrio"					
"Calle Doctor Silvestre"	"Carrer Doctor Silvestre"					
"Calle Manuel Puig"	"Carrer Manuel Puig"					
"Calle Vicenta Ferrero"	"Carrer Vicenta Ferrero"					
"Calle Constitución"	"Carrer Constitución"					
"Calle Santiago Ferrer"	"Carrer Santiago Ferrer"					
"Calle Poeta Pastor"	"Carrer Poeta Pastor"					
"Calle Juan Pastor Balde"	"Carrer Juan Pastor Balde"					
"Calle Manuel Parra"	"Carrer Manuel Parra"					
"Calle Nueva Aurora"	"Carrer Nueva Aurora"					
"Calle Miguel Hernández"	"Carrer Miguel Hernández"					
