"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle Aadisa"	"Carrer Aadisa"					
"Calle Marjaleta"	"Carrer Marjaleta"					
"Calle 9 d'Octubre"	"Carrer 9 d'Octubre"					
"Calle Ensanche"	"Carrer Ensanche"					
"Calle de la Travesía Camino de Foya"	"Carrer de la Travesía Camino de Foya"					
"Calle de la Cooperativa"	"Carrer de la Cooperativa"					
"Calle Hort de Marçal"	"Carrer Hort de Marçal"					
"Calle Hort de Cano"	"Carrer Hort de Cano"					
"Calle Hort de Don Gregori"	"Carrer Hort de Don Gregori"					
"Calle Hort de Xolo"	"Carrer Hort de Xolo"					
"Calle de Santa Ana"	"Carrer de Santa Ana"					
"Calle Hort de Calafre"	"Carrer Hort de Calafre"					
"Calle Hort de Miralles"	"Carrer Hort de Miralles"					
"Calle Hort de Canarieta"	"Carrer Hort de Canarieta"					
"Calle Sierra de Aitana"	"Carrer Sierra de Aitana"					
"Calle de José Capuz"	"Carrer de José Capuz"					
"Calle de Silla"	"Carrer de Silla"					
"Calle Alaquas"	"Carrer Alaquas"					
"Calle de Picaña"	"Carrer de Picaña"					
"Calle de Lepanto"	"Carrer de Lepanto"					
"Calle de Favara"	"Carrer de Favara"					
"Calle de Luis Vives"	"Carrer de Luis Vives"					
"Calle Industria"	"Carrer Industria"					
"Calle de la Sagrada Familia"	"Carrer de la Sagrada Familia"					
"Calle de Federico García Lorca"	"Carrer de Federico García Lorca"					
"Calle del Primero de Mayo"	"Carrer del Primero de Mayo"					
"Calle Sierra de Mariola"	"Carrer Sierra de Mariola"					
"Calle del Palleter"	"Carrer del Palleter"					
"Calle del Poeta Llorente"	"Carrer del Poeta Llorente"					
"Calle de Nueve de Octubre"	"Carrer de Nueve de Octubre"					
"Calle del Doctor Marañón"	"Carrer del Doctor Marañón"					
"Calle de Luis Martí"	"Carrer de Luis Martí"					
"Calle del Cardenal Benlloch"	"Carrer del Cardenal Benlloch"					
"Calle de Rafael Ribelles"	"Carrer de Rafael Ribelles"					
"Calle Don Juan de Austria"	"Carrer Don Juan de Austria"					
"Calle Portugal"	"Carrer Portugal"					
"Calle de Felipe II"	"Carrer de Felipe II"					
"Calle del Marqués del Turia"	"Carrer del Marqués del Turia"					
"Calle Benlliure"	"Carrer Benlliure"					
"Calle de Alacuás"	"Carrer de Alacuás"					
"Calle Porvenir"	"Carrer Porvenir"					
"Calle de Clara Campoamor"	"Carrer de Clara Campoamor"					
