name	name:ca	alt_name:ca	alt_name	translations	ca.wikipedia_page	wikidata_id
Calle de la Constitución	Carrer de la Constitució					
Calle de Felipe II	Carrer de Felip II					
Calle Río Ésera	Carrer Riu Éssera					
Calle del Regal	Carrer del Regal					
Calle de Miguel Fleta	Carrer de Miguel Fleta					
Calle de Agustina de Aragón	Carrer de Agustina de Aragó					
Calle de la Melusa	Carrer de la Melusa					
Calle Lleida	Carrer Lleida					
Calle Escuelas	Carrer Escoles					
Calle María Moliner	Carrer María Moliner					
Calle Río Ebro	Carrer Riu Ebre					
Calle Ordesa	Carrer Ordesa					
Calle Río Isábena	Carrer Riu Isàvena					
Calle Cotiella	Carrer Cotiella					
Calle Sierra de Guara	Carrer Serra de Guara					
Calle Turbón	Carrer Turbó					
Calle Almacellas	Carrer Almacelles					
Calle Ribagorza	Carrer Ribagorça					
Calle Albelda	Carrer Albelda					
Calle de Francisco de Goya	Carrer de Francisco de Goya					
Calle La Coma	Carrer La Coma					
Calle Dos de Mayo	Carrer Dos de Maig					
Calle Huesca	Carrer Huesca					
Calle Llitera	Carrer Llitera					
Calle La Franquía						
Calle del General Prim	Carrer del General Prim					
Calle de Ramón Y Cajal	Carrer de Ramón y Cajal					
Calle Algayón	Carrer del Gaió					
Calle de Joaquín Costa	Carrer de Joaquín Costa					
Calle Olriols	Carrer Olriols					
Calle Estaño	Carrer Estaño					
Calle La Fuente						
Calle Binéfar	Carrer Binèfar					
Calle Garrodilla						
Calle La Pilas						
Calle Obago						
Calle Las Gradas						
Calle Prado						
Calle de Binefar	Carrer de Binèfar					
Calle Patrocinio	Carrer Patrocini					
Calle de Huesca	Carrer de Huesca					
Calle de Teruel	Carrer de Teruel					
Calle Barasona	Carrer Barasona					
Calle de Santa Lucía	Carrer de Santa Lucía					
Calle de Alaubets	Carrer d’Alaubets					
Calle Vinacorba	Carrer Vinacorba					
Calle de Santa Ana	Carrer de Santa Anna					
Calle Escornets	Carrer Escornets					
Calle Ereta	Carrer Ereta					
Calle del Castillo	Carrer del Castell					
Calle Santa Lucía	Carrer Santa Lucia					
Calle de Era Mola	Carrer d’Era Mola					
Calle Carretera de Binéfar	Carrer Carretera de Binèfar					
Calle Litera	Carrer Llitera					
Calle de Miguel Palacios	Carrer de Miguel Palacios					
Calle de La Balsa						
Calle Extramuros	Carrer Extramurs					
Calle Guatizalema	Carrer Guatizalema					
Calle Palau	Carrer Palau					
Calle Peligros						
Calle Rambla	Carrer Rambla					
Calle Saunas	Carrer Saunes					
Calle Torrente de Cinca	Carrer Torrent de Cinca					
Calle Hospital	Carrer Hospital					
Calle Torrente de Arriba						
Calle Balsa						
Calle Cuesta						
Calle Escalereta						
Calle Granero	Carrer Graner					
Calle Oriente	Carrer Orient					
Calle Rincon	Carrer Racó					
Calle Montera						
Calle de la Balsa						
Calle Autonomía de Aragón	Carrer Autonomia d’Aragó					
Calle Lucero						
Calle La Luna	Carrer La Lluna					
Calle Antics Diposits	Carrer Antics Dipòsits					
Calle Vilanova	Carrer Vilanova					
Calle La Litera	Carrer La Llitera					
Calle Eral	Carrer Eral					
Calle del Pozo	Carrer del Pou					
Calle El Coronal	Carrer El Coronal					
Calle Alba	Carrer Alba					
Calle Abajo						
Calle Arriba						
Calle Rio Sosa	Carrer Riu Sosa					
Calle Bardina	Carrer Bardina					
Calle La Iglesia	Carrer l’Església					
Calle Marracos	Carrer Marracos					
Calle Aura Boronat	Carrer Aura Boronat					
Calle Joaquin Costa	Carrer Joaquin Costa					
Calle Horno						
Calle Monzón	Carrer Montsó					
Calle Solana	Carrer Solana					
Calle Barranco	Carrer Barranc					
Calle La Balsa						
