"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"calle levante"	"carrer levante"					
"Calle Urbanización 2º Fase"	"Carrer Urbanización 2º Fase"					
"Calle Jazmines"	"Carrer Jazmines"					
"Calle Ciudad Jardín"	"Carrer Ciudad Jardín"					
"Calle Canonigo Gimeno"	"Carrer Canonigo Gimeno"					
"Calle las Eras"	"Carrer las Eras"					
"Calle Meste Joaquín Rodrigo"	"Carrer Meste Joaquín Rodrigo"					
"Calle Villas de Gilet"	"Carrer Villas de Gilet"					
"Calle Fuente del Pino"	"Carrer Fuente del Pino"					
"Calle de los Valles"	"Carrer de los Valles"					
"Calle Músico Ricardo Melchor"	"Carrer Músico Ricardo Melchor"					
"Calle Subida"	"Carrer Subida"					
"Calle Subida a la Ermita"	"Carrer Subida a la Ermita"					
"Calle de San Luis"	"Carrer de San Luis"					
"Calle del Puente de Romà"	"Carrer del Puente de Romà"					
"Calle del Huerto Cerrado"	"Carrer del Huerto Cerrado"					
"Calle del Motor de San Miguel"	"Carrer del Motor de San Miguel"					
"Calle de Mendeliev"	"Carrer de Mendeliev"					
"Calle Mercé Rodorera"	"Carrer Mercé Rodorera"					
"Calle Reyes"	"Carrer Reyes"					
"Calle de Nuestra Señora de la Luz"	"Carrer de Nuestra Señora de la Luz"					
"Calle Francisco Bosch Bruixola"	"Carrer Francisco Bosch Bruixola"					
"Calle Jose Maria Sanchis"	"Carrer Jose Maria Sanchis"					
"Calle Andrés Monreal"	"Carrer Andrés Monreal"					
"Calle José María Sanchís"	"Carrer José María Sanchís"					
"Calle de Luis Colomina"	"Carrer de Luis Colomina"					
"Calle Sequía"	"Carrer Sequía"					
"Calle del Balsain"	"Carrer del Balsain"					
"Calle del Single"	"Carrer del Single"					
"Calle Adelfas"	"Carrer Adelfas"					
